"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_ADD_FRIENDS_INFO_REQUESTS_YP","Add Clash Friends from their player profile.",,"在其他玩家的简介页面可将其添加为好友。","在其他玩家的個人資料頁面可將其新增為好友。",,,,,,,,,,,,,,"Добавьте друга в Clash прямо из его профиля.",,"Clash Arkadaşları, oyuncu profilinden eklenir.",
"TID_ERROR_POP_UP_OUT_OF_SYNC","Client and server are out of sync! Please check if your application store has a new version available to improve reliability","لا يوحد تزامن بين العميل والخادم! هناك تحديث جديد يتضمن تعديلات وإصلاحات أخطاء نشرناه في متجر التطبيقات.","客户端和服务器不同步！请前往您的应用商店查看并下载最新版本，以便获得最佳游戏体验。","客戶端和伺服器不同步！請前往您的應用商店查看並下載最新版本，以便獲得最佳遊戲體驗。","Gerät/Spiel und Server sind nicht synchron! Ein neues Update mit Fehlerbehebungen und einigen Änderungen ist nun in deinem Store verfügbar!","El cliente y el servidor no están sincronizados. ¡Hay disponible una nueva actualización opcional en la tienda de aplicaciones! Incluye errores solucionados y cambios.","سیستم شما و سرور همگام نیستند! به‌روزرسانی جدید که شامل رفع چندین اشکال و تغییرات است به فروشگاه برنامه شما فرستاده شده‌است.","Asiakasta ja palvelinta ei ole synkronoitu! Uusi ohjelmistovirheiden korjauksia ja muita parannuksia sisältävä päivitys on saatavilla sovelluskaupassasi.","Le client et le serveur ne sont pas synchronisés ! Vous pourrez trouver une mise à jour qui corrige certains bugs dans votre boutique d'applications.","Klien dan server tidak sinkron! Pembaruan terkini yang mencakup perbaikan bug dan beberapa perombakan telah tersedia di toko aplikasi!","Il client e il server non sono sincronizzati! Un nuovo aggiornamento contenente correzioni di errori e miglioramenti alle prestazioni è disponibile nel tuo store di riferimento.","クライアントとサーバーの同期がとれていません！ バグ修正や調整を含む新しいアップデートが、ご利用のアプリストアに追加されました！","클라이언트와 서버가 동기화되지 않았습니다! 버그 수정 및 개선 사항이 담긴 신규 업데이트가 사용하시는 앱 스토어에 추가되었습니다!","Klien dan pelayan di luar penyegerakan! Kemas kini baharu dengan pembetulan pepijat dan pembaikan telah dihantar ke stor aplikasi anda!","Client en server lopen niet synchroon! We hebben een nieuwe update met probleemoplossingen en verbeteringen naar je appstore gestuurd.","Klienten og serveren er ikke synkronisert. Please check if your application store has a new version available to improve reliability","O cliente e o servidor não estão sincronizados! Uma nova atualização com correções de erros e mudanças já está disponível na sua loja de aplicativos!","Клиент и сервер не синхронизированы! В ваш магазин приложений было направлено обновление с изменениями и исправлением ошибок.","ข้อมูลเกมของผู้เล่นและเซิร์ฟเวอร์ไม่ประสานกัน! มีอัปเดตใหม่ที่มาพร้อมกับการแก้ไขบั๊กและการปรับปรุงในร้านค้าแอปพลิเคชันของท่าน","İstemci ve sunucu uyumlu değil! Hata düzeltmeleri ve bir takım iyileştirmeler içeren yeni güncellememiz uygulama mağazanıza geldi.","Máy khách và máy chủ không đồng bộ! Cửa hàng ứng dụng của bạn hiện đã có một bản cập nhật mới gồm các sửa lỗi và chỉnh sửa cho trò chơi!"
"TID_PRESET_PRODUCTION_BUILDING_UNDER_UPGRADE","Production building is being upgraded!","جارٍ ترقية مبنى الإنتاج!","军队建筑正在升级！","軍隊建築正在升級！","Produktionsgebäude wird verbessert!","El edificio de producción se está mejorando.","ساختمان تولید در حال ارتقاء است!","Tuotantorakennusta päivitetään!","Bâtiment de production en cours d'amélioration.","Bangunan Produksi sedang ditingkatkan!","Miglioramento dell'edificio produttivo in corso!","生産施設がアップグレード中です！","생산 시설이 업그레이드 중입니다!","Bangunan pengeluaran sedang dinaik taraf!","Het productiegebouw wordt momenteel geüpgraded!","Produksjonsbygningen blir oppgradert!","O edifício de produção está sendo melhorado!","Необходимое здание улучшается!","กำลังอัปเกรดสิ่งก่อสร้างการผลิต!","Üretim binası yükseltiliyor.","Công trình sản xuất đang được nâng cấp!"
"TID_EXTERNAL_URL_TEXT","Hey Chief. We're about to send you somewhere outside of Clash of Clans.","مرحبًا يا زعيم. نحن بصدد توجيهك خارج Clash of Clans.","您正要访问《部落冲突》之外的网站。","您正要訪問《部落衝突》之外的網站。","Hallo, Häuptling. Wir leiten dich nun zu einem Ort außerhalb von Clash of Clans weiter.","Jefe, vamos a mandarte a otro sitio fuera de Clash of Clans.","سلام رئیس. در حال فرستادن شما به جایی خارج از Clash of Clans هستیم.","Hei päällikkö, olet poistumassa Clash of Clansista.","En suivant ce lien, vous allez quitter Clash of Clans.","Hai, Chief! Kami akan membawamu keluar dari Clash of Clans.","Capo, stai per aprire un collegamento esterno a Clash of Clans.","まもなく、チーフをクラッシュ・オブ・クランの外の世界へお連れします。","대장! 곧 클래시 오브 클랜 세계 밖으로 떠납니다.","Hei, Ketua. Kami akan hantar anda ke sebuah tempat di luar Clash of Clans.","Hoi Chief. Je wordt omgeleid naar een pagina buiten Clash of Clans.","Hei, høvding. Vi er i ferd med å sende deg til et sted som ligger utenfor Clash of Clans.","Chefe, você está prestes a sair de Clash of Clans.","Вождь, ты собираешься покинуть Clash of Clans.","เฮ้ ท่านหัวหน้า เรากำลังจะส่งท่านออกไปนอกเกม Clash of Clans","Selam Şef. Seni Clash of Clans'in dışında bir yere gönderiyoruz.","Xin chào Chỉ huy! Chúng tôi sắp đưa bạn ra khỏi thế giới Clash of Clans."
"TID_CONNECT_WITH_SCID_BUTTON","Connect to Supercell ID","الاتصال بـ Supercell ID","绑定\nSupercell ID","綁定\nSupercell ID","Supercell ID","Conectar a Supercell ID","اتصال به Supercell ID","Yhdistä Supercell ID:hen","Connexion à Supercell ID","Sambungkan ke Supercell ID","Connetti a Supercell ID","Supercell IDに接続","Supercell ID\n연동","Sambung ke Supercell ID","Verbinden met Supercell ID","Koble til Supercell ID","Conectar ao Supercell ID","Подключиться к Supercell ID","เชื่อมต่อกับ Supercell ID","Supercell ID'ye\nBağlan","Kết nối với Supercell ID"
"TID_ADD_FRIENDS_INFO_REQUESTS","Add Clash Friends from their player profile. Game Center and Facebook friends automatically appear once you've logged in.","قم بإضافة أصدقاء Clash من ملفات اللاعبين التعريفية. يظهر أصدقاء Game Center وFacebook تلقائيًا بمجرد تسجيلك للدخول.","在其他玩家的简介页面可将其添加为好友。登录苹果游戏中心(Game Center)和Facebook账号后，您可以在这里查看您的好友。","在其他玩家的個人資料頁面可將其新增為好友。登入Game Center和Facebook帳號後，您可以在這裡查看您的好友。","Füge Clash-Freunde über ihr Spielerprofil hinzu. Game Center- und Facebook-Freunde werden automatisch angezeigt, wenn du verbunden bist.","Añade amigos desde sus perfiles. Los amigos de Game Center y de Facebook aparecerán automáticamente cuando te conectes.","دوستان قبیله را از نمایه بازیکن آنها اضافه کنید. دوستان مرکز بازی و Facebook زمانی که وارد سیستم شوید، به طور خودکار نشان داده می‌شوند.","Lisää kavereita näiden pelaajaprofiilien kautta. Game Center- ja Facebook-kaverit näkyvät automaattisesti, kun olet kirjautuneena näihin palveluihin.","Ajoutez des amis dans Clash via leur profil de joueur. Vos amis Facebook et Game Center s'affichent automatiquement lorsque vous vous connectez.","Tambahkan Teman Clash dari profil pemain mereka. Teman Game Center dan Facebook akan muncul secara otomatis begitu kamu masuk.","Aggiungi amici Clash dal loro profilo giocatore. Gli amici di Game Center e Facebook appaiono automaticamente dopo che hai effettuato l'accesso.","プレイヤーのプロフィールから、クラッシュ・フレンドに追加しましょう。Game CenterやFacebookのフレンドは、ログインすると自動的に表示されます。","플레이어 프로필에서 클래시 친구로 등록하세요.\nGame Center와 Facebook 친구들은 로그인하면 자동으로 표시됩니다.","Tambah Rakan Clash daripada profil pemain mereka. Rakan Game Center dan Facebook muncul secara automatik sebaik sahaja anda telah melog masuk.","Voeg Clash-vrienden toe via hun spelersprofiel. Game Center- en Facebook-vrienden worden automatisch weergegeven nadat je je hebt aangemeld.","Du kan legge til Clash-venner fra spillerprofilen deres. Game Center- og Facebook-venner legges til automatisk når du har logget inn.","Adicione amigos no Clash a partir do perfil deles. Amigos do Game Center e do Facebook aparecem automaticamente ao se conectar.","Добавьте друга в Clash прямо из его профиля. Друзья по Game Center и Facebook появляются в списке автоматически.","เพิ่มเพื่อน Clash จากประวัติผู้เล่นของพวกเขา เพื่อนจาก Game Center และ Facebook จะปรากฏโดยอัติโนมัติเมื่อท่านได้ล็อกอิน","Oyuncu profillerinden Clash Arkadaşları ekle. Game Center ve Facebook arkadaşları giriş yaptığın zaman otomatik olarak görünürler.","Thêm Bạn Clash từ hồ sơ người chơi của họ. Bạn bè trên Game Center và Facebook sẽ tự động xuất hiện khi bạn đã đăng nhập."
"TID_ADD_FRIENDS_INFO_REQUESTS_ANDROID","Add Clash Friends from their player profile. Facebook friends automatically appear once you've logged in.","قم بإضافة أصدقاء Clash من ملفات اللاعبين التعريفية. يظهر أصدقاء Facebook تلقائيًا بمجرد تسجيلك للدخول.","在其他玩家的简介页面可将其添加为好友。登录Facebook账号后，您可以在这里查看您的好友。","在其他玩家的個人資料頁面可將其新增為好友。登入Facebook帳號後，您可以在這裡查看您的好友。","Füge Clash-Freunde über ihr Spielerprofil hinzu. Facebook-Freunde werden automatisch angezeigt, wenn dein Spiel damit verbunden ist.","Añade amigos desde sus perfiles. Los amigos de Facebook aparecerán automáticamente cuando te conectes.","دوستان قبیله را از نمایه بازیکن آنها اضافه کنید. دوستان Facebook زمانی که وارد سیستم شوید، به طور خودکار نشان داده می‌شوند.","Lisää kavereita näiden pelaajaprofiilien kautta. Facebook-kaverit näkyvät automaattisesti, kun olet kirjautuneena Facebookiin.","Ajoutez des amis dans Clash via leur profil de joueur. Vos amis Facebook s'affichent automatiquement lorsque vous vous connectez.","Tambahkan Teman Clash dari profil pemain mereka. Teman Facebook akan muncul secara otomatis begitu kamu masuk.","Aggiungi amici Clash dal loro profilo giocatore. Gli amici di Facebook appaiono automaticamente dopo che hai effettuato l'accesso.","プレイヤーのプロフィールから、クラッシュ・フレンドに追加しましょう。Facebookのフレンドは、ログインすると自動的に表示されます。","플레이어 프로필에서 클래시 친구로 등록하세요.\nFacebook 친구들은 로그인하면 자동으로 표시됩니다.","Tambah Rakan Clash daripada profil pemain mereka. Rakan Facebook muncul secara automatik sebaik sahaja anda telah melog masuk.","Voeg Clash-vrienden toe via hun spelersprofiel. Facebook-vrienden worden automatisch weergegeven nadat je je hebt aangemeld.","Du kan legge til Clash-venner fra spillerprofilen deres. Facebook-venner legges til automatisk når du har logget inn.","Adicione amigos no Clash a partir do perfil deles. Amigos do Facebook aparecem automaticamente ao se conectar.","Добавьте друга в Clash прямо из его профиля. Друзья по Facebook появляются в списке автоматически.","เพิ่มเพื่อน Clash จากประวัติผู้เล่นของพวกเขา เพื่อนจาก Facebook จะปรากฏโดยอัติโนมัติเมื่อท่านได้ล็อกอิน","Oyuncu profillerinden Clash Arkadaşları ekle. Facebook arkadaşları giriş yaptığın zaman otomatik olarak görünürler.","Thêm Bạn Clash từ hồ sơ người chơi của họ. Bạn bè trên Facebook sẽ tự động xuất hiện khi bạn đã đăng nhập."
"TID_ADD_FRIENDS_INFO_REQUESTS_TENCENT","Add Clash Friends from their player profile. WeChat or QQ friends automatically appear once you've logged in.","أضف أصدقاء Clash من خلال ملفات اللاعبين الشخصية. يظهر أصدقاء WeChat أو QQ تلقائيًا بمجرد تسجيلك للدخول.","在其他玩家的简介页面可将其添加为好友。登录微信或QQ后，您的微信或QQ好友就会显示在这里。","在其他玩家的個人資料頁面可將其新增為好友。登入微信或QQ後，您的微信或QQ好友就會顯示在這裡。","Füge Clash-Freunde über ihr Spielerprofil hinzu. WeChat- oder QQ-Freunde werden automatisch angezeigt, wenn dein Spiel damit verbunden ist.","Añade amigos desde sus perfiles. Los amigos de WeChat o QQ aparecerán automáticamente cuando te conectes.","دوستان قبیله را از نمایه بازیکن آنها اضافه کنید. دوستان WeChat یا QQ زمانی که وارد سیستم شوید، به طور خودکار نشان داده می‌شوند.","Lisää kavereita näiden pelaajaprofiilien kautta. WeChat- ja QQ-kaverit näkyvät automaattisesti, kun olet kirjautuneena sisään.","Ajoutez des amis dans Clash via leur profil de joueur. Vos amis WeChat ou QQ s'affichent automatiquement lorsque vous vous connectez.","Tambahkan Teman Clash dari profil pemain mereka. Teman WeChat atau QQ akan muncul secara otomatis begitu kamu masuk.","Aggiungi amici Clash dal loro profilo giocatore. Gli amici di WeChat e QQ appaiono automaticamente dopo che hai effettuato l'accesso.","プレイヤーのプロフィールから、クラッシュ・フレンドに追加しましょう。WeChatやQQのフレンドは、ログインすると自動的に表示されます。","플레이어 프로필에서 클래시 친구로 등록하세요. 로그인하면 WeChat이나 QQ 친구들이 자동으로 표시됩니다.","Tambah Rakan Clash dari profil pemain mereka. Rakan WeChat atau QQ kelihatan secara automatik setelah anda melog masuk.","Voeg Clash-vrienden toe via hun spelersprofiel. WeChat- of QQ-vrienden worden automatisch weergegeven nadat je je hebt aangemeld.","Du kan legge til Clash-venner fra spillerprofilen deres. WeChat- eller QQ-venner legges til automatisk når du har logget inn.","Adicione amigos do Clash a partir do perfil deles. Amigos do WeChat ou QQ aparecem automaticamente ao se conectar.","Добавьте друга в Clash прямо из его профиля. Друзья по WeChat или QQ появляются в списке автоматически после входа в учетную запись.","เพิ่มเพื่อน Clash จากประวัติผู้เล่นของพวกเขา เพื่อนจาก WeChat หรือ QQ จะปรากฏโดยอัติโนมัติเมื่อท่านได้ล็อกอิน","Clash Arkadaşlarını oyuncu profillerinden ekle. WeChat ya da QQ arkadaşların giriş yaptığında otomatik olarak görünür.","Thêm Bạn Clash từ hồ sơ người chơi của họ. Bạn bè trên WeChat hoặc QQ sẽ tự động xuất hiện khi bạn đã đăng nhập."
"TID_BUY_MISSING_RESOURCES_TEXT","Buy the missing <count> <resource>?","هل تريد شراء <count> <resource> المفقود؟","购买缺少的<count><resource>？","購買缺少的<count><resource>？","Fehlende(s) <count> <resource> kaufen?","Necesitas <count> de <resource>. ¿Quieres comprar?","مابقی <count> <resource> را خریداری می‌کنید؟","Ostetaanko puuttuvat resurssit: <count> <resource>?","Acheter les <count> <resource> nécessaires ?","Beli <count> <resource> yang kurang?","Acquistare le <count> unità di <resource> mancanti?","不足分の<resource> <count> を買いますか？","부족한 <resource> <count>개를 구매할까요?","Beli <count> <resource> yang tiada?","De ontbrekende <count> eenheden <resource> kopen?","Kjøpe manglende <count> <resource>?","Comprar mais <count> <resource>?","Купить недостающие ресурсы: <resource> (<count>)?","ซื้อ <count> <resource> ที่ขาดหายไปหรือไม่?","<count> <resource> eksik, satın alacak mısın?","Bạn muốn mua <count> <resource> còn thiếu không?"
