"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_DIAMOND_BUNDLE_BH9_ALT","Champion Builder Pack","مجموعة البنّاء البطل","建筑大师辉煌礼包","建築大師輝煌特惠包","Champion-Bauarbeiterpaket","Lote de campeón de constructores","بسته سازنده قهرمان","Voittajan rakentajapaketti","Pack ouvrier de compétition","Paket Tukang Juara","Pacchetto costruttore campione","無敵の拠点パック","챔피언 장인 팩","Pek Juara Pembina","Kampioenbouwerpakket","Byggepakke for vinnere","Pacote do construtor campeão","Набор строителя для чемпиона","แพ็คช่างก่อสร้างแชมเปียน","Şampiyon İnşaatçı Paketi","Gói Thợ xây Vô địch"
"TID_LAYOUT_SLOT_UNLOCK","Purchase additional Layout slot with Gems","قم بشراء موضع مخطط إضافي باستخدام الجواهر","使用宝石购买新的阵型栏位","使用寶石購買新的陣型欄位","Zusätzliche Layout-Plätze kannst du mit Juwelen kaufen.","Compra otro hueco de distribución con gemas.","جایگاه چیدمان اضافی را با استفاده از جواهرات خریداری کنید","Osta uusi pohjapiirrospaikka jalokivillä.","Acheter un nouvel emplacement de plan","Beli slot Tata Letak tambahan dengan Permata","Usa le gemme per acquistare nuovi slot per disposizioni","エメラルドで追加レイアウトスロットを購入","보석으로 배치 슬롯 추가 구매","Beli slot Susun Atur tambahan dengan Permata","Koop extra indelingsvakken met edelstenen","Kjøp ekstra layoutplasser med juveler","Compre espaços adicionais de layout com gemas","Купить дополнительные ячейки планировки за кристаллы","ซื้อช่องผังเพิ่มเติมด้วยอัญมณี","Taşlarla fazladan tasarım bölmesi satın al","Mua thêm ô Sơ đồ bằng Ngọc"
"TID_TUTORIAL_FAILED","Oops, something went wrong. Restart and try again!","عذرًا، حدث خطأ ما. أعد التشغيل وحاول مجددًا!","出错了，请重新开始再试一次吧！","出錯了，請重新開始再試一次吧！","Ups! Etwas ist schiefgelaufen. Starte neu und versuch es noch mal!","¡Vaya! Algo ha salido mal. Reinicia el juego y vuelve a intentarlo.","متأسفم، مشکلی به وجود آمد. از اول شروع کنید و دوباره امتحان کنید!","Hups, jokin meni pieleen. Käynnistä peli uudelleen ja yritä uudestaan!","Oups ! Une erreur s'est produite. Veuillez redémarrer et réessayer.","Ups, ada yang salah. Mulai ulang dan coba lagi!","Ops, qualcosa è andato storto. Riavvia e riprova!","エラーが発生しました。再起動してから、もう一度実行してみてください！","알 수 없는 문제가 발생했습니다. 재시작 후 다시 시도해 주세요!","Oops, ada sesuatu yang tidak kena. Mula semula dan cuba sekali lagi!","Oeps, er ging iets mis. Start opnieuw op en probeer het opnieuw.","Uff da, noe gikk galt. Start på nytt og prøv en gang til!","Ops, algo deu errado! Reinicie e tente de novo.","Что-то пошло не так. Перезапусти и попробуй снова.","โอ๊ะ มีบางอย่างผิดพลาด เริ่มเกมใหม่แล้วลองอีกครั้ง!","Eyvah, bir hata oldu. Yeniden başlat ve tekrar dene!","Rất tiếc, đã có lỗi xảy ra. Hãy khởi động và thử lại!"
"TID_NPC_CHALLENGE_LOON_1","Deploy several <c54a0fe>Balloons</c> to overwhelm defenses. Your first priority is the <cf70d16>Air Defense</c>.","انشر العديد من <c54a0fe>البالونات</c> لتقهر الدفاعات. <cf70d16>الدفاع الجوي</c> أولى أولوياتك.","派出多个<c54a0fe>气球兵</c>摧毁防御建筑，您的首要目标是<cf70d16>防空火箭</c>。","派出多個<c54a0fe>氣球兵</c>摧毀防禦建築，您的首要目標是<cf70d16>防空火箭</c>。","Entsende mehrere <c54a0fe>Ballons</c>, um die Verteidigungen zu überwältigen. Deine erste Priorität ist die <cf70d16>Luftabwehr</c>.","Despliega varios <c54a0fe>globos bombásticos</c> para mermar las defensas. Tu prioridad son los <cf70d16>cohetes de defensa</c>.","چند <c54a0fe>بالون</c> را مستقر کنید تا بتوانید دفاع را در هم بشکنید. <cf70d16>دفاع هوایی</c> اولین اولویت شماست.","Sijoita useita <c54a0fe>kuumailmapalloja</c> häiritsemään puolustusta. Tärkein kohteesi on <cf70d16>ilmatorjunta</c>.","Déployez des <c54a0fe>ballons</c> pour submerger les défenses. Visez les <cf70d16>défenses anti-aériennes</c> en priorité.","Kerahkan beberapa <c54a0fe>Balon</c> untuk menyibukkan pertahanan. Prioritas pertama adalah <cf70d16>Pertahanan Udara</c>.","Schiera varie <c54a0fe>mongolfiere</c> per travolgere le difese. La tua priorità è la <cf70d16>difesa aerea</c>.","<c54a0fe>エアバルーン</c>を使って、敵の防衛設備を圧倒しましょう。最優先攻撃目標は<cf70d16>対空砲</c>です。","<c54a0fe>해골 비행선</c>을 여러 개 배치해 방어 시설을 무너뜨리세요. <cf70d16>대공포</c>를 가장 먼저 처리하세요.","Kerahkan beberapa <c54a0fe>Belon</c> untuk mengatasi pertahanan. Keutamaan anda ialah <cf70d16>Pertahanan Udara</c>.","Zet meerdere <c54a0fe>ballonnen</c> in om de verdediging te overrompelen. Je eerste prioriteit is de <cf70d16>luchtafweer</c>.","Utplasser flere <c54a0fe>ballonger</c> for å overvelde forsvaret. Gå etter <cf70d16>luftforsvaret</c> først.","Use vários <c54a0fe>Balões</c> para sobrecarregar as defesas. Sua prioridade é a <cf70d16>Defesa Aérea</c>.","Используй несколько <c54a0fe>шаров,</c> чтобы пробить защиту. Первоочередная задача — уничтожить <cf70d16>воздушную оборону.</c>","ส่ง<c54a0fe>บอลลูน</c>จำนวนมากออกไปเพื่อปกคลุมการป้องกัน เป้าหมายอันดับแรกของท่านคือ<cf70d16>การป้องกันทางอากาศ</c>","Savunmaları bastırmak için birkaç tane <c54a0fe>Balon</c> mevzilendir. İlk önceliğin <cf70d16>Hava Savunması</c>.","Hãy sử dụng vài <c54a0fe>Khinh khí cầu</c> cùng một lúc để áp đảo hàng phòng thủ. Ưu tiên số một của bạn chính là <cf70d16>Tháp Phòng Không</c>."
"TID_NPC_CHALLENGE_TH6_GIWIWA_HEAL1","Use a <cffe346>Heal Spell</c> to protect <c54a0fe>Giants</c> from the <cf70d16>Wizard Tower</c>!","استخدم <cffe346>تعويذة شفاء</c> لحماية <c54a0fe>العمالقة</c> من <cf70d16>برج الساحر</c>!","<c54a0fe>巨人</c>正遭受<cf70d16>法师塔</c>攻击，施放一个<cffe346>疗伤法术</c>保护他们！","<c54a0fe>巨人</c>正遭受<cf70d16>法師塔</c>的攻擊，使用一個<cffe346>療傷法術</c>保護他們！","Nutze einen <cffe346>Heilungszauber</c>, um die <c54a0fe>Riesen</c> vor dem <cf70d16>Magierturm</c> zu schützen!","Usa un <cffe346>hechizo de curación</c> para proteger a los <c54a0fe>gigantes</c> de la <cf70d16>torre de mago</c>.","از <cffe346>طلسم شفا</c> برای محافظت از <c54a0fe>غول‌ها</c> در برابر <cf70d16>برج جادوگر</c> استفاده کنید!","Käytä <cffe346>parannusloitsua</c> suojelemaan <c54a0fe>jättejä</c> <cf70d16>velhotornilta</c>!","Lancez un <cffe346>sort de guérison</c> pour protéger les <c54a0fe>géants</c> des <cf70d16>tours de sorciers</c>.","Gunakan <cffe346>Mantra Sembuhkan</c> untuk melindungi <c54a0fe>Raksasa</c> dari <cf70d16>Menara Penyihir</c>!","Usa un <cffe346>incantesimo Cura</c> per proteggere i <c54a0fe>giganti</c> dalla <cf70d16>torre dello stregone</c>!","<cffe346>ヒールの呪文</c>は、<c54a0fe>ジャイアント</c>を<cf70d16>ウィザードの塔</c>から守るのに使いましょう！","<cffe346>치유 마법</c>을 사용해 <c54a0fe>자이언트</c>를 <cf70d16>마법사 타워</c>로부터 보호하세요!","Gunakan <cffe346>sihir Penyembuh</c> untuk melindungi <c54a0fe>Gergasi</c> dari <cf70d16>Menara Ahli Sihir</c>!","Gebruik een <cffe346>genezingsspreuk</c> om <c54a0fe>reuzen</c> te beschermen tegen de <cf70d16>tovenaarstoren</c>.","Bruk en <cffe346>helbredelsesformel</c> til å beskytte <c54a0fe>kjemper</c> mot <cf70d16>trollmannstårnet</c>!","Use um <cffe346>Feitiço de Cura</c> para proteger os <c54a0fe>Gigantes</c> da <cf70d16>Torre do Mago</c>!","Используй <cffe346>заклинание исцеления,</c> чтобы защитить <c54a0fe>гигантов</c> от <cf70d16>башни колдуна!</c>","ใช้<cffe346>อาคมเยียวยา</c>เพื่อปกป้อง<c54a0fe>ยักษ์</c>จาก<cf70d16>หอคอยพ่อมด</c>!","<c54a0fe>Devleri</c> <cf70d16>Büyücü Kulesinden</c> korumak için bir <cffe346>İyileştirme Büyüsü</c> kullan!","Hãy sử dụng <cffe346>Thần chú Hồi máu</c> để bảo vệ <c54a0fe>Khổng nhân</c> khỏi <cf70d16>Tháp Pháp sư</c>!"
"TID_NPC_CHALLENGE_TH6_GIWIWA_WIZARDS1","Deploy <c54a0fe>Wizards</c> while the defenses are distracted!","انشر <c54a0fe>السحرة</c> أثناء تشتت الدفاعات!","趁防御建筑在攻击其他部队，派出<c54a0fe>法师</c>！","趁防禦建築在攻擊其他部隊時，派出<c54a0fe>法師</c>！","Entsende <c54a0fe>Magier</c>, während die Verteidigungen abgelenkt sind!","Despliega <c54a0fe>magos</c> mientras las defensas están distraídas.","وقتی حواس نیروهای دفاعی پرت است، <c54a0fe>جادوگرها</c> را مستقر کنید!","Sijoita <c54a0fe>velhoja</c>, kun puolustus keskittyy muualle!","Déployez des <c54a0fe>sorciers</c> tant que les défenses sont occupées.","Kerahkan <c54a0fe>Penyihir</c> selagi fokus pertahanan teralihkan!","Schiera gli <c54a0fe>stregoni</c> mentre le difese sono occupate!","敵の防衛施設が混乱している間、<c54a0fe>ウィザード</c>を配置しましょう！","방어 시설을 교란한 틈을 타 <c54a0fe>마법사</c>를 배치하세요!","Kerahkan <c54a0fe>Ahli Sihir</c> sementara perhatian pertahanan terganggu!","Zet <c54a0fe>tovenaars</c> in als de verdediging afgeleid is.","Utplasser <c54a0fe>trollmenn</c> mens forsvarstroppene er uoppmerksomme!","Mobilize <c54a0fe>Magos</c> enquanto as defesas estão distraídas!","Отправь <c54a0fe>колдунов,</c> пока защита отвлеклась!","ส่ง<c54a0fe>พ่อมด</c>ในระหว่างที่กำลังเบนความสนใจการป้องกันอยู่!","Savunmaların dikkati dağınıkken <c54a0fe>Büyücüler</c> mevzilendir!","Hãy triển khai các <c54a0fe>Pháp sư</c> trong khi các công trình phòng thủ đang bị đánh lạc hướng!"
"TID_NPC_CHALLENGE_TH6_GIWIWA_HEAL2","Use another <cffe346>Heal Spell</c> on your <c54a0fe>Giants</c> to get them back to health!","استخدم <cffe346>تعويذة شفاء</c> أخرى على <c54a0fe>العمالقة</c> ليستردوا صحتهم!","再施放一个<cffe346>疗伤法术</c>，帮助<c54a0fe>巨人</c>恢复生命值！","再使用一個<cffe346>療傷法術</c>，幫助<c54a0fe>巨人</c>恢復生命值！","Wende noch einen <cffe346>Heilungszauber</c> bei deinen <c54a0fe>Riesen</c> an, um ihre Trefferpunkte aufzufüllen!","Usa otro <cffe346>hechizo de curación</c> en tus <c54a0fe>gigantes</c> para devolverles la salud.","از <cffe346>طلسم شفای</c> دیگری روی <c54a0fe>غول‌هایتان</c> استفاده کنید تا سلامتیشان را به آنها برگردانید!","Käytä toinen <cffe346>parannusloitsu</c> <c54a0fe>jätteihisi</c> palauttamaan niiden voimat.","Lancez un autre <cffe346>sort de guérison</c> pour restaurer la santé de vos <c54a0fe>géants</c>.","Gunakan <cffe346>Mantra Sembuhkan</c> lain pada <c54a0fe>Raksasa</c> milikmu agar kembali sehat!","Usa un altro <cffe346>incantesimo Cura</c> sui <c54a0fe>giganti</c> per ripristinarne la salute!","<cffe346>ヒールの呪文</c>をもう1つ使って、<c54a0fe>ジャイアント</c>のヒットポイントを回復しましょう！","<c54a0fe>자이언트</c>에게 <cffe346>치유 마법</c>을 한 번 더 사용해 체력을 회복시키세요!","Gunakan <cffe346>sihir Penyembuh</c> pada <c54a0fe>Gergasi</c> untuk menaikkan semula nilai nyawa mereka!","Gebruik nog een <cffe346>genezingsspreuk</c> op je <c54a0fe>reuzen</c> om ze weer gezond te krijgen.","Bruk enda en <cffe346>helbredelsesformel</c> på <c54a0fe>kjempene</c> dine, slik at de blir kvikke og raske igjen!","Use outro <cffe346>Feitiço de Cura</c> nos seus <c54a0fe>Gigantes</c> para restaurar a saúde deles!","Используй еще одно <cffe346>заклинание исцеления,</c> чтобы восполнить здоровье <c54a0fe>гигантов!</c>","ใช้<cffe346>อาคมเยียวยา</c>กับ<c54a0fe>ยักษ์</c>อีก เพื่อเติมพลังชีวิตกลับมา!","Onları sağlığa kavuşturmak için <c54a0fe>Devlerinin</c> üzerinde bir tane daha <cffe346>İyileştirme Büyüsü</c> kullan!","Hãy sử dụng thêm <cffe346>Thần chú Hồi máu</c> lên <c54a0fe>Khổng nhân</c> để giúp họ hồi đầy máu!"
"TID_NPC_CHALLENGE_TH6_GIWIWA_WIZARDS2","The coast is clear! Deploy More <c54a0fe>Wizards</c>!","الساحل خالٍ! انشر المزيد من <c54a0fe>السحرة</c>!","沿线的防御已清理完，派出更多<c54a0fe>法师</c>！","沿線的防禦已清理完畢，派出更多<c54a0fe>法師</c>！","Die Luft ist rein! Entsende mehr <c54a0fe>Magier</c>!","¡No hay moros en la costa! Aprovecha y despliega más <c54a0fe>magos</c>.","ساحل پاکسازی شده است! <c54a0fe>جادوگرهای</c> بیشتری را مستقر کنید!","Reitti on selvä! Sijoita lisää <c54a0fe>velhoja</c>!","La voie est libre ! Déployez d'autres <c54a0fe>sorciers</c>.","Keadaan sudah aman! Kerahkan lebih banyak <c54a0fe>Penyihir</c>!","La via è libera! Schiera altri <c54a0fe>stregoni</c>!","やるなら今です！<c54a0fe>ウィザード</c>をもっと投入しましょう！","이제 더 많은 <c54a0fe>마법사</c>를 배치하세요!","Jalan dah terbuka! Hantar lebih <c54a0fe>Ahli Sihir</c>!","De kust is veilig. Zet meer <c54a0fe>tovenaars</c> in.","Kysten er klar! Utplasser flere <c54a0fe>trollmenn</c>!","A barra está limpa! Mobilize mais <c54a0fe>Magos</c>!","Угрозы нет! Отправь больше <c54a0fe>колдунов!</c>","ทางสะดวกแล้ว! ส่ง<c54a0fe>พ่อมด</c>ลงไปเพิ่ม!","Sahil temiz! Daha Çok <c54a0fe>Büyücü</c> Mevzilendir!","Không còn gì cản trở nữa! Hãy triển khai thêm <c54a0fe>Pháp sư</c>!"
"TID_NPC_CHALLENGE_TH7_DRAGON_DRAGONS2","Deploy one more <c54a0fe>Dragon</c> to clear the corner of the base. This will help direct the rest of your army towards the middle.","انشر <c54a0fe>تنينًا</c> واحدًا إضافيًا لإخلاء زاوية القاعدة. سيساعدك هذا على توجيه بقية جيشك نحو المركز.","再派出一条<c54a0fe>飞龙</c>摧毁边缘的建筑，让您剩下的部队可以免受干扰，直奔敌方核心地带。","再派出一條<c54a0fe>飛龍</c>摧毀邊緣的建築，讓您剩下的部隊可以免受干擾，直奔敵方核心地帶。","Entsende noch einen <c54a0fe>Drachen</c>, um die Ecke der Basis freizuräumen. Das wird dir dabei helfen, den Rest deiner Armee weiter in die Mitte zu bringen.","Despliega un <c54a0fe>dragón</c> más para despejar la esquina de la base. Esto te ayudará a dirigir al resto de tu ejército hacia el centro de la base.","یک <c54a0fe>اژدهای</c> دیگر را برای پاکسازی گوشه پایگاه مستقر کنید. با این کار می‌توانید بقیه ارتشتان را به میانه میدان هدایت کنید.","Sijoita vielä yksi <c54a0fe>lohikäärme</c> tuhoamaan kylän kulma. Tämä auttaa ohjaamaan muut joukot kohti kylän keskusta.","Déployez un <c54a0fe>dragon</c> supplémentaire pour dégager le coin de la base. Cela aidera à diriger votre armée vers son centre.","Kerahkan satu <c54a0fe>Naga</c> lagi untuk menyapu bersih pojok basis. Ini akan membantu mengarahkan sisa pasukanmu menuju tengah.","Schiera un altro <c54a0fe>drago</c> per occuparti dell'angolo della base. Così facendo le altre truppe si dirigeranno nel centro.","もう1体<c54a0fe>ドラゴン</c>を配置して、村の一角を破壊しましょう。そうすれば、残りのユニットが一気に攻め入ることができます。","<c54a0fe>드래곤</c>을 하나 더 배치해 마을 측면을 파괴하세요. 나머지 군대가 마을 중앙으로 진입할 수 있게 길을 터줍니다.","Kerahkan seekor lagi <c54a0fe>Naga</c> untuk musnahkan sudut pangkalan. Ini akan membantu membawa askar-askar lain anda ke pusatnya.","Zet nog een <c54a0fe>draak</c> in om de hoek van het dorp vrij te maken. Zo kan de rest van je leger zich een weg banen naar de kern.","Utplasser enda en <c54a0fe>drage</c> for å få ryddet basens hjørne. Dette vil gjøre det lettere for resten av hæren din å ta seg mot midten.","Mobilize mais um <c54a0fe>Dragão</c> para desobstruir o canto da base. Isso vai ajudar o seu exército a seguir em direção ao centro.","Отправь еще одного <c54a0fe>дракона</c> зачистить угол деревни. Это поможет направить остальные войска в центр.","ส่ง<c54a0fe>มังกร</c>อีกตัวเพื่อเคลียร์มุมของฐาน นี่จะช่วยให้กองทัพที่เหลือสามารถเข้าไปสู่ตรงกลางฐานได้","Üssün köşesini temizlemek için bir tane daha <c54a0fe>Ejderha</c> mevzilendir. Böylece ordunun kalanını merkeze yönlendirebilirsin.","Sử dụng thêm một con <c54a0fe>Rồng</c> để dọn dẹp góc căn cứ. Điều này sẽ giúp dẫn đường cho đội quân của bạn tiến đến trung tâm căn cứ."
