"Name","DefaultValue","AllowSnapshotUpdate","TID","InfoTID","IconSWF","IconExportName"
"String","int","boolean","String","String","String","String"
"StarBonusCounter",,,,,,
"StarBonusCooldown",,,,,,
"StarBonusTimerEndSubTick",,,,,,
"StarBonusTimerEndTimestep",,,,,,
"StarBonusTimesCollected",,,,,,
"ChallengeStarted",,,,,,
"ChallengeLayoutIsWar",,,,,,
"FriendListLastOpened",,,,,,
"BeenInArrangedWar",,,,,,
"UNUSED_WITH_OLD_VALUE",,,,,,
"AccountBound",,,,,,
"EventUseTroop",,,,,,
"VillageToGoTo",,,,,,
"LootLimitWinCount",,,,,,
"LootLimitTimerEndSubTick",,,,,,
"LootLimitTimerEndTimestamp",,,,,,
"LootLimitCooldown",,,,,,
"Village2BarrackLevel",,,,,,
"LootLimitFreeSpeedUp",,,,,,
"BooleanFlags",,"TRUE",,,,
"MaxArmyTimerEndSubTick",,"TRUE",,,,
"MaxArmyTimerEndTimeStamp",,"TRUE",,,,
"MaxArmyTimerPausedTicksLeft",,"TRUE",,,,
"AllianceUnitDeploymentMethod",,"TRUE",,,,
"ShowOnlyRelevantTroopRequests",1,,,,,
"HeroPotionTimerEndSubTick",,"TRUE",,,,
"HeroPotionTimerEndTimeStamp",,"TRUE",,,,
"HeroPotionTimerPausedTicksLeft",,"TRUE",,,,
"TaskEventProgress1",,,,,,
"TaskEventProgress2",,,,,,
"TaskEventProgress3",,,,,,
"ClanChatRulesVersion",,"TRUE",,,,
"ClanChatRulesVersionTimestamp",,"TRUE",,,,
"CurrentBattlePassSeason",,,,,,
"PassPerkTroopTrainingBoost",,,"TID_BP_PERK_TRAINING_BOOST","TID_BP_PERK_TRAINING_BOOST_DESC","sc/ui.sc","PassPerk_Troop_Training_Time"
"TriggerHeroAbilityOnDeath",255,,,,,
"RejectClanInviteCounter",,,,,,
"PassPerkBuildingBoost",,,"TID_BP_PERK_BUILDING_BOOST","TID_BP_PERK_BUILDING_BOOST_DESC","sc/ui.sc","PassPerk_Building_Time"
"ReengagementProgress",,"TRUE",,,,
"PassPerkSavingsPayout",,,"TID_BP_PERK_SAVINGS_PAYOUT","TID_BP_PERK_SAVINGS_PAYOUT_DESC","sc/ui.sc","PassPerk_Piggy_Bank"
"PassPerkGemDonationCost",,,"TID_BP_PERK_GEM_DONATION_COST","TID_BP_PERK_GEM_DONATION_COST_DESC","sc/ui.sc","PassPerk_Troop_Gem_Donation_Cost"
"DailyPassTaskProgress1",,,,,,
"DailyPassTaskProgress2",,,,,,
"DailyPassTaskProgress3",,,,,,
"SeasonalPassTaskProgress1",,"TRUE",,,,
"SeasonalPassTaskProgress2",,"TRUE",,,,
"SeasonalPassTaskProgress3",,"TRUE",,,,
"SeasonalPassTaskProgress4",,"TRUE",,,,
"SeasonalPassTaskProgress5",,"TRUE",,,,
"SeasonalPassTaskProgress6",,"TRUE",,,,
"SeasonalPassTaskProgress7",,"TRUE",,,,
"SeasonalPassTaskProgress8",,"TRUE",,,,
"SeasonalPassTaskProgress9",,"TRUE",,,,
"SeasonalPassTaskProgress10",,"TRUE",,,,
"SeasonalPassTaskProgress11",,"TRUE",,,,
"SeasonalPassTaskProgress12",,"TRUE",,,,
"SeasonalPassTaskProgress13",,"TRUE",,,,
"SeasonalPassTaskProgress14",,"TRUE",,,,
"SeasonalPassTaskProgress15",,"TRUE",,,,
"SeasonalPassTaskProgress16",,"TRUE",,,,
"SeasonalPassTaskProgress17",,"TRUE",,,,
"SeasonalPassTaskProgress18",,"TRUE",,,,
"SeasonalPassTaskProgress19",,"TRUE",,,,
"SeasonalPassTaskProgress20",,"TRUE",,,,
"SeasonalPassTaskProgress21",,"TRUE",,,,
"SeasonalPassTaskProgress22",,"TRUE",,,,
"SeasonalPassTaskProgress23",,"TRUE",,,,
"SeasonalPassTaskProgress24",,"TRUE",,,,
"SeasonalPassTaskProgress25",,"TRUE",,,,
"SeasonalPassTaskProgress26",,"TRUE",,,,
"SeasonalPassTaskProgress27",,"TRUE",,,,
"SeasonalPassTaskProgress28",,"TRUE",,,,
"SeasonalPassTaskProgress29",,"TRUE",,,,
"SeasonalPassTaskProgress30",,"TRUE",,,,
"PassPerkResearchBoost",,,"TID_BP_PERK_RESEARCH_BOOST","TID_BP_PERK_RESEARCH_BOOST_DESC","sc/ui.sc","PassPerk_Lab_Research_Time"
"SeasonalPassTaskProgress31",,"TRUE",,,,
"SeasonalPassTaskProgress32",,"TRUE",,,,
"SeasonalPassTaskProgress33",,"TRUE",,,,
"SeasonalPassTaskProgress34",,"TRUE",,,,
"SeasonalPassTaskProgress35",,"TRUE",,,,
"SeasonalPassTaskProgress36",,"TRUE",,,,
"SeasonalPassTaskProgress37",,"TRUE",,,,
"SeasonalPassTaskProgress38",,"TRUE",,,,
"SeasonalPassTaskProgress39",,"TRUE",,,,
"SeasonalPassTaskProgress40",,"TRUE",,,,
"SeasonalPassTaskProgress41",,"TRUE",,,,
"SeasonalPassTaskProgress42",,"TRUE",,,,
"SeasonalPassTaskProgress43",,"TRUE",,,,
"SeasonalPassTaskProgress44",,"TRUE",,,,
"SeasonalPassTaskProgress45",,"TRUE",,,,
"SeasonalPassTaskProgress46",,"TRUE",,,,
"SeasonalPassTaskProgress47",,"TRUE",,,,
"SeasonalPassTaskProgress48",,"TRUE",,,,
"SeasonalPassTaskProgress49",,"TRUE",,,,
"SeasonalPassTaskProgress50",,"TRUE",,,,
"DeployStepState",1,,,,,
"MaxLayoutShareRequestsPerHour",20,,,,,
"StarBonusMultiplierTimerEndSubTick",,"TRUE",,,,
"StarBonusMultiplierTimerEndTimestamp",,"TRUE",,,,
"PVPReducedDifficultyAttacksLeft",,,,,,
"PVPReducedDifficultyAttacksSource",,,,,,
"LastReengaged",,,,,,
"SeasonalPassTaskProgress51",,"TRUE",,,,
"SeasonalPassTaskProgress52",,"TRUE",,,,
"SeasonalPassTaskProgress53",,"TRUE",,,,
"SeasonalPassTaskProgress54",,"TRUE",,,,
"SeasonalPassTaskProgress55",,"TRUE",,,,
"SeasonalPassTaskProgress56",,"TRUE",,,,
"SeasonalPassTaskProgress57",,"TRUE",,,,
"SeasonalPassTaskProgress58",,"TRUE",,,,
"SeasonalPassTaskProgress59",,"TRUE",,,,
"SeasonalPassTaskProgress60",,"TRUE",,,,
"CapitalRaidCalendarEventId",,,,,,
"CapitalRaidAllianceIdHigh",,,,,,
"CapitalRaidAllianceIdLow",,,,,,
"ShowLastRaidSeasonResultsScreen",,,,,,
"CapitalRaidSeenIdHigh",,,,,,
"CapitalRaidSeenIdLow",,,,,,
"ChiefsJourneySeenNewTownHall",1,,,,,
