"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_NO_FRIENDLY_ARMY","You need to create Friendly Army first.","يجب أن تنشئ الجيش الودي أولاً.","您需要先创建友谊战军队配置。","您需要先創建友誼戰軍隊設定。","Du musst zuerst eine Freundschaftsspiel-Armee erstellen.","Primero tienes que crear un ejército amistoso.","اول باید ارتش دوستانه را ایجاد کنید.","Ystävyysarmeija on luotava ensin.","Vous devez d'abord créer une armée amicale.","Kamu harus menyiapkan Tentara Teman terlebih dahulu.","Devi prima creare un esercito delle amichevoli.","先にフレンドリー部隊を作成してください。","친선 부대를 먼저 생성해야 합니다.","Anda perlu cipta tentera sahabat dahulu.","Je moet eerst een vriendschappelijk leger samenstellen.","Du må først opprette en vennskapshær.","É preciso criar um exército amistoso primeiro.","Сначала нужно создать дружескую армию.","ท่านต้องสร้างกองทัพฉันมิตรก่อน","Önce Dostluk Ordusu oluşturmalısın.","Bạn cần tạo Đội quân Giao hữu trước."
"TID_BOOST_TIME_LEFT","Boost left:","التعزيز المتبقي:","加成还剩","加成還剩","Schub-Restzeit:","Potenciador restante:","تقویت باقیمانده:","Tehostus:","Boost restant :","Pelaju tersisa:","Potenziam. rimasto:","残り時間","남은 시간:","Baki galakan:","Resterende boost:","Forsterkning igjen:","Aceleração restante:","До конца:","การบูสต์ที่เหลืออยู่:","Hızlandırmanın bitmesine:","T.gian c.hóa còn:"
"TID_GRAND_WARDEN_GLADIATOR","Gladiator Warden","الآمر المبارز","角斗士守护者","角鬥士守護者","Gladiatorwächter","Centinela gladiador","نگهبان گلادیاتور","Gladiaattorisuojelija","Gardien gladiateur","Wali Gladiator","Sorvegliante gladiatore","剣闘士 ウォーデン","검투사 워든","Warden Gladiator","Gladiatorwachter","Gladiatorvokter","Guardião Gladiador","Хранитель-гладиатор","ผู้คุมกลาดิเอเตอร์","Gladyatör Koruyucu","Quản giáo Giác đấu"
"TID_OBSTACLE_BIRTHDAY2020","8th Anniversary Cake","كعكة الذكرى السنوية الثامنة","8周岁生日蛋糕","8周年生日蛋糕","Torte zum 8. Jahrestag","Tarta del 8.º aniversario","کیک تولد 8 سالگی","8-vuotissynttärikakku","Gâteau des 8 ans","Kue Ultah ke-8","Torta dell'ottavo anniversario","8周年記念ケーキ","8주년 기념 케이크","Kek Ulang Tahun ke-8","Taart voor achtste verjaardag","Kake til 8-årsjubileet","Bolo de 8º aniversário","Торт в честь 8-й годовщины","เค้กฉลองครบรอบ 8 ปี","8. Yıl Dönümü Pastası","Bánh Kỷ niệm lần thứ 8"
"TID_ANTIADDICTION_NO_REAL_NAME_VERIFIED_1","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You are not allowed to log in from 22:00 to 8:00 of the next day. Please consult our official website to finish the real-name verification. You can try to log in later after you finish the real-name verification.","نظرًا لأنك لم تتمم عملية التحقق من الهوية، فأنت مقيد بنظام الحماية من الإدمان. لا يُسمح لك بتسجيل الدخول بين الساعة 10 مساءً والساعة 8 صباحًا من اليوم التالي. زر موقعنا الإلكتروني الرسمي لإتمام التحقق من الهوية. يمكنك محاولة تسجيل الدخول لاحقًا بعد إتمام عملية التحقق من الهوية.","由于您未满18周岁或未实名认证，已被纳入防沉迷系统，每日晚22：00至次日8:00 不允许游戏。","由於你尚未滿18周歲或未實名認證，已被納入防沉迷系統，每日22：00至次日8:00 不允許進行遊戲。","Da du deinen bürgerlichen Namen noch nicht nachgewiesen hast, ist dieses Spielkonto vom Suchtbekämpfungssystem eingeschränkt. Du wirst dich von 22:00 Uhr bis 08:00 Uhr am folgenden Tag nicht einloggen können. Bitte weise deinen bürgerlichen Namen auf unserer offiziellen Website nach. Wenn du dies getan hast, kannst du erneut versuchen, dich einzuloggen.","Puesto que aún no has completado la verificación de tu nombre real, se aplicarán limitaciones a tu cuenta relativas al sistema antiadicción: no podrás iniciar sesión entre las 22:00 y las 8:00 del día siguiente. Visita nuestra página web oficial para completar el proceso de verificación. Puedes intentar iniciar sesión más tarde, cuando el procedimiento se complete.","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You are not allowed to log in from 22:00 to 8:00 of the next day. Please consult our official website to finish the real-name verification. You can try to log in later after you finish the real-name verification.","Et ole suorittanut oikean nimesi vahvistusta loppuun, joten riippuvuuden vastaisen järjestelmän mukaiset rajoitteet koskevat sinua. Et voi kirjautua peliin kello 22.00-8.00 välisenä aikana. Käy virallisella verkkosivustollamme vahvistamassa nimesi. Voit yrittää kirjautua uudelleen nimen vahvistamisen jälkeen.","Vous n'avez pas fini le processus de vérification de votre identité et êtes donc soumis(e) aux limites définies par le dispositif anti-addiction. Vous êtes interdit(e) de connexion à partir de 22 h aujourd'hui, jusqu'à 8 h demain. Veuillez consulter notre site officiel pour achever le processus de vérification de votre identité. Une fois terminé, vous pourrez vous reconnecter.","Karena kamu belum menyelesaikan verifikasi nama asli, kamu dibatasi oleh sistem antikecanduan. Kamu tidak diperkenankan untuk masuk ke game dari pukul 22:00 hingga pukul 08:00 keesokan harinya. Silakan lengkapi verifikasi nama asli melalui situs web resmi kami. Kamu bisa kembali mencoba masuk ke game setelah verifikasi selesai.","Poiché non hai completato la verifica del tuo nome reale, non puoi accedere al gioco dalle 22 alle 8 del giorno successivo, in base a quanto previsto dalle disposizioni anti-dipendenza. Consulta il nostro sito ufficiale per completare la verifica del nome, dopodiché potrai tentare nuovamente l'accesso al gioco.","実名認証を完了されていないため、ゲーム依存防止システムによるプレイ制限がかかっております。午後10時から翌日の午前8時まではゲームにログインできません。弊社の公式ウェブサイトで実名認証を完了してから、もう一度ログインしてみてください。","실명 인증이 완료되지 않아 중독 근절 시스템에 의해 플레이가 제한됩니다. 22:00부터 내일 8:00까지 게임에 로그인할 수 없습니다. 실명 인증을 완료하려면 공식 웹사이트를 참조해주세요. 실명 인증을 완료한 뒤에 로그인할 수 있습니다.","Memandangkan anda belum selesai melakukan pengesahan nama sebenar, anda kini berada dalam pengehadan sistem anti-ketagihan. Anda tidak dibenarkan log masuk dari pukul 22:00 hingga 8:00 keesokan hari. Sila merujuk kepada laman web rasmi kami untuk selesaikan pengesahan nama sebenar. Anda boleh cuba log masuk kemudian selepas menyelesaikan pengesahan nama sebenar.","Omdat je de verificatie van je echte naam nog niet hebt voltooid, val je onder de beperkingen van het anti-verslavingssysteem. Je mag niet inloggen tussen 22:00 uur tot 8:00 uur de volgende dag. Ga naar onze officiële website om de verificatie van je echte naam te voltooien. Je kunt weer proberen in te loggen nadat je je echte naam hebt geverifieerd.","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You are not allowed to log in from 22:00 to 8:00 of the next day. Please consult our official website to finish the real-name verification. You can try to log in later after you finish the real-name verification.","Como você não finalizou a verificação do seu nome real, as restrições antivício estão em vigor. Não é possível acessar o jogo com essa conta das 22h de um dia até as 8h do dia seguinte. Confira o nosso site oficial para finalizar a verificação do seu nome real, e você poderá tentar entrar no jogo após concretizar esse processo.","Так как вы ещё не подтвердили своё настоящее имя, то не можете входить в игру с 22:00 до 8:00 следующего дня в соответствии с ограничениями системы предотвращения зависимости. Чтобы выполнить проверку имени, посетите официальный сайт игры. После завершения проверки имени можно будет снова попробовать войти в игру.","เนื่องจากคุณยังไม่ได้ยืนยันชื่อจริง คุณจึงอยู่ภายใต้ข้อจำกัดของระบบป้องกันการติดเกม คุณไม่ได้รับอนุญาตให้ล็อกอินระหว่าง 22.00 - 8.00 น. ของวันรุ่งขึ้นได้ โปรดติดต่อเว็บไซต์อย่างเป็นทางการของเราเพื่อยืนยันชื่อจริงให้เสร็จสิ้น คุณสามารถล็อกอินได้อีกครั้งหลังจากยืนยันชื่อจริงเรียบร้อยแล้ว","Gerçek adınızı doğrulama işlemini tamamlamadığınızdan bağımlılık önleme sistemimizin sınırlaması altındasınız. Bu sistem kapsamında akşam 10'dan ertesi günün sabahı 8'e kadar oyuna giriş yapamazsınız. Gerçek adınızı doğrulama işlemini tamamlamak için resmi internet sitemize danışın. Gerçek adınızı doğruladığınızda tekrar oyuna giriş yapmayı deneyebilirsiniz.","Do bạn vẫn chưa hoàn tất quá trình xác minh tên thật nên bạn phải chịu sự giới hạn của hệ thống chống nghiện game. Bạn không được phép đăng nhập vào game trong khoảng từ 22:00 đến 8:00 ngày hôm sau. Vui lòng tham khảo trang web chính thức của chúng tôi để hoàn tất xác minh tên thật. Bạn có thể thử đăng nhập vào game sau khi đã hoàn tất việc xác minh tên thật."
"TID_ANTIADDICTION_NO_REAL_NAME_VERIFIED_2","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You have reached the 3-hour daily maximum for gaming during legal holidays. Please consult our official website to finish the real-name verification. You can try to log in later after you finish the real-name verification.","نظرًا لأنك لم تتمم عملية التحقق من الهوية، فأنت مقيد بنظام الحماية من الإدمان. بلغت الحد الأقصى للعب المسموح به يوميًا خلال العطلات الرسمية، وهو 3 ساعات. زر موقعنا الإلكتروني الرسمي لإتمام التحقق من الهوية. يمكنك محاولة تسجيل الدخول لاحقًا بعد إتمام عملية التحقق من الهوية.","由于您未满18周岁或未实名认证，已被纳入防沉迷系统，法定节假日已达到最大游戏时长3小时。","由於你尚未滿18周歲或未實名認證，法定假日已達到最高遊戲時間上限3小時。","Da du deinen echten Namen noch nicht nachgewiesen hast, ist dieses Spielkonto vom Suchtbekämpfungssystem eingeschränkt. Du hast das tägliche dreistündige Maximum für das Spielen von Videospielen an gesetzlichen Feiertagen erreicht. Bitte weise deinen echten Namen auf unserer offiziellen Website nach. Wenn du dies getan hast, kannst du erneut versuchen, dich einzuloggen.","Puesto que aún no has completado la verificación de tu nombre real, se aplicarán limitaciones a tu cuenta relativas al sistema antiadicción: has alcanzado el límite diario de 3 horas de juego durante vacaciones oficiales. Visita nuestra página web oficial para completar el proceso de verificación. Puedes intentar iniciar sesión más tarde, cuando el procedimiento se complete.","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You have reached the 3-hour daily maximum for gaming during legal holidays. Please consult our official website to finish the real-name verification. You can try to log in later after you finish the real-name verification.","Et ole suorittanut oikean nimesi vahvistusta loppuun, joten riippuvuuden vastaisen järjestelmän mukaiset rajoitteet koskevat sinua. Pelaamista virallisina juhlapyhinä koskeva 3 tunnin päivittäinen aikaraja on tullut täyteen. Käy virallisella verkkosivustollamme vahvistamassa nimesi. Voit yrittää kirjautua uudelleen nimen vahvistamisen jälkeen.","Vous n'avez pas fini le processus de vérification de votre identité et êtes donc soumis(e) aux limites définies par le dispositif anti-addiction. Vous avez atteint 3 heures de jeu, soit la limite quotidienne pendant les vacances scolaires. Veuillez consulter notre site officiel pour achever le processus de vérification de votre identité. Une fois terminé, vous pourrez vous reconnecter.","Karena belum melengkapi verifikasi nama asli, kamu dibatasi oleh sistem antikecanduan. Kamu telah mencapai batas maksimum 3 jam per hari untuk bermain game di hari libur nasional. Silakan lengkapi verifikasi nama asli melalui situs web resmi kami. Kamu bisa kembali mencoba masuk ke game setelah verifikasi selesai.","Poiché non hai completato la verifica del tuo nome reale, non puoi giocare per più di tre ore al giorno durante le festività ufficiali, in base a quanto previsto dalle disposizioni anti-dipendenza. Hai raggiunto tale limite, ma se consulti il nostro sito ufficiale e completi la verifica del nome, potrai tentare nuovamente l'accesso al gioco.","実名認証を完了されていないため、ゲーム依存防止システムによるプレイ制限がかかっております。法定休日のプレイ可能時間の3時間に達しました。弊社の公式ウェブサイトで実名認証を完了してから、もう一度ログインしてみてください。","실명 인증이 완료되지 않아 중독 근절 시스템에 의해 플레이가 제한됩니다. 법정 공휴일 일일 최대 플레이 시간인 3시간에 도달했습니다. 실명 인증을 완료하려면 공식 웹사이트를 참조해주세요. 실명 인증을 완료한 뒤에 로그인할 수 있습니다.","Memandangkan anda belum selesai melakukan pengesahan nama sebenar, anda kini berada dalam pengehadan sistem anti-ketagihan. Anda telah mencapai had masa bermain 3 jam sehari ketika cuti am. Sila merujuk kepada laman web rasmi kami untuk selesaikan pengesahan nama sebenar. Anda boleh cuba log masuk kemudian selepas menyelesaikan pengesahan nama sebenar.","Omdat je de verificatie van je echte naam nog niet hebt voltooid, val je onder de beperkingen van het anti-verslavingssysteem. Je hebt drie uur lang gespeeld en daarmee de dagelijkse speeltijdlimiet tijdens wettelijke feestdagen bereikt. Ga naar onze officiële website om de verificatie van je echte naam te voltooien. Je kunt weer proberen in te loggen nadat je je echte naam hebt geverifieerd.","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You have reached the 3-hour daily maximum for gaming during legal holidays. Please consult our official website to finish the real-name verification. You can try to log in later after you finish the real-name verification.","Como você não finalizou a verificação do seu nome real, as restrições antivício estão em vigor. Você alcançou o limite máximo de 3 horas de jogo por dia durante feriados oficiais. Confira o nosso site oficial para finalizar a verificação do seu nome real, e você poderá tentar entrar no jogo após concretizar esse processo.","Так как вы ещё не подтвердили своё настоящее имя, то не можете играть более 3 часов в день в праздничные дни в соответствии с ограничениями системы предотвращения зависимости. Чтобы выполнить проверку имени, посетите официальный сайт игры. После завершения проверки имени можно будет снова попробовать войти в игру.","เนื่องจากคุณยังไม่ได้ยืนยันชื่อจริง คุณจึงอยู่ภายใต้ข้อจำกัดของระบบป้องกันการติดเกม คุณได้เล่นเกมครบจำนวนสูงสุด 3 ชั่วโมงต่อวันในวันหยุดตามกฎหมายกำหนดแล้ว โปรดติดต่อเว็บไซต์อย่างเป็นทางการของเราเพื่อยืนยันชื่อจริงให้เสร็จสิ้น คุณสามารถล็อกอินได้อีกครั้งหลังจากยืนยันชื่อจริงเรียบร้อยแล้ว","Gerçek adınızı doğrulama işlemini tamamlamadığınızdan bağımlılık önleme sistemimizin sınırlaması altındasınız. Bu sistem kapsamında resmi tatillerde günlük oyun oynayabileceğiniz süre maksimum 3 saattir ve bu süreyi doldurdunuz. Gerçek adınızı doğrulama işlemini tamamlamak için resmi internet sitemize danışın. Gerçek adınızı doğruladığınızda tekrar oyuna giriş yapmayı deneyebilirsiniz.","Do bạn vẫn chưa hoàn tất quá trình xác minh tên thật nên bạn vẫn chịu sự giới hạn của hệ thống chống nghiện game. Bạn đã đạt giới hạn chơi game tối đa 3 giờ mỗi ngày trong các ngày lễ quốc gia. Vui lòng tham khảo trang web chính thức của chúng tôi để hoàn tất xác minh tên thật. Bạn có thể thử đăng nhập vào game sau khi đã hoàn tất việc xác minh tên thật."
"TID_ANTIADDICTION_NO_REAL_NAME_VERIFIED_3","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You have reached the 1.5-hour daily maximum for gaming. Please consult our official website to finish the real-name verification. You can try to log in later after you finish the real-name verification.","نظرًا لأنك لم تتمم عملية التحقق من الهوية، فأنت مقيد بنظام الحماية من الإدمان.بلغت الحد الأقصى للعب المسموح به يوميًا، وهو ساعة ونصف. زر موقعنا الإلكتروني الرسمي لإتمام التحقق من الهوية. يمكنك محاولة تسجيل الدخول لاحقًا بعد إتمام عملية التحقق من الهوية.","由于您未满18周岁或未实名认证，已被纳入防沉迷系统，非法定节假日已达到最大游戏时长1.5小时。","由於你尚未滿18周歲或未實名認證，已被納入防沉迷系統，非法定假日已達到最高遊戲時間上限1.5小時。","Da du deinen bürgerlichen Namen noch nicht nachgewiesen hast, ist dieses Spielkonto vom Suchtbekämpfungssystem eingeschränkt. Du hast das tägliche eineinhalbstündige Maximum für das Spielen von Videospielen erreicht. Bitte weise deinen bürgerlichen Namen auf unserer offiziellen Website nach. Wenn du dies getan hast, kannst du erneut versuchen, dich einzuloggen.","Puesto que aún no has completado la verificación de tu nombre real, se aplicarán limitaciones a tu cuenta relativas al sistema antiadicción: has alcanzado el límite diario de 1,5 horas de juego. Visita nuestra página web oficial para completar el proceso de verificación. Puedes intentar iniciar sesión más tarde, cuando el procedimiento se complete.","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You have reached the 1.5-hour daily maximum for gaming. Please consult our official website to finish the real-name verification. You can try to log in later after you finish the real-name verification.","Et ole suorittanut oikean nimesi vahvistusta loppuun, joten riippuvuuden vastaisen järjestelmän mukaiset rajoitteet koskevat sinua. Päivittäinen 1,5 tunnin aikaraja pelaamiselle on tullut täyteen. Käy virallisella verkkosivustollamme vahvistamassa nimesi. Voit yrittää kirjautua uudelleen nimen vahvistamisen jälkeen.","Vous n'avez pas fini le processus de vérification de votre identité et êtes donc soumis(e) aux limites définies par le dispositif anti-addiction. Vous avez atteint la limite quotidienne de 1 heure et demie de jeu. Veuillez consulter notre site officiel pour achever le processus de vérification de votre identité. Une fois terminé, vous pourrez vous reconnecter.","Karena belum melengkapi verifikasi nama asli, kamu dibatasi oleh sistem antikecanduan. Kamu telah mencapai batas maksimum 1,5 jam per hari untuk bermain game. Silakan lengkapi verifikasi nama asli melalui situs web resmi kami. Kamu bisa kembali mencoba masuk ke game setelah verifikasi selesai.","Poiché non hai completato la verifica del tuo nome reale, non puoi giocare per più di un'ora e mezza al giorno, in base a quanto previsto dalle disposizioni anti-dipendenza. Hai raggiunto tale limite, ma se consulti il nostro sito ufficiale e completi la verifica del nome, potrai tentare nuovamente l'accesso al gioco.","実名認証を完了されていないため、ゲーム依存防止システムによるプレイ制限がかかっております。一日のプレイ可能時間の1時間30分に達しました。弊社の公式ウェブサイトで実名認証を完了してから、もう一度ログインしてみてください。","실명 인증이 완료되지 않아 중독 근절 시스템에 의해 플레이가 제한됩니다. 일일 최대 플레이 시간인 1.5시간에 도달했습니다. 실명 인증을 완료하려면 공식 웹사이트를 참조해주세요. 실명 인증을 완료한 뒤에 로그인할 수 있습니다.","Memandangkan anda belum selesai melakukan pengesahan nama sebenar, anda kini berada dalam pengehadan sistem anti-ketagihan. Anda telah mencapai had masa bermain 1.5 jam sehari ketika cuti am. Sila merujuk kepada laman web rasmi kami untuk selesaikan pengesahan nama sebenar. Anda boleh cuba log masuk kemudian selepas menyelesaikan pengesahan nama sebenar.","Omdat je de verificatie van je echte naam nog niet hebt voltooid, val je onder de beperkingen van het anti-verslavingssysteem. Je hebt negentig minuten lang gespeeld en daarmee de dagelijkse speeltijdlimiet bereikt. Ga naar onze officiële website om de verificatie van je echte naam te voltooien. Je kunt weer proberen in te loggen nadat je je echte naam hebt geverifieerd.","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You have reached the 1.5-hour daily maximum for gaming. Please consult our official website to finish the real-name verification. You can try to log in later after you finish the real-name verification.","Como você não finalizou a verificação do seu nome real, as restrições antivício estão em vigor. Você alcançou o limite máximo de 1h30 de jogo por dia. Confira o nosso site oficial para finalizar a verificação do seu nome real, e você poderá tentar entrar no jogo após concretizar esse processo.","Так как вы ещё не подтвердили своё настоящее имя, то вы не можете играть более 1,5 часов в день в соответствии с действующими ограничениями системы предотвращения зависимости.Чтобы выполнить проверку имени, посетите официальный сайт игры. После завершения проверки имени можно будет снова попробовать войти в игру.","เนื่องจากคุณยังไม่ได้ยืนยันชื่อจริง คุณจึงอยู่ภายใต้ข้อจำกัดของระบบป้องกันการติดเกม คุณได้เล่นเกมครบจำนวนสูงสุด 1.5 ชั่วโมงต่อวันแล้ว โปรดติดต่อเว็บไซต์อย่างเป็นทางการของเราเพื่อยืนยันชื่อจริงให้เสร็จสิ้น คุณสามารถล็อกอินได้อีกครั้งหลังจากยืนยันชื่อจริงเรียบร้อยแล้ว","Gerçek adınızı doğrulama işlemini tamamlamadığınızdan bağımlılık önleme sistemimizin sınırlaması altındasınız. Bu sistem kapsamında günlük oyun oynayabileceğiniz süre maksimum 1,5 saattir ve bu süreyi doldurdunuz. Gerçek adınızı doğrulama işlemini tamamlamak için resmi internet sitemize danışın. Gerçek adınızı doğruladığınızda tekrar oyuna giriş yapmayı deneyebilirsiniz.","Do bạn vẫn chưa hoàn tất quá trình xác minh tên thật nên bạn phải chịu sự giới hạn của hệ thống chống nghiện game. Bạn đã đạt giới hạn chơi game tối đa 1,5 giờ mỗi ngày. Vui lòng tham khảo trang web chính thức của chúng tôi để hoàn tất xác minh tên thật. Bạn có thể thử đăng nhập vào game sau khi đã hoàn tất việc xác minh tên thật."
"TID_ANTIADDICTION_NO_REAL_NAME_VERIFIED_15MIN_WARNING","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You have <MINS> minutes left for gaming today.","نظرًا لأنك لم تتمم عملية التحقق من الهوية، فأنت مقيد بنظام الحماية من الإدمان. تبقت أمامك <MINS> د للعب اليوم.","由于您未满18周岁或未实名认证，已被纳入防沉迷系统，今日可游戏时间剩余<MINS>分钟。","由於你尚未滿18周歲或未實名認證，已被納入防沉迷系統，今日可遊戲時間剩餘<MINS>分鐘。","Da du deinen bürgerlichen Namen noch nicht nachgewiesen hast, ist dieses Spielkonto vom Suchtbekämpfungssystem eingeschränkt. Du kannst heute noch <MINS> Minuten spielen.","Puesto que aún no has completado la verificación de tu nombre real, se aplicarán limitaciones a tu cuenta relativas al sistema antiadicción: solo puedes jugar <MINS> minutos más hoy.","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You have <MINS> minutes left for gaming today.","Et ole suorittanut oikean nimesi vahvistusta loppuun, joten riippuvuuden vastaisen järjestelmän mukaiset rajoitteet koskevat sinua. Voit tänään pelata vielä <MINS> minuuttia.","Vous n'avez pas fini le processus de vérification de votre identité et êtes donc soumis(e) aux limites définies par le dispositif anti-addiction. Il vous reste <MINS> minutes de jeu pour aujourd'hui.","Karena belum menyelesaikan verifikasi nama asli, kamu dibatasi oleh sistem antikecanduan. Sisa waktu bermain game untuk hari ini adalah <MINS>.","Poiché non hai completato la verifica del tuo nome reale, oggi puoi continuare a giocare solo per altro/i <MINS> minuto/i, in base a quanto previsto dalle disposizioni anti-dipendenza.","実名認証を完了されていないため、ゲーム依存防止システムによるプレイ制限がかかっております。本日のプレイ可能時間は残り<MINS>分です。","실명 인증이 완료되지 않아 중독 근절 시스템에 의해 플레이가 제한됩니다. 오늘의 일일 플레이 시간이 <MINS>분 남았습니다.","Memandangkan anda belum selesai melakukan pengesahan nama sebenar, anda kini berada dalam pengehadan sistem anti-ketagihan. Anda ada baki <MINS> minit untuk bermain pada hari ini.","Omdat je de verificatie van je echte naam nog niet hebt voltooid, val je onder de beperkingen van het anti-verslavingssysteem. Je kunt vandaag nog <MINS> minuten lang spelen.","Since you have not finished the real-name verification, you are under the limitation of the anti-addiction system. You have <MINS> minutes left for gaming today.","Como você não finalizou a verificação do seu nome real, as restrições antivício estão em vigor. Minutos de jogo restantes hoje: <MINS>.","Так как вы ещё не подтвердили своё настоящее имя, на вашу игру действует ограничение системы предотвращения зависимости. Осталось минут игрового времени на сегодня: <MINS>.","เนื่องจากคุณยังไม่ได้ยืนยันชื่อจริง คุณจึงอยู่ภายใต้ข้อจำกัดของระบบป้องกันการติดเกม คุณเหลือเวลาเล่นเกม <MINS> นาทีสำหรับวันนี้","Gerçek adınızı doğrulama işlemini tamamlamadığınızdan bağımlılık önleme sistemimizin sınırlaması altındasınız. Bugün oyun oynamak için <MINS> dakikanız kaldı.","Do bạn vẫn chưa hoàn tất quá trình xác minh tên thật nên bạn phải chịu sự giới hạn của hệ thống chống nghiện game. Bạn còn <MINS> phút chơi game cho ngày hôm nay."
"TID_ANTIADDICTION_ADULTHOOD_NOT_FULFILLED_1","Since you are underage, you are under the limitation of the anti-addiction system. You are not allowed to log in from 22:00 to 8:00 of the next day.","نظرًا لأنك لم تتمم عملية التحقق من الهوية، فأنت مقيد بنظام الحماية من الإدمان. لا يسمح لك بتسجيل الدخول بين الساعة 10 مساءً والساعة 8 صباحًا من اليوم التالي.","由于您未满18周岁或未实名认证，已被纳入防沉迷系统，每日晚22：00至次日8:00 不允许游戏。","由於你尚未滿18周歲或未實名認證，已被納入防沉迷系統，每日晚22：00至次日8:00 不允許遊戲。","Da du minderjährig bist, ist dein Spielkonto vom Suchtbekämpfungssystem eingeschränkt. Du wirst dich von 22:00 Uhr bis 08:00 Uhr am folgenden Tag nicht einloggen können.","Como eres menor de edad, se aplicarán limitaciones a tu cuenta relativas al sistema antiadicción: no podrás iniciar sesión desde las 22:00 hasta las 8:00 del día siguiente.","Since you are underage, you are under the limitation of the anti-addiction system. You are not allowed to log in from 22:00 to 8:00 of the next day.","Olet alaikäinen, joten riippuvuuden vastaisen järjestelmän mukaiset rajoitteet koskevat sinua. Et voi kirjautua peliin kello 22.00-8.00 välisenä aikana.","Vous êtes un(e) mineur(e) et êtes donc soumis(e) aux limites définies par le dispositif anti-addiction. Vous êtes interdit(e) de connexion à partir de 22 h aujourd'hui, jusqu'à 8 h demain.","Karena kamu masih di bawah umur, kamu dibatasi oleh sistem antikecanduan. Kamu tidak diperkenankan untuk masuk ke game dari pukul 22:00 hingga pukul 08:00 keesokan harinya.","Poiché sei minorenne, non ti è permesso di accedere al gioco dalle 22 alle 8 del giorno successivo, in base a quanto previsto dalle disposizioni anti-dipendenza.","プレイヤー様は未成年であるため、ゲーム依存防止システムによるプレイ制限がかかっております。午後10時から翌日の午前8時まではゲームにログインできません。","미성년자 계정이므로 중독 근절 시스템에 의해 플레이가 제한됩니다. 22:00부터 내일 8:00까지 게임에 로그인할 수 없습니다.","Memandangkan anda di bawah umur, anda berada di dalam pengehadan sistem anti-ketagihan. Anda tidak dibenarkan log masuk dari pukul 22:00 hingga 8:00 keesokan hari.","Omdat je minderjarig bent, val je onder de beperkingen van het anti-verslavingssysteem. Je mag niet inloggen tussen 22:00 uur en 8:00 uur.","Since you are underage, you are under the limitation of the anti-addiction system. You are not allowed to log in from 22:00 to 8:00 of the next day.","Como você é menor de idade, as restrições antivício estão em vigor. Não é possível acessar o jogo com essa conta das 22h de um dia até as 8h do dia seguinte.","Так как вы ещё не достигли совершеннолетия, то вы не можете входить в игру с 22:00 до 8:00 следующего дня в соответствии с ограничениями системы предотвращения зависимости.","เนื่องจากคุณยังเป็นเยาวชน คุณจึงอยู่ภายใต้ข้อจำกัดของระบบป้องกันการติดเกม คุณไม่ได้รับอนุญาตให้ล็อกอินระหว่าง 22.00 - 8.00 น. ของวันรุ่งขึ้นได้","Küçük yaşta olduğunuzdan bağımlılık önleme sistemimizin sınırlaması altındasınız. Akşam 10'dan ertesi günün sabahı 8'e kadar oyuna giriş yapamazsınız.","Do chưa đủ tuổi nên bạn phải chịu sự giới hạn của hệ thống chống nghiện game. Bạn không được phép đăng nhập vào game trong khoảng từ 22:00 đến 8:00 ngày hôm sau"
