"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_BUY_MISSING_RESOURCES_TEXT","Buy the missing <count> <resource>?","هل تريد شراء <count> <resource> المفقود؟","购买缺少的<count><resource>？","購買缺少的<count><resource>？","Fehlende(s) <count> <resource> kaufen?","Necesitas <count> de <resource>. ¿Quieres comprar?","مابقی <count> <resource> را خریداری می‌کنید؟","Ostetaanko puuttuvat resurssit: <count> <resource>?","Acheter les <count> <resource> nécessaires ?","Beli <count> <resource> yang kurang?","Vuoi acquistare le <count> unità di <resource> mancanti?","不足分の<count><resource>を買いますか？","부족한 <resource> <count>개를 구매할까요?","Beli <count> <resource> yang tiada?","Wil je de ontbrekende <count> eenheden <resource> kopen?","Kjøpe manglende <count> <resource>?","Comprar mais <count>x <resource>?","Купить недостающие ресурсы: <resource> (<count>)?","ซื้อ <count> <resource> ที่ขาดหายไปหรือไม่?","<count> <resource> eksik, satın alacak mısın?","Bạn muốn mua <count> <resource> còn thiếu không?"
"TID_BUY_MULTIPLE_MISSING_RESOURCES_TEXT_N2","Buy the missing <count1> <resource1> and <count2> <resource2>","شراء العناصر الناقصة: <count1> من <resource1> و<count2> من <resource2>","购买缺少的<count1><resource1>和<count2><resource2>？","購買缺少的<count1><resource1>和<count2><resource2>？","Möchtest du die folgenden fehlenden Ressourcen kaufen: <count1> <resource1> und <count2> <resource2>?","Necesitas <count1> de <resource1> y <count2> de <resource2>. ¿Quieres comprar?","مابقی <count1> <resource1> و <count2> <resource2> را می‌خرید؟","Ostetaanko puuttuvat resurssit: <count1> <resource1> ja <count2><resource2>?","Acheter les <count1> <resource1> et <count2> <resource2> qu'il vous manque.","Beli <count1> <resource1> dan <count2> <resource2> yang kurang?","Vuoi acquistare \q<resource1>\q (<count1> unità) e \q<resource2>\q (<count2> unità)?","不足分の<count1><resource1>と<count2> <resource2>を買いますか？","부족한 <resource1> <count1>개와 <resource2> <count2>개를 구매하시겠습니까?","Beli <count1> <resource1> dan <count2> <resource2> yang tiada","Wil je edelstenen gebruiken om de ontbrekende <count1> <resource1> en <count2> <resource2> te kopen?","Kjøp de nødvendige <count1> <resource1> og <count2> <resource2>","Comprar o que falta: <resource1> (<count1>) e <resource2> (<count2>)","Купить недостающие ресурсы: <resource1> (<count1>) и <resource2> (<count2>).","ซื้อ <count1> <resource1> และ <count2> <resource2> ที่ขาดหายไป","Eksik <count1> <resource1> ve <count2> <resource2> satın alınsın mı?","Mua <count1> <resource1> và <count2> <resource2> còn thiếu"
"TID_BUY_MULTIPLE_MISSING_RESOURCES_TEXT_N3","Buy the missing <count1> <resource1>, <count2> <resource2> and <count3> <resource3>?","أتريد شراء العناصر الناقصة: <count1> من <resource1> و<count2> من <resource2> و<count3> من <resource3>؟","购买缺少的<count1><resource1>、<count2><resource2>和<count3><resource3>？","購買缺少的<count1><resource1>、<count2><resource2>和<count3><resource3>？","Möchtest du die folgenden fehlenden Ressourcen kaufen: <count1> <resource1>, <count2> <resource2> und <count3> <resource3>?","Necesitas <count1> de <resource1>, <count2> de <resource2> y <count3> de <resource3>. ¿Quieres comprar?","مابقی <count1> <resource1>، <count2> <resource2> و <count3> <resource3> را خریداری می‌کنید؟","Ostetaanko puuttuvat resurssit: <count1> <resource1>, <count2> <resource2> ja <count3> <resource3>?","Acheter les ressources manquantes : <count1> <resource1>, <count2> <resource2> et <count3> <resource3> ?","Beli <count1> <resource1>, <count2> <resource2>, dan <count3> <resource3> yang diperlukan?","Vuoi acquistare le unità mancanti di \q<resource1>\q (<count1>), di \q<resource2>\q (<count2>) e di \q<resource3>\q (<count3>)?","不足分の<count1><resource1>、<count2><resource2>、<count3><resource3>を買いますか？","부족한 <resource1> <count1>개, <resource2> <count2>개, <resource3> <count3>개를 구매하시겠습니까?","Beli <count1> <resource1>, <count2> <resource2> dan <count3> <resource3> yang tiada?","Wil je de ontbrekende <count1> <resource1>, <count2> <resource2> en <count3> <resource3> kopen?","Vil du kjøpe de nødvendige <count1> <resource1>, <count2> <resource2> og <count3> <resource3>?","Comprar o que falta: <resource1> (<count1>), <resource2> (<count2>) e <resource3> (<count3>)?","Купить недостающие ресурсы: <resource1> (<count1>), <resource2> (<count2>) и <resource3> (<count3>)?","ซื้อ <resource1> <count1> หน่วย <resource2> <count2> หน่วย และ <resource3> <count3> หน่วยที่ขาดหายไปใช่หรือไม่?","Eksik <count1> <resource1>, <count2> <resource2> ve <count3> <resource3> satın alınsın mı?","Mua <count1> <resource1>, <count2> <resource2> và <count3> <resource3> còn thiếu?"
"TID_GEAR_ALREADY_EQUIPPED","Item is already equipped","العنصر مستخدم بالفعل","已装备该物品","已裝備該物品","Der Gegenstand wurde bereits ausgerüstet.","El objeto ya está equipado.","این مورد قبلاً تجهیز شده است","Varuste on jo käytössä.","Objet déjà équipé","Item sudah digunakan","L'equipaggiamento è già attivo.","アイテムをすでに装備しています","이미 장착한 아이템입니다","Item telah dilengkapi","Item is al toegepast.","Utstyret er allerede i bruk","Item já equipado","Уже используется","ติดตั้งไอเท็มแล้ว","Eşya zaten kuşanıldı.","Vật phẩm đã được trang bị rồi"
"TID_GEAR_INFO_ANGRY_TOME","Nearby friendly units do extra damage","تلحق الوحدات الودية القريبة ضررًا إضافيًا.","附近友军单位会造成额外伤害","附近友軍單位造成額外傷害","Verbündete Truppen in der Nähe verursachen mehr Schaden.","Las unidades aliadas cercanas infligen más daño.","واحدهای خودی مجاور آسیب بیشتری وارد می‌کنند","Lähistöllä olevat ystävälliset yksiköt tekevät lisätuhoa.","Les unités proches infligent des dégâts supplémentaires","Rekan Peleton terdekat akan memberikan kerusakan ekstra","Gli alleati vicini al gran sorvegliante causano danni extra.","近くの味方ユニットの与ダメージが上昇します","인근의 아군 유닛들이 추가 피해를 줍니다.","Unit sepasukan berdekatan melakukan kerosakan tambahan","Nabije vriendschappelijke eenheden richten extra schade aan.","Allierte enheter i nærheten gjør ekstra skade","Unidades aliadas próximas causam dano extra","Ближайшие воины наносят дополнительный урон.","หน่วยพันธมิตรใกล้ๆ สร้างความเสียหายเพิ่มเติม","Yakınlardaki dost birlikler ekstra hasar verir.","Các đơn vị đồng minh ở gần gây ra thêm sát thương"
"TID_GEAR_INFO_ARCHER_CROWN","Summons a gang of Archers","لاستدعاء عصابة راميات سهام.","召唤一群弓箭手","召喚一群弓箭手","Beschwört eine Gruppe Bogenschützinnen.","Invoca un grupo de arqueras.","گروهی از کماندارها را احضار می‌کند","Kutsuu joukon jousiampujia.","Invoque un groupe d'archères","Mengerahkan kawanan Pemanah","Evoca una serie di arcieri.","アーチャーの集団を召喚します","아처 부대를 소환합니다.","Menyeru sekumpulan Pemanah.","Roept een bende boogschutters op.","Påkaller en gjeng bueskyttere","Conjura uma leva de Arqueiras","Призывает группу лучниц.","อัญเชิญแก๊งพลธนูออกมา","Bir grup Okçu çağırır.","Triệu hồi một nhóm Cung thủ"
"TID_GEAR_INFO_BARBARIAN_CROWN","Summons a pack of raged Barbarians","لاستدعاء مجموعة من البرابرة الغاضبين","召唤一群狂暴野蛮人","召喚一群狂暴野蠻人","Beschwört eine Horde wütender Barbaren.","Invoca una manada de bárbaros enfurecidos.","گروهی از بربرهای عصبانی را احضار می‌کند","Kutsuu joukon raivokkaita barbaareja.","Invoque un groupe de barbares enragés","Mengerahkan kawanan Orang Barbar Marah","Evoca una sfilza di barbari furiosi.","レイジバーバリアンの集団を召喚します","분노한 바바리안 무리를 소환합니다.","Menyeru sekumpulan Orang Gasar Berang.","Roept een horde woedende barbaren op.","Påkaller en flokk sinte barbarer","Conjura uma leva de Bárbaros Furiosos","Призывает группу разъяренных варваров.","อัญเชิญกองกำลังคนเถื่อนคลุ้มคลั่งออกมา","Bir grup öfkeli Barbar çağırır.","Triệu hồi một nhóm Man di Cuồng nộ"
"TID_GEAR_INFO_EARTHQUAKE_BOOTS","Causes a powerful earthquake which destroys walls and damages buildings","تسبب زلزالاً قويًا يدمر الجدران ويلحق الضرر بالمباني.","引发强烈地震，摧毁城墙并对建筑造成伤害","引發強烈地震，摧毀城牆並對建築物造成傷害","Beschwört ein mächtiges Erdbeben, das Mauern zerstört und Schaden an Gebäuden verursacht.","Provoca un fuerte terremoto que destruye muros y daña las estructuras.","باعث ایجاد زلزله‌ای قوی می‌شود که دیوارها را تخریب می‌کند و به ساختمان‌ها آسیب می‌رساند","Aiheuttaa voimakkaan maanjäristyksen, joka tuhoaa muureja ja vahingoittaa rakennuksia.","Provoque un puissant séisme qui détruit les remparts et endommage les bâtiments","Menimbulkan gempa bumi dahsyat yang akan menghancurkan tembok dan memberikan kerusakan pada bangunan","Permettono al re barbaro di scatenare un potente terremoto in grado di distruggere le mura e di danneggiare gli edifici.","強力な地震を引き起こして壁を破壊し、建物にダメージを与えます","장벽을 부수고 건물에 피해를 주는 강력한 지진을 일으킵니다.","Menyebabkan gempa bumi kuat yang memusnahkan benteng dan merosakkan bangunan.","Veroorzaakt een krachtige aardbeving die muren vernietigt en gebouwen beschadigt.","Lager et voldsomt jordskjelv som ødelegger murer og skader bygninger","Causa um terremoto poderoso que destrói muros e causa dano a construções","Вызывает мощное землетрясение, которое разрушает стены и наносит урон зданиям.","สร้างแผ่นดินไหวทรงพลังที่ทำลายกำแพงและสร้างความเสียหายต่อสิ่งก่อสร้าง","Duvarları yıkan ve binalara hasar veren güçlü bir deprem başlatır.","Gây ra một trận động đất dữ dội, phá hủy tường thành và gây tổn hại lên các công trình"
"TID_GEAR_INFO_ETERNAL_TOME","Grand Warden and all nearby friendly units become immune to damage","يصبح الآمر الكبير وكل الوحدات الصديقة القريبة محصنين ضد الضرر.","大守护者和附近所有友军单位免疫伤害","大守護者和附近所有友軍單位免疫傷害","Der Große Wächter und alle verbündeten Truppen in der Nähe werden immun gegen Schaden.","El gran centinela y todas las unidades aliadas cercanas se vuelven inmunes al daño.","نگهبان بزرگ و همه واحدهای خودی مجاور در مقابل آسیب ایمن می‌شوند","Suursuojelija ja kaikki lähistöllä olevat ystävälliset joukot muuttuvat immuuneiksi tuholle.","Rend le Grand gardien et toutes les troupes alliées proches insensibles aux dégâts","Wali Besar dan seluruh rekan Peleton di dekatnya menjadi kebal terhadap kerusakan","Rende il gran sorvegliante e gli alleati nelle sue vicinanze immuni a qualsiasi danno.","グランドウォーデン自身と近くの味方ユニットに対するダメージを無効にします","그랜드 워든과 인근의 아군 유닛들이 무적 상태가 됩니다.","Warden Besar dan semua unit sepasukan berdekatan menjadi imun terhadap kerosakan.","De nobele wachter en alle nabije vriendschappelijke eenheden worden immuun voor schade.","Storvokteren og alle allierte enheter i nærheten blir immune mot skade","O Grande Guardião e todas as unidades aliadas próximas ficam imunes a dano","Хранитель и ближайшие воины становятся неуязвимыми.","ผู้คุมยิ่งใหญ่และหน่วยพันธมิตรใกล้ๆ ทั้งหมดต้านทานต่อความเสียหาย","Büyük Koruyucu ve yakınlarındaki dost birlikler hasar almaz.","Đại Quản giáo và các đơn vị đồng minh ở gần sẽ không chịu sát thương"
