"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_ICE_PUP_INFO","Unlike most Pups, these ones are cold-hearted with ice coursing through their veins... you know, real cool cats. Their attacks will slow enemies!","هذه الجراء غير عادية. لا تتوقع منها اللطف أو الوفاء؛ فقد تجمدت مشاعرها بفعل قواها الجليدية... ستبطئ هجماتها الأعداء.","和大多数迷你犬不同，这些迷你犬全身上下都是坚冰，冷酷至极。它们的攻击会让敌方部队和防御减速！","和大多數迷你犬不同，這些迷你犬全身上下都是寒冰，冷酷至極。牠們的攻擊會讓敵方部隊和防禦減速！","Im Gegensatz zu anderen Welpen haben diese Kaltblüter ein Herz aus Eis. Ihre Attacken verlangsamen Gegner!","A diferencia de la mayoría de cachorros, estos tienen un corazón de hielo y sus ataques son a sangre fría. ¡Sus ataques ralentizarán a los enemigos!","بر خلاف بقیه توله‌ها، این توله‌ها خیلی خونسردند و در رگ‌هاشون یخ جریان دارد... مثل همه بچه‌های خونسرد و خفن. حملاتشان سرعت دشمن را کند می‌کند!","Hurtan pennut eivät ole mitään viattomia temmeltäjiä, vaan routaisen maan kasvatteja, joiden sydän on kuorrutettu jäähileellä... Just siistejä kavereita. Niiden hyökkäykset hidastavat vihollisia!","Bien qu'adorables, ces petites créatures ont un vrai cœur de glace. Elles ne manquent jamais de jeter un froid. Leurs attaques gèlent les ennemis.","Tidak seperti Anak Anjing lainnya, Anak Anjing Es adalah makhluk berdarah dingin. Konon, yang mengalir dalam nadi mereka adalah es. Serangan mereka akan memperlambat lawan!","A differenza di un cucciolo normale, questi esseri tutt'altro che inermi hanno un blocco di ghiaccio al posto del cuore. I loro attacchi rallentano i nemici!","異端児のアイスパピィは、心は冷徹で、身体には氷の血が通っています... まさに、真のクールとはこのことでしょう。攻撃が命中すると、敵の動きを鈍らせます！","대부분의 펍과는 다르게, 차가운 심장 안에 차가운 피가 흐릅니다... 쿨한 고양이처럼요. 공격으로 적들을 느리게 만듭니다!","Berbeza dengan anak anjing lain, yang ini berhati dingin dengan ais mengalir di dalam dirinya... inilah definisi hebat. Serangan anak anjing ais akan memperlahankan musuh!","In tegenstelling tot de meeste pups, zijn ijspups koelbloedige wezens die hun vijanden koude rillingen bezorgen. Ze vertragen vijandelijke troepen met hun aanvallen!","I motsetning til valper flest er disse kyniske, med is i blodårene. De kuleste bikkjene i nabolaget. Angrepene deres vil sinke fiendene!","Ao contrário da maioria dos filhotes, esses têm coração de gelo... Cuidado para não entrar numa fria. Os ataques deles desaceleram inimigos!","Ледяные щенки отличаются от обычных: их сердца холодны, а по венам течет жидкий лед. Их атака замедляет врагов!","ลูกสุนัขเหล่านี้ต่างจากลูกสุนัขตัวอื่นๆ เพราะพวกมันมีหัวใจเย็นชาที่สูบฉีดน้ำแข็งแทนเลือด... เย็นเจี๊ยบเลยล่ะ การโจมตีของพวกมันทำให้ศัตรูเคลื่อนไหวช้าลง!","Çoğu köpeğin aksine, Buz Köpekleri çok soğukkanlı ve acımasızdır. Damarlarında kan yerine buz aktığı için olabilir... Saldırıları düşmanları yavaşlatır!","Không như những chú Chó con khác, Tiểu Băng Khuyển mang trong mình trái tim lạnh lùng và dòng máu băng giá... Một binh chủng cực kỳ thú vị. Đòn tấn công của chúng sẽ làm chậm chân kẻ địch!"
"TID_ICE_HOUND_ABILITY_INFO","Ice Hound's attacks slow down the target. Upon defeat, the Ice Hound freezes its surroundings.","تبطئ هجمات كلب الجليد الهدف، وعندما ينهزم، يجمد كل ما يحيط به.","寒冰猎犬的攻击会让目标减速，它被消灭时还会冻结附近的一切。","寒冰獵犬的攻擊會讓目標減速，牠被消滅時還會凍結附近的一切。","Die Attacken des Eishunds verlangsamen seine Ziele. Wenn er besiegt wird, friert der Eishund Ziele im Umkreis ein.","Los ataques del sabueso de hielo ralentizan a su objetivo. En cuanto le derrotan, el sabueso lo congela todo a su alrededor.","حملات سگ یخی، سرعت هدف را کند می‌کند. سگ یخی بعد از نابودی، محیط اطرافش را منجمد می‌کند.","Jäähurtan hyökkäykset hidastavat kohdettaan. Tuhoutuessaan jäähurtta jäädyttää ympäristönsä.","Les attaques du molosse de glace ralentissent les ennemis. Une fois vaincu, le molosse gèle ses environs.","Serangan Anjing Es akan memperlambat target. Saat tumbang, Anjing Es akan membekukan area sekitar.","Il mastino glaciale rallenta i bersagli con i suoi attacchi e, una volta sconfitto, congela tutto attorno a sé.","アイスハウンドの攻撃は標的の速度を低下させ、倒されると周辺一帯を凍らせる","아이스 하운드의 공격이 대상을 느리게 만듭니다. 아이스 하운드가 쓰러지면 주위를 얼려버립니다.","Serangan Anjing Ais memperlahankan sasarannya. Apabila ditewaskan, Anjing Ais membekukan sekelilingnya.","De aanvallen van de ijshond vertragen vijanden. Als ze wordt verslagen, laat de ijshond haar omgeving bevriezen.","Ishundens angrep sinker målet. Når ishunden lider nederlag, fryser den omgivelsene til is.","Os ataques do Cão de Gelo desaceleram o alvo. Ao ser derrotado, o Cão de Gelo congela seus arredores.","Атака ледяной гончей замедляет цель. Пав в бою, ледяная гончая замораживает все вокруг себя.","การโจมตีของสุนัขน้ำแข็งทำให้เป้าหมายเคลื่อนไหวช้าลง เมื่อสุนัขน้ำแข็งพ่ายแพ้ มันจะแช่แข็งบริเวณรอบๆ","Buz Tazısının saldırıları hedefini yavaşlatır. Yok edildiğinde etrafını dondurur.","Đòn tấn công của Băng Khuyển làm cho mục tiêu của nó di chuyển chậm lại. Khi bị hạ gục, Băng Khuyển sẽ làm đóng băng khu vực xung quanh nó."
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED_YP","Disconnected","غير متصل","已断开","已斷開","Getrennt","Desconectado","اتصال قطع شد","Ei yhdistetty","Déconnecté","Terputus","Disconnesso","未接続","연동되지 않음","Dinyahsambungkan","Losgekoppeld","Frakoblet","Desconectado","Отключено","ไม่ได้เชื่อมต่อ","Bağlı değil","Đã ngắt kết nối"
"TID_SUPERCELL_ID_BANNER_TEXT_YP","Connect to Supercell ID to safeguard your game and play on multiple devices!","اتصل بـ Supercell ID لحماية تقدمك في اللعبة، واللعب على أجهزة متعددة!","绑定Supercell ID，妥善保护您的游戏进度，还可在多台设备上同步游戏进度！","綁定Supercell ID，妥善保護您的遊戲進度，還可在多台裝置同步遊戲進度！","Verbinde dein Konto mit einer Supercell ID, um dein Spiel zu schützen und auf mehreren Geräten zu spielen.","Conéctate a Supercell ID para proteger tu progreso y jugar en varios dispositivos.","برای حفاظت از بازی‌هایتان و بازی کردن روی چند دستگاه به Supercell ID متصل شوید!","Yhdistä Supercell ID:hen, niin pelisi pysyy varmasti tallessa ja voit pelata useilla laitteilla!","Connectez-vous à Supercell ID afin de protéger votre partie et de jouer sur plusieurs appareils !","Sambungkan game ke Supercell ID untuk mengamankan akun dan agar dapat bermain di beberapa perangkat!","Connettiti a Supercell ID per proteggere la tua partita e giocare su più dispositivi!","Supercell IDに接続すれば\nアカウントの保護と複数デバイスでの\nプレイが可能になります！","Supercell ID와 연동해 계정을 안전하게 지키고, 여러 기기에서 게임을 이용하세요.","Sambung ke Supercell ID untuk melindungi permainan anda dan main pada berbilang peranti!","Maak verbinding met een Supercell ID om je spel veilig te stellen en te kunnen spelen op meerdere apparaten!","Koble til Supercell ID for å sikre spillet ditt og spille på flere enheter!","Conecte-se ao Supercell ID para proteger seu jogo e jogar em vários dispositivos!","Подключитесь к Supercell ID, чтобы сохранить игру и играть на разных устройствах!","เชื่อมต่อกับ Supercell ID เพื่อปกป้องเกมของท่านและเล่นบนอุปกรณ์หลายเครื่อง!","Oyununu korumak ve birden çok cihazda oynamak için Supercell ID'ye bağlan!","Hãy kết nối với Supercell ID để bảo vệ phần chơi của mình và chơi trên nhiều thiết bị!"
"TID_WARDEN_OF_THE_NORTH","Warden of the North","آمر الشمال","北境守护者","北境守護者","Wächter des Nordens","Centinela del norte","نگهبان شب","Pohjoisen suojelija","Gardien nordique","Wali dari Utara","Sorvegliante del Nord","北の戦士 ウォーデン","빙결의 그랜드 워든","Warden Utara","Arctische wachter","Vokteren av nord","Guardião do Norte","Хранитель Севера","ผู้คุมแห่งแดนเหนือ","Kuzeyin Koruyucusu","Quản giáo phương Bắc"
"TID_DELETE_ACCOUNT_TITLE","Delete My Account","حذف حسابي","删除我的账号","刪除我的帳號","Ich möchte mein Konto löschen","Eliminar mi cuenta","حذف حساب من","Poista tilini","Supprimer mon compte","Hapus Akun Saya","Eliminazione dell'account","アカウント削除","내 계정 삭제","Hapus Akaun Saya","Mijn account verwijderen","Slett kontoen min","Excluir minha conta","Удаление учетной записи","ลบบัญชีของฉัน","Hesabımı Sil","Xóa tài khoản của mình"
"TID_TENCENT_LOGIN_AGREEMENTS","I have carefully read and agree with <TOS>, <PP> and <CHILDREN>.","أقر بأنني قرأت <TOS> و<PP> و<CHILDREN> بتمعن وأوافق عليها.","我已经仔细阅读<TOS>、<PP>和<CHILDREN>，并接受其内容。","我已經仔細閱讀<TOS>、<PP>和<CHILDREN>，並接受其內容。","Ich habe <TOS>, <PP> und <CHILDREN> sorgfältig gelesen und stimme ihnen zu.","He leído detenidamente y estoy de acuerdo con el <TOS>, las <PP> y las <CHILDREN>.","به‌دقت <TOS>، <PP>و <CHILDREN>را مطالعه کردم و با آنها موافقم.","Olen lukenut tarkasti ja sitoudun noudattamaan seuraavia:<TOS>, <PP> ja <CHILDREN>.","J'ai lu et j'accepte ces documents : <TOS>, <PP> et <CHILDREN>.","Saya telah membaca dengan cermat dan menyetujui <TOS>, <PP>, dan <CHILDREN>.","Ho letto attentamente e accettato l'<TOS>, le <PP> e le <CHILDREN>.","私は<TOS>、<PP>、<CHILDREN>を良く読んだうえで、記載の項目に同意します。","본인은 <TOS>, <PP> 및 <CHILDREN>을 주의 깊게 읽었으며 이에 동의합니다.","Saya telah baca dengan teliti dan setuju dengan <TOS>, <PP> dan <CHILDREN>.","Ik heb de <TOS>, <PP> en <CHILDREN> zorgvuldig gelezen en ga ermee akkoord.","Jeg har lest og samtykker i <TOS>, <PP> og <CHILDREN>.","Li atentamente e concordo com os <TOS>, com a <PP> e com a <CHILDREN>.","Мной внимательно прочитаны и приняты <TOS>, <PP> и <CHILDREN>.","ฉันได้อ่านอย่างละเอียดและยอมรับ <TOS>, <PP> และ <CHILDREN>","<TOS>, <PP> ve <CHILDREN>'ni dikkatlice okudum ve kabul ediyorum.","Tôi đã đọc kỹ và đồng ý với <TOS>, <PP> và <CHILDREN>."
"TID_TENCENT_LOGIN_TOS","Tencent Game License and Service Agreement","الترخيص واتفاقية الخدمة الخاصة بألعاب Tencent","《腾讯游戏许可及服务协议》","《騰訊遊戲許可及服務協議》","Tencents Spiellizenz und Nutzungsvertrag","Acuerdo de servicio y de licencia de Tencent Game","توافقنامه خدمات و مجوز بازی Tencent Game","Tencentin pelien käyttöoikeus- ja palvelusopimus","Licence de jeu Tencent et contrat de services","Persetujuan Lisensi dan Layanan Tencent","Accordo sulle licenze di gioco e sui servizi di Tencent","Tencent Game ライセンス及びサービス契約","Tencent Game 라이선스 및 서비스 계약","Perjanjian Lesen dan Perkhidmatan Tencent","Licentie- en serviceovereenkomst van Tencent Game","Lisens- og tjenesteavtale for spill fra Tencent","Termos de Uso da Tencent Game","Лицензионное и пользовательское соглашение Tencent","ข้อตกลงในการให้บริการและการอนุญาตในเกมของ Tencent","Tencent Lisans ve Hizmet Sözleşmesi","Tencent Game - Bản quyền và Thỏa thuận Dịch vụ"
"TID_TENCENT_LOGIN_PP","Tencent Game Privacy Protection Guidelines","إرشادات حماية الخصوصية الخاصة بألعاب Tencent","《腾讯游戏隐私保护指引》","《騰訊遊戲隱私保護指南》","Tencents Datenschutzrichtlinien","Reglas de privacidad y protección de datos de Tencent Game","دستورالعمل‌های حفاظت از حریم خصوصی Tencent Game","Tencentin säännöt yksityisyydensuojasta peleissä","Guide sur la protection des données privées dans les jeux Tencent","Panduan Perlindungan Privasi Tencent","Linee guida di Tencent sulla tutela della privacy in gioco","Tencent Game プライバシー保護ガイドライン","Tencent Game 개인정보 보호 가이드라인","Panduan Perlindungan Privasi Tencent","Richtlijnen betreffende privacybescherming van Tencent Game","Retningslinjer for beskyttelse av privatliv i spill fra Tencent","Política de Privacidade da Tencent Game","Политика Tencent по защите личных данных","แนวทางการคุ้มครองความเป็นส่วนตัวในเกมของ Tencent","Tencent Gizliliği Koruma Yönergeleri","Tencent Game - Hướng dẫn Bảo vệ quyền riêng tư"
"TID_TENCENT_LOGIN_CHILDREN","Tencent Game Children Privacy Protection Guidelines","إرشادات حماية خصوصية الأطفال الخاصة بألعاب Tencent","《腾讯游戏儿童隐私保护指引》","《騰訊遊戲兒童隱私保護指南》","Tencents Datenschutzrichtlinien für junge Spieler","Reglas de privacidad y protección de menores de Tencent Game","دستورالعمل‌های حفاظت از حریم خصوصی کودکان Tencent Game","Tencentin säännöt lasten yksityisyydensuojasta peleissä","Guide sur la protection des données privées des jeunes joueurs dans les jeux Tencent","Panduan Perlindungan Privasi Anak Tencent","Linee guida di Tencent sulla tutela della privacy infantile in gioco","Tencent Game 子どものプライバシー保護ガイドライン","Tencent Game 아동 개인정보 보호 가이드라인","Panduan Perlindungan Privasi Kanak-kanak Tencent","Richtlijnen betreffende de privacybescherming van kinderen van Tencent Game","Retningslinjer for beskyttelse av barns privatliv i spill fra Tencent","Política de Privacidade Infantil da Tencent Game","Политика Tencent по защите личных данных детей","แนวทางการคุ้มครองความเป็นส่วนตัวของเด็กในเกมของ Tencent","Tencent Çocukların Gizliliğini Koruma Yönergeleri","Tencent Game - Hướng dẫn Bảo vệ quyền riêng tư cho trẻ em"
"TID_SCID_GIFT_RECEIVED_TITLE","Gift Received!","تلقيت هدية!","收到礼物！","收到禮物！","Geschenk erhalten!","¡Regalo recibido!","جایزه دریافت شد!","Sait lahjan!","Oh, un cadeau !","Hadiah Diterima!","Regalo ricevuto!","ギフト獲得！","선물 획득!","Hadiah diterima!","Cadeau ontvangen!","Du har fått en gave!","Presente recebido!","Подарок получен!","ได้รับของขวัญแล้ว!","Hediye Alındı!","Đã nhận quà!"
"TID_SCID_GIFT_RECEIVED_BODY","Wants to send you a Gold Pass.","يريد إرسال تذكرة ذهبية إليك.","赠送您一个黄金令牌。","贈送您一個黃金通行證。","Möchte dir einen Goldpass schicken.","quiere enviarte un pase de oro.","می‌خواهد برای شما یک بلیت طلایی بفرستد.","haluaa lähettää sinulle kultapassin.","Souhaite vous envoyer un pass or.","ingin mengirimkan Tiket Emas.","vuole inviarti un pass d'oro.","からゴールドパスのギフトが届いています。","골드 패스 선물을 받아주세요!","Ingin menghantar Pas Emas kepada anda.","wil je een gulden kaart geven.","Ønsker å sende deg et gullpass.","tem um bilhete dourado para você.","хочет отправить тебе золотой пропуск.","ต้องการส่งบัตรทองคำให้ท่าน","Sana bir Altın Bilet vermek istiyor.","Muốn tặng cho bạn một Vé Vàng."
"TID_SCID_GIFT_ACCEPT_BUTTON","Accept","القبول","接受","接受","Annehmen","Aceptar","پذیرش","Hyväksy","Accepter","Terima","Accetta","受け取る","수락","Terima","Accepteren","Godta","Aceitar","Принять","ยอมรับ","Kabul Et","Chấp nhận"
