"Name","Home","Capital","ExcludeOnLowMem","PurgeOnMemoryWarning","LoadGlobally","NoAutoLoad","GameState"
"String","boolean","boolean","boolean","boolean","boolean","boolean","String"
"sc/ui.sc","TRUE","TRUE",,,,,
"sc/buildings.sc","TRUE","TRUE",,,,,
"sc/buildings2.sc","TRUE","TRUE",,,,,
"sc/building_bases.sc","TRUE","TRUE",,,,,
"sc/characters.sc","TRUE","TRUE",,,,,
"sc/content.sc","TRUE","TRUE",,,,,
"sc/clouds.sc","TRUE","TRUE",,,,,
"sc/matchsearch.sc","TRUE","TRUE",,,,,
"sc/env.sc","TRUE","TRUE",,,,,
"sc/update.sc","TRUE","TRUE",,,,,
"sc/buildings_cc.sc","TRUE","TRUE",,,,,
"sc/ui_cc.sc","TRUE","TRUE",,,,,
"sc/map.sc","TRUE",,"TRUE","TRUE",,,"HOME"
"sc/map_cc.sc","TRUE","TRUE","TRUE","TRUE",,,
"sc/shop.sc","TRUE","TRUE","TRUE","TRUE",,,"HOME"
"music/fem_talk_scared.mp3","TRUE","TRUE",,,,,
"music/home_music_part_1.ogg","TRUE","TRUE",,,,,
"music/home_music_part_2.ogg","TRUE","TRUE",,,,,
"music/home_music_part_3.ogg","TRUE","TRUE",,,,,
"music/combat_music.ogg","TRUE","TRUE",,,,,
"music/alt_combat_music.ogg","TRUE","TRUE",,,,,
"music/v2_part_1.ogg","TRUE","TRUE",,,,,
"music/v2_part_2.ogg","TRUE","TRUE",,,,,
"music/night_attack_01.ogg","TRUE","TRUE",,,,,
"music/war_map_ambi_01.mp3","TRUE","TRUE",,,,,
"music/combat_planning_music.mp3","TRUE","TRUE",,,,,
"music/winwinwin.mp3","TRUE","TRUE",,,,,
"music/battle_lost_02.mp3","TRUE","TRUE",,,,,
"music/duel_draw_01.mp3","TRUE","TRUE",,,,,
"music/v2battleend.mp3","TRUE","TRUE",,,,,
"music/night_combat_planning_01.ogg","TRUE","TRUE",,,,,
"music/new_battle_intro_01.mp3","TRUE","TRUE",,,,,
"music/capital_music.ogg","TRUE","TRUE",,,,,
"music/capital_battle_music.ogg","TRUE","TRUE",,,,,
"music/capital_pre_battle_music.ogg","TRUE","TRUE",,,,,
"sc/chiefs_journey.sc","TRUE",,"TRUE","TRUE",,,"HOME"
"sc/ui_bb2.sc","TRUE",,,,,,
"music/clash_cave_combat_music_01.ogg","TRUE","TRUE",,,,,
"music/clash_cave_prebattle_music_01.ogg","TRUE","TRUE",,,,,
"sc/chr_war_machine.sc","TRUE",,,,,,
