"Name","Emitter","AttachToBone","LockTransformation","OnTop","BoundsCheck","ParticleSizeForBoundsCheck","DepthBias"
"String","String","String","boolean","boolean","boolean","int","int"
"archerqueen_league_arrow_spark","skin_league_sparks_aq","arrow_s","false","true","true",2000,0
"archerqueen_league_arrow_tail","skin_leagur_aq_arrow_tail","Root","false","true","true",2000,0
,"skin_league_sparks_aq","arrow_s","false","true","true",2000,0
"autumn_Celebrate","hero_autumn_burst_3D","spine_mid_s","false","false","true",1800,0
"autumn_Walk","hero_autumn_walk","back_item_03_s","false","false","true",1000,0
"battlecopter_fx","battlecopter_fire","fx_L_cannonballFront_s","true","false","true",1000,11
,"battlecopter_sparks","fx_L_cannonballFront_s","false","false","true",0,0
,"battlecopter_fire","fx_L_cannonballRear_s","false","false","true",0,0
,"battlecopter_sparks","fx_L_cannonballRear_s","false","false","true",0,0
,"battlecopter_fire","fx_R_cannonballFront_s","false","false","false",0,0
,"battlecopter_sparks","fx_R_cannonballFront_s","false","false","false",0,0
,"battlecopter_fire","fx_R_cannonballRear_s","false","false","false",0,0
,"battlecopter_sparks","fx_R_cannonballRear_s","false","false","false",0,0
"champ_aq_arrow","hero_champion_aq_firearrow","arrow_s","true","false","true",300,45
,"hero_champion_arrow_spark","arrow_s","false","false","true",300,46
,"hero_champion_arrow_glow_faint","arrow_s","true","false","false",0,0
"champ_aq_firearrow","hero_champion_aq_firearrow","arrow_s","true","false","true",1000,11
"champ_gw_staff","hero_champion_gw_firestaff","bulb_s","true","false","true",300,45
,"hero_champion_gw_sparks","bulb_s","false","false","true",400,46
,"hero_champion_gw_glow","bulb_s","true","false","false",0,0
"champ_sword","hero_champion_sword","R_gunbone_01_s","true","false","true",500,45
,"hero_champion_sword_02","R_gunbone_01_s","false","false","true",500,46
,"hero_champion_sword_spark","R_gunbone_01_s","false","false","true",1200,46
,"hero_champion_sword_glow","R_gunbone_01_s","true","false","true",450,47
"champ_sword_02","hero_champion_sword_smoke","R_gunbone_01_s","true","false","true",1000,11
,"hero_champion_sword_glow_faint","R_gunbone_01_s","true","false","false",0,10
"champ_sword_menu","hero_champion_sword","R_gunbone_01_s","true","false","false",500,33
,"hero_champion_sword_02","R_gunbone_01_s","false","false","true",500,34
,"hero_champion_sword_spark","R_gunbone_01_s","false","false","true",900,34
,"hero_champion_sword_glow","R_gunbone_01_s","true","false","true",450,35
"clockwork_battery","clockwork_battery_fx","L_gunbone_05_s","true","false","true",200,0
"clockwork_glow","clockwork_glow","L_gunbone_01_s","true","false","true",500,0
"clockwork_intensify","clockwork_electricity_burst","L_gunbone_01_s","true","true","true",2000,0
"clockwork_intensify2","clockwork_electricity_burst","L_gunbone_01_s","true","true","true",2000,0
"dark_warden_magicfx","hero_Dark_warden_magicfx","bookBase_s","true","false","true",1000,11
"darkages_aq_fx","darkages_aq_fire","fx_arrowFlame_s","true","false","true",1000,11
,"hero_darkages_aq_sparks","fx_arrowFlame_s","false","false","true",200,0
,"darkages_aq_smoke","fx_arrowFlame_s","false","false","true",1000,0
,"hero_darkages_aq_fire2","fx_arrowFlame_s","false","false","true",1000,0
"electrowl_active","electro_owl_glow",,"true","true","true",1000,0
,"electro_owl_circle",,"true","true","true",1000,0
"electrowl_inactive","electro_owl_glow",,"true","false","true",1000,0
,"electro_owl_circle",,"true","false","true",1000,0
"electrowl_stunned","electro_owl_glow_stunned",,"true","false","true",1000,0
"empty","empty","spine_mid_s","true","false","true",200,0
"flying_fortress_attack","flying_fortress_attack_em","cannonEmitter_jnt","true","true","true",1000,50
"flying_fortress_smoke","flying_fortress_smoke_em","chimneyEmitter_jnt","false","true","true",1700,50
"goblin_aq_fx","hero_goblin_aq_glow","fx_fuse_s","true","false","true",1000,11
,"hero_goblin_aq_sparks","fx_fuse_s","false","false","false",0,0
"grandwarden_darkages_weapon_glow","hero_warden_darkages_weapon_glow","fx_mace_s","true","false","true",500,50
,"hero_warden_darkages_weapon_spark","fx_mace_s","true","false","true",500,50
"grandwarden_league_staff_glow","hero_warden_league_staff_glow","fx_staff_jewel_s","true","false","true",1000,50
,"hero_warden_league_spark","fx_staff_jewel_s","false","false","true",1000,50
"hero_cny_king_tulips","hero_cny_tulips","L_toe_s","false","false","true",600,-50
"ice_Celebrate","hero_ice_burst","spine_mid_s","true","false","true",2000,0
,"hero_ice_snow_spiral",,"true","false","true",0,0
"ice_mist","hero_ice_mist","spine_mid_s","true","false","true",900,0
"jolly_sword","hero_jolly_sword","L_gunbone_01_s","true","false","true",300,10
"jungle_warden_staff","hero_jungle_warden_glow2","particle_jnt","false","false","true",0,0
"miner_queen_bomb","miner_fuse_glow_fx","bomb_s","true","false","true",200,0
,"miner_fuse_delay","bomb_s","false","false","false",0,0
,"miner_candle_glow_fx","head_s","false","false","false",0,0
,"miner_aq_candle_fire_asset","head_s","false","false","false",0,0
"miner_queen_bomb_attack","miner_fuse_glow_fx_attack","bomb_s","true","false","true",200,0
,"miner_fuse","bomb_s","false","false","false",0,0
,"miner_candle_glow_fx","head_s","false","false","false",0,0
,"miner_aq_candle_fire_asset","head_s","false","false","false",0,0
"party_bk_purple","party_bk_notes","B_effect_jnt","true","true","true",0,0
"pekka_sword","hero_pekka_sword","L_gunbone_01_s","true","false","true",300,18
"pet_lizard_poison","pet_lizard_bubbles","spine01_s","false","false","true",1000,11
,"pet_lizard_mist","spine01_s","false","false","true",1000,11
"pet_phoenix_sparks1","pet_phoenix_sparks","L_elbow_s","true","true","true",500,11
,"pet_phoenix_sparks","R_elbow_s","false","false","true",500,11
,"pet_phoenix_sparks","tailBase_s","false","false","true",500,11
"pirate_king_sword_sparks","hero_pirateking_sword","R_wrist_s","true","false","true",100,45
"pirate_king_sword_sparks_cheer","hero_pirateking_sword_extended","R_wrist_s","true","false","true",100,45
"pirate_warden_puff","hero_pirate_GW_puff",,"false","false","true",650,0
"pirate_warden_puff2","hero_pirate_GW_puff2",,"false","false","true",650,0
"rocket_trail_01","rocket_trail_01",,"false","false","true",900,-5
,"rocket_trail_02",,"false","false","false",0,-5
"skeleton_Glow","test2","spine_mid_s","true","false","true",200,0
"skin_aq_clashiversary_eyeshine_idle","hero_clashiversary_reddot","L_eye_s","false","false","true",200,0
"skin_aq_clashiversary_pixcel_attack","hero_clashiversary_pixel_attack","Root","false","false","true",200,0
,"hero_clashiversary_reddot","L_eye_s","false","false","true",200,0
"skin_aq_eyeshine","hero_clashiversary_reddot","L_eye_s","false","false","true",200,0
,"hero_clashiversary_pixel","Root","false","false","true",500,0
"skin_aq_ghost_attack","skin_ghost_rc_smoke_attack","Root","false","true","true",1000,0
,"skin_ghost_rc_smoke_point","jaw_s","false","true","true",1000,0
,"skin_ghost_aq_smoke_point_wardrobe","weapon_s","false","true","true",1000,0
"skin_aq_ghost_cheer","skin_ghost_rc_smoke","Root","false","true","true",1000,0
,"skin_ghost_rc_shine","Root","false","false","true",1000,0
,"skin_ghost_rc_smoke_point","jaw_s","false","true","true",1000,0
,"skin_ghost_sparkle_spiral","Root","false","false","true",1000,0
,"skin_ghost_rc_smoke_point","weapon_s","false","true","true",1000,0
,"skin_ghost_rc_smoke_point_cheer","arrow_s","false","false","true",5000,0
"skin_aq_ghost_die","skin_ghost_rc_die","jaw_s","false","true","true",1000,0
,"skin_ghost_rc_smoke","Root","false","true","true",1000,0
,"skin_ghost_rc_smoke_point","arrow_s","false","true","true",1000,0
"skin_aq_ghost_idle","skin_ghost_rc_smoke","Root","false","true","true",1000,0
,"skin_ghost_rc_smoke_point","jaw_s","false","true","true",1000,0
