"Barbarian",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","SWF",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","String",,,,,,,,,,
,"walk","TRUE",,,"barbarian1_run","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"idle","TRUE",1,,"barbarian1_idle1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"attack","TRUE",1,11,"barbarian1_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian1_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian1_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian1_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian1_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian1_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
"Barbarian3",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","SWF",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","String",,,,,,,,,,
,"walk","TRUE",,,"barbarian3_run","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"idle","TRUE",1,,"barbarian3_idle1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"attack","TRUE",1,11,"barbarian3_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian3_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian3_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian3_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian3_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian3_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
"Barbarian5",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","SWF",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","String",,,,,,,,,,
,"walk","TRUE",,,"barbarian5_run","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"idle","TRUE",1,,"barbarian5_idle1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"attack","TRUE",1,11,"barbarian5_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian5_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian5_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian5_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian5_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian5_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
"Barbarian6",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","SWF",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","String",,,,,,,,,,
,"walk","TRUE",,,"barbarian6_run","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"idle","TRUE",1,,"barbarian6_idle1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"attack","TRUE",1,11,"barbarian6_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian6_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian6_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian6_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian6_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian6_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
"Barbarian7",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","SWF",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","String",,,,,,,,,,
,"walk","TRUE",,,"barbarian7_run","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"idle","TRUE",1,,"barbarian7_idle1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"attack","TRUE",1,11,"barbarian7_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian7_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian7_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian7_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian7_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian7_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
"Barbarian8",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","SWF",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","String",,,,,,,,,,
,"walk","TRUE",,,"barbarian8_run","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"idle","TRUE",1,,"barbarian8_idle1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"attack","TRUE",1,11,"barbarian8_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian8_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian8_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian8_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian8_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian8_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
"Barbarian9",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","SWF",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","String",,,,,,,,,,
,"walk","TRUE",,,"barbarian9_run","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"idle","TRUE",1,,"barbarian9_idle1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"attack","TRUE",1,11,"barbarian9_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian9_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian9_attack1","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,,"TRUE",1,11,"barbarian9_attack2","FALSE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian9_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian9_cheer1","TRUE","TRUE","sc/chr_barbarian.sc",,,,,,,,,,
"Barbarian10",,,,,,,,,,,,,,,,,,
