"Name","Items","ItemAmounts","Costs"
"String","String","int","int"
1,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",5,500
2,"BoostProduction",1,25
,"BoostResource",1,115
,"MaxLevelArmy",1,300
3,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
4,"BoostProduction",1,25
,"BoostResource",1,115
,"FillElixir2Storage",1,1400
5,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishTroopUpgrade",1,925
6,"BoostProduction",1,0
,"BoostResource",1,115
,"UpgradeWall",10,1000
7,"BoostProduction",1,25
,"BoostResource",1,115
,"MaxLevelArmy",1,300
8,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",2,570
9,"BoostClocktower",1,0
,"BoostResource",1,115
,"FinishHeroUpgrade",1,500
10,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishSpellUpgrade",1,925
11,"BoostProduction",1,0
,"BoostResource",1,115
,"UpgradeWall",5,500
12,"BoostProduction",1,25
,"BoostResource",1,115
,"FillGoldStorage",1,1500
13,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
14,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",10,1000
15,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishBuildingUpgrade",1,925
16,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",5,500
17,"BoostProduction",1,25
,"BoostResource",1,115
,"MaxLevelArmy",1,300
18,"BoostClocktower",1,0
,"BoostResource",1,115
,"BoostBuilders",1,285
19,"BoostProduction",1,25
,"BoostResource",1,115
,"FillElixirStorage",1,1500
20,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishTroopUpgrade",1,925
21,"BoostProduction",1,0
,"BoostResource",1,115
,"UpgradeWall",5,500
22,"BoostProduction",1,25
,"BoostResource",1,115
,"MaxLevelArmy",1,300
23,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",2,570
24,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",10,1000
25,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishSpellUpgrade",1,925
26,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",5,500
27,"BoostClocktower",1,0
,"BoostResource",1,115
,"FinishHeroUpgrade",1,500
28,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
29,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",5,500
30,"BoostProduction",1,25
,"BoostResource",1,115
,"MaxLevelArmy",1,300
31,"BoostProduction",1,25
,"BoostResource",1,115
,"FillGold2Storage",1,1400
32,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",10,1000
33,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
34,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",5,500
35,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishBuildingUpgrade",1,925
36,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",5,500
37,"BoostProduction",1,25
,"BoostResource",1,115
,"MaxLevelArmy",1,300
38,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishSpellUpgrade",1,925
39,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",10,1000
