"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_EVENT_GET_GEM_ALTERNATIVE_TITLE","Storage Full","المخزن ممتلئ","容量已满","空間已滿","Lager voll","No hay espacio","مخزن پر است","Varasto täynnä","Réserve pleine","Penyimpanan Penuh","Deposito pieno","倉庫がいっぱいです","저장 공간 가득 참!","Penyimpanan Penuh","Opslag vol","Fullt lager","Limite atingido","Хранилище переполнено","คลังเต็ม","Depo Dolu","Kho chứa đã đầy"
"TID_EVENT_GET_GEM_ALTERNATIVE_TEXT","Your Magic Item storage cannot fit all of the event rewards. Sell the extra rewards for <amount> Gems?","لا يتسع مخزن عناصرك السحرية لكل جوائز الأحداث. هل تبيع الجوائز الزائدة مقابل <amount> من الجواهر؟","您存放魔法物品的容量不足，无法存放所有的活动奖励。出售多余的奖励以获得<amount>宝石？","您存放魔法物品的空間不足，無法存放所有的活動獎勵。出售無法存放的獎勵以獲得<amount>寶石？","Dein Lager für magische Gegenstände hat nicht genug Platz für alle Ereignisbelohnungen. Überschüssige Belohnungen für <amount> Juwelen verkaufen?","No hay espacio en el almacén de objetos mágicos para todas las recompensas del evento. ¿Quieres vender las recompensas sobrantes por <amount> gemas?","مخزن عتیقه جادویی شما فضای کافی برای همه جوایز رویداد ندارد. جوایز اضافی را در ازای <amount> جواهر می‌فروشید؟","Kaikki tapahtuman palkinnot eivät mahdu taikaesineidesi varastoon. Myydäänkö ylimääräiset palkinnot <amount> jalokivellä?","Votre réserve d'objets magiques n'a pas assez de place pour toutes les récompenses d'événement. Vendre les récompenses supplémentaires pour <amount> gemmes ?","Penyimpanan Barang Sihir tidak cukup untuk semua hadiah acara. Jual hadiah ekstra seharga <amount> Permata?","Non c'è spazio per tutte le ricompense nel tuo deposito di artefatti. Vuoi vendere le ricompense in eccesso per <amount> gemme?","魔法アイテムの倉庫がいっぱいで、すべてのイベント報酬を受け取れません。入りきらない報酬を<amount>エメラルドで売却しますか？","마법 아이템 저장 공간이 부족해 이벤트 보상을 모두 획득할 수 없습니다. 남은 보상을 보석 <amount>개로 대체할까요?","Penyimpanan Item Ajaib anda tidak boleh memuat semua ganjaran acara. Jual ganjaran tambahan untuk <amount> Permata?","Je opslag voor magische artefacten heeft niet genoeg ruimte voor alle evenementbeloningen. Wil je de overtallige beloningen verkopen voor <amount> edelstenen?","Du har ikke plass til alle belønningene i lageret for magiske gjenstander. Vil du selge de ekstra belønningene for <amount> juveler?","Algumas recompensas do evento não podem ser incluídas no seu armazenamento de itens mágicos. Vender as recompensas extras por <amount> gemas?","Ваше хранилище волшебных предметов не может вместить все награды события. Продать лишние награды за кристаллы (<amount>)?","คลังเก็บไอเทมเวทมนตร์ของท่านไม่สามารถเก็บรางวัลจากอีเวนท์ได้ทั้งหมด ขายรางวัลส่วนเกินเพื่อรับอัญมณี <amount> เม็ดหรือไม่?","Etkinlik ödülleri Büyülü Öğe depona sığmıyor. Fazla ödülleri <amount> Taş karşılığında satmak ister misin?","Kho chứa Vật phẩm Phép thuật không thể chứa hết các phần thưởng của sự kiện. Bán bớt các phần thưởng thừa để nhận lấy <amount> Ngọc?"
"TID_BOOSTER_HERO_POTION_OFFER_INFO","<num>x Hero Potion - Add up to +<levels> to all Heroes for <time>. Temporary levels cannot exceed maximum level determined by Town Hall level.","<num> من جرعات البطل - أضف +<levels> من المستويات إلى جميع الأبطال لمدة <time>. لا يمكن للمستويات المؤقتة أن تتعدى المستوى الأقصى المحدد حسب مستوى قاعة المدينة.","<num>瓶英雄药水，在<time>内将所有英雄提升最多<levels>个等级。提升后的英雄等级不会超过您所在大本营等级对应的英雄等级上限。","<num>瓶英雄藥水，在<time>內將所有英雄提升最多<levels>個等級。提升後的英雄等級不會超過您所在大本營等級對應的英雄等級上限。","<num>x Heldentrank - Erhöht den Level aller Helden <time> lang um bis zu <levels>. Temporäre Level können den durch den Rathaus-Level vorgegebenen Maximallevel nicht überschreiten.","<num>x pócima heroica: Añade hasta <levels> niveles a todos los héroes durante <time>. Estos niveles temporales no pueden exceder el máximo permitido por tu ayuntamiento.","<num> معجون قهرمان - حداکثر تا <levels>+ را به‌مدت <time> به تمام قهرمانان اضافه کنید. سطح‌های موقت نباید از حداکثر سطح مجاز که توسط سطح تالار شهر تعیین شده است بیشتر شود.","<num> x sankarin rohto: lisää väliaikaisesti jopa <levels> tasoa kaikille sankareille. Vaikutusaika: <time>. Väliaikaiset tasot eivät voi ylittää päärakennuksen tason määräämää korkeinta mahdollista tasoa.","Potion de héros x<num> : ajoute jusqu'à <levels> niveaux à tous les héros pendant <time>. Les niveaux résultants ne peuvent pas dépasser le maximum déterminé par le niveau de votre hôtel de ville.","<num>x Ramuan Pahlawan - Menambah hingga +<levels> ke semua Pahlawan selama <time>. Level temporer tidak dapat melampaui level maksimum yang ditetapkan oleh Balai Kota.","Pozione dell'eroe: x<num>. Migliora per <time> tutti gli eroi aggiungendogli fino a <levels> livelli, i quali però non possono eccedere il limite imposto dal tuo municipio.","ヒーローポーション<num>個 - 全ヒーローが<time>にわたって最大<levels>レベルアップ。THレベルで決められている最大レベルは超えられません。","영웅 포션 x<num> -<time> 동안 일시적으로 모든 영웅의 레벨을 최대 <levels>만큼 올려줍니다! 일시적으로 올라가는 레벨은 마을회관 레벨에 따라 올릴 수 있는 최대 레벨 이상으로 올라가지 않습니다.","<num>x Posyen Wira - Menambah sehingga <levels> untuk semua Wira selama <time>. Tahap sementara tidak boleh melebihi tahap maksimum ditentukan oleh tahap Dewan Bandaran.","<num>x een heldendrankje: voeg <levels> toe aan alle helden gedurende <time>. Tijdelijke levels blijven altijd onder het door het stadhuislevel bepaalde maximum.","<num>x heltedrikk. Legg inntil +<levels> nivåer til alle helter midlertidig i <time>. Midlertidige nivåer kan ikke overskride maksnivået som er bestemt av rådhusnivået.","<num>x poção de herói - adiciona até +<levels> níveis a todos os heróis por <time>. Os níveis temporários não podem ser maiores do que o nível do Centro da Vila.","Зелье героя (<num> шт.) — временно добавляет до <levels> ур. всем героям на <time> Временные уровни не могут превышать максимальный уровень, допускаемый ратушей.","น้ำยาผู้กล้า <num> ขวด - เพิ่มเลเวล +<levels> เลเวลให้ผู้กล้าทั้งหมดเป็นเวลา <time> เลเวลที่เพิ่มมาชั่วคราวนั้นจะไม่สามารถเกินกว่าเลเวลสูงสุดที่กำหนดตามเลเวลศาลากลางได้","<num> Kahraman İksiri - <time> boyunca tüm Kahramanlara +<levels> ekler. Geçici seviyeler, Belediye Binası seviyesi tarafından belirlenen maksimum seviyeyi aşamaz.","<num>x Thuốc Tướng - Cộng đến +<levels> cho tất cả Tướng trong <time>. Cấp tạm thời không được vượt quá cấp tối đa căn cứ theo cấp Nhà Chính."
"TID_MULTIDEVICE_INFO_ANDROID","Sign in with a Supercell ID account to safeguard your progress and play on multiple devices.","سجل الدخول باستخدام حساب Supercell ID لحماية تقدمك واللعب على عدة أجهزة.","登录Supercell ID保护您的游戏进度，并可在多台设备上同步您的游戏进度。","登入Supercell ID保護您的遊戲進度，並可在多台裝置上同步您的遊戲進度。","Melde dich mit deinem Supercell-ID-Konto an, um deinen Fortschritt zu sichern und auf mehreren Geräten zu spielen.","Inicia sesión con tu Supercell ID para guardar tu progreso y jugar en distintos dispositivos.","با حساب Supercell ID خود وارد شوید تا از پیشرفت خود محافظت و روی چند دستگاه بازی کنید.","Kirjaudu sisään käyttämällä Supercell ID:täsi tallentaaksesi etenemisesi pelissä ja pelataksesi useammilla laitteilla.","Connectez-vous à Supercell ID pour sauvegarder votre progression et jouer sur plusieurs appareils.","Masuk dengan akun Supercell ID untuk mengamankan progres dan memudahkan bermain di berbagai perangkat.","Registrati con un account Supercell ID per proteggere i tuoi progressi di gioco e giocare su dispositivi diversi.","Supercell IDでサインインして、ゲームアカウントを保護しながら、複数デバイスでプレイを楽しみましょう。","Supercell ID 계정으로 로그인해서 게임 진행 데이터를 안전하게 지키고, 여러 기기에서 플레이하세요!","Log masuk menggunakan akaun Supercell ID anda untuk melindungi kemajuan anda dan bermain pada beberapa peranti.","Meld je aan met je Supercell ID-account om je voortgang veilig te stellen en op meerdere apparaten te spelen.","Logg inn med en Supercell ID-konto for å beskytte fremdriften din og spille på flere enheter.","Inicie uma sessão com seu Supercell ID para proteger seu progresso e jogar em diversos dispositivos.","Войдите в игру с Supercell ID, чтобы сохранить свои достижения и играть на нескольких устройствах.","ลงชื่อเข้าใช้ด้วยบัญชี Supercell ID เพื่อรักษาความคืบหน้าของท่านและเล่นบนอุปกรณ์หลายเครื่อง","Oyundaki ilerleme durumunuzu kaybetmemek ve oyununuzu birden fazla cihazda oynamak için bir Supercell ID hesabıyla giriş yapın.","Hãy đăng nhập bằng Supercell ID để bảo vệ an toàn cho tiến trình chơi của bạn và để có thể chơi trên nhiều thiết bị."
"TID_CHAT_WELCOME","Welcome to the global chat.\n\nPlease be respectful and polite towards others. Offensive behavior is not tolerated.\n\nDo not share any private information (email, phone number, address, passwords)!","مرحبًا بك في المحادثة العالمية.\n\nمن فضلك تعامل باحترام وبتهذيب مع الآخرين. السلوك المهين غير مقبول.\n\nلا تشارك أي معلومات شخصية (بريد إلكتروني، رقم هاتف، عنوان، كلمات سر)!","由于技术原因，我们需要暂时关闭公众聊天功能，很抱歉给您带来不便，敬请理解！","由於技術原因，我們需要暫時關閉公共聊天聊天，很抱歉給您帶來不便，敬請理解！","Willkommen im globalen Chat!\n\nBitte sei anderen gegenüber respektvoll und höflich. Beleidigendes Verhalten wird nicht toleriert.\n\nGib keine privaten Informationen weiter (E-Mail-Adresse, Telefonnummer, Adresse, Passwörter)!","¡Te damos la bienvenida al chat global!\n\nPor favor, trata a los demás con respeto y educación. No se tolerará ningún comportamiento ofensivo.\n\nNo compartas con nadie tu información personal (correo, teléfono, dirección, contraseñas).","به گپ جهانی خوش آمدید.\n\nلطفاً در برابر دیگران، محترمانه و مؤدبانه رفتار کنید. رفتار توهین‌آمیز قابل تحمل نیست.\n\nاطلاعات خصوصی (ایمیل، شماره تلفن، آدرس، گذرواژه‌ها) را به اشتراک نگذارید!","Tervetuloa yleiseen chattiin.\n\nOlethan huomaavainen ja kohtelias muita pelaajia kohtaan. Loukkaavaa käytöstä ei hyväksytä.\n\nÄlä jaa chatissa mitään henkilökohtaisia tietojasi (sähköpostia, puhelinnumeroa, osoitetta, salasanoja).","Bienvenue sur le chat général.\n\nVeuillez vous montrer respectueux des autres joueurs. Les comportements déplacés ne sont pas tolérés.\n\nNe partagez aucune information personnelle (e-mail, numéro de téléphone, adresse, mots de passe) !","Selamat datang di obrolan global.\n\nHarap saling menghormati dan sopan terhadap orang lain. Perilaku tidak pantas tak akan ditoleransi.\n\nJangan berbagi informasi pribadi (email, nomor telepon, alamat, kata sandi)!","Ti diamo il benvenuto alla chat globale.\n\nTi preghiamo di rispettare gli altri. Non saranno tollerati comportamenti offensivi.\n\nNon condividere le informazioni private (e-mail, numero di telefono, indirizzo, password)!","ここは全プレイヤーがチャットできるグローバルチャットです。\n\n礼儀正しくチャットしましょう。問題のある言動は厳しく処罰されます。\n\nメールアドレス、電話番号、住所、パスワードなどの個人情報をチャットで発言しないでください！","전체 채팅에 오신 것을 환영합니다.\n\n다른 플레이어를 존중해 주세요. 불쾌한 언행은 처벌될 수 있습니다.\n\n개인 정보(이메일, 전화번호, 주소, 암호)를 공유하지 마세요!","Selamat datang ke bual global.\n\nSila hormat dan bersopan antara satu sama lain. Kelakuan tidak menyenangkan tidak boleh diterima.\n\nJangan kongsikan sebarang maklumat persendirian (e-mel, nombor telefon, alamat, kata laluan)!","Welkom bij de wereldwijde chat.\n\nToon respect en wees beleefd tegen elkaar. Aanstootgevend gedrag wordt niet getolereerd.\n\nDeel geen privégegevens (e-mailadres, telefoonnummer, adres, wachtwoorden)!","Velkommen til den globale chatten.\n\nVis respekt for andre og vær høflig. Støtende oppførsel tolereres ikke.\n\nIkke del personlig informasjon (e-post, telefonnummer, adresse, passord)!","Este é o bate-papo global.\n\nTrate os outros com educação e respeito. Comportamento ofensivo não será tolerado.\n\nNão compartilhe dados confidenciais, como e-mail, número de telefone, endereço e senhas!","Добро пожаловать в глобальный чат.\n\nПожалуйста, относитесь к другим с уважением. Оскорбительное поведение недопустимо.\n\nНикому не сообщайте свою личную информацию (эл. почту, номер телефона, адрес, пароли)!","ยินดีต้อนรับสู่แชตรวม\n\nโปรดให้เกียรติและสุภาพต่อผู้อื่น พฤติกรรมหยาบคายนั้นจะไม่ได้รับการยอมรับ\n\nอย่าแบ่งปันข้อมูลส่วนตัวใดๆ (อีเมล หมายเลขโทรศัพท์ ที่อยู่ รหัสผ่าน)!","Küresel sohbete hoş geldin.\n\nLütfen diğerlerine karşı saygılı ve nazik ol. Saldırgan davranışlara tolerans gösterilmeyecektir.\n\nHiçbir özel bilgini (e-posta, telefon numarası, adres, şifre) paylaşma!","Chào mừng bạn đến kênh trò chuyện toàn cầu.\n\nHãy tỏ ra tôn trọng và lịch sự với người khác. Hành vi xúc phạm sẽ không được dung thứ.\n\nĐừng chia sẻ bất kỳ thông tin riêng tư nào (email, số điện thoại, địa chỉ, mật khẩu)!"
"TID_GEM_COMPENSATION_CLAN_GAMES","Hi Chief! We noticed that you lost your rewards from the last Clan Games. Unfortunately we are unable to give you the resources and Magic Items, so we have sent you 50 Gems per unlocked reward Tier instead. Our sincerest apologies for what happened. Clash on!","مرحباً عزيزي الزعيم، لقد لاحظنا انك خسرت مكافأتك من أخر مباريات القبيلة، لسوء الحظ نحن غير قادرين على منحك موارد وعناصر سحرية، لذلك ارسلنا لك 50 جوهرة لكل مكافأة غير مقفلة. خالص اعتذارنا عما حدث. واصل القتال","首领您好！我们注意到您在上次部落竞赛中未获得应得的奖励。很抱歉我们无法为您直接补偿对应的资源和魔法物品，您应得的奖励已转化为宝石（每一解锁的阶段50宝石），敬请查收。由此造成的不便，我们深表歉意。Clash on！","首領您好！我們注意到您在上次部落競賽中未獲得應得的獎勵。很抱歉我們無法為您直接補償對應的資源和魔法物品，您應得的獎勵已轉化為寶石（每一解鎖的階段50寶石），敬請查收。由此造成的不便，我們深表歉意。Clash on！","Hallo Chief!\n\nUns ist aufgefallen, dass du die Belohnungen der letzten Clanspiele verloren hast. Leider ist es uns nicht möglich, dir die Ressourcen und magischen Gegenstände zu geben, deswegen haben wir dir 50 Juwelen für jedes freigeschaltete Level gutgeschrieben. Entschuldige bitte die entstandenen Unannehmlichkeiten.\n\nViel Spaß noch beim Clashen!","Hola jefe! Hemos notado que perdiste tus recompensas de los últimos Juegos de clanes. Lamentablemente, no podemos proporcionarte los recursos y los objetos mágicos, por lo que te hemos enviado 50 gemas por cada nivel de recompensa desbloqueado. Nuestras más sinceras disculpas por lo sucedido. ¡Saludos Clasheros!","سلام رِئیس!ما متوجه شدیم که شما جوایز بازیهای قبیله ایی خود را از دست داده اید. متأسفانه ما نمیتوانیم منابع و عتیقه های جادویی را به شما برگردانیم، بنابراین ما 50 جم را به ازای هر ستونی که  باز کرده بودید  برای شما ارسال میکنیم. ما از صمیم قلب از شما به خاطر این مشکل پیش آمده معذرت خواهی میکنیم به نبرد ادامه بدید","Tervehdys Päällikkö!\n\nHuomasimme, että sinulta on hävinnyt palkinnot viimeisimmistä Klaani peleistä. Valitettavasti emme pysty antamaan sinulle kadottamiasi resursseja tai Taikaesineitä takaisin, joten lähetimme sinulle 50 jalokiveä jokaista lukittua palkintotasoa kohden. Olemme vilpittömästi pahoillamme tapahtuneesta. Onnea taisteluun!","Bonjour Chef ! Nous avons remarqué que vous avez perdu vos récompenses des derniers jeux de clan. Malheureusement, nous ne pouvons pas vous donner les ressources et objets magiques perdus, mais nous allons mettre sur votre compte 50 gemmes pour chaque palier débloqué. Nous vous présentons nos plus sincères excuses pour ce qui est arrivé. Bon clash !","Hi Chief! Kami mengetahui bahwa kamu kehilangan penghargaan kamu dari permainan Clan. Sayangnya kami masih belum bisa untuk memberikan kamu sumber daya dan benda ajaib, jadi kami akan memberikan 50 permata kepadamu pada setiap pembukaan penghargaan untuk setiap tingkat sebagai gantinya. Kami sampaikan permohonan maaf kami yang tulus untuk kejadian ini. Clash on!","Ciao Capo! Abbiamo riscontrato che non hai potuto riscuotere le ricompense degli ultimi Giochi del Clan. Sfortunatamente non siamo in grado di ridarti le risorse e gli Artefatti in palio, per questo ti daremo 50 gemme per ogni soglia dei premi sbloccata.  Le nostre più sincere scuse per ciò che è accaduto. Clash On!",,"前回のクランゲームにて、報酬を獲得できない不具合が発生いたしましたまた、大変申し訳ありませんが、こちらの件で資源や魔法アイテムを補てんする事がシステム上できないため、代わりといたしまして、今回クランでアンロックをした報酬の列1つあたり50個のエメラルドをプレイヤー様に送らせていただきました。大変ご不便をおかけいたしました事、お詫び申し上げます。引き続きクラッシュ・オブ・クランをよろしくお願いいたします。","Hai Chief, kami faham anda kehilangan ganjaran dari Permainan Klan yang lepas. Walaupun kami tidak dapat memberikan  sumber dan Item Ajaib, kami telah menghantar 50 Permata bagi setiap tingkat yang telah dibuka. Kami memohon maaf di atas apa yang berlaku. Clash on!","Hoi Chief! We hebben gemerkt dat je je beloningen van de laatste Clan Games bent kwijtgeraakt.Helaas zijn we niet in staat de grondstoffen en de Magische Artefacten te geven, dus hebben we je in plaats daarvan 50 edelstenen per ontgrendelde beloningsdrempel gestuurd. Onze oprechte excuses voor wat er is gebeurd. Clash on!","Hi Chief! We noticed that you lost your rewards from the last Clan Games. Unfortunately we are unable to give you the resources and Magic Items, so we have sent you 50 Gems per unlocked reward Tier instead. Our sincerest apologies for what happened. Clash on!","Olá Chefe! Verificamos que perdeu as suas recompensas dos últimos Jogos de Clã. Infelizmente não temos como devolver os recursos nem os Itens Mágicos, então enviamos 50 Gemas por cada nível de recompensas que alcançou. Pedimos desculpa pelo sucedido. Clash On!","Привет, Вождь! Мы заметили, что ты не получил свою награду за последние Игры Кланов. К сожалению, у нас нет возможности возместить тебе ресурсы или Магические предметы, поэтому мы отправили тебе по 50 кристаллов за каждый достигнутый уровень наград вашим кланом. Пожалуйста, прими наши искрение извинения за случившееся!","สวัสดีหัวหน้า! เราสังเกตเห็นว่าคุณสูญเสียรางวัลของคุณจากเกม Clan ล่าสุด น่าเสียดายที่เราไม่สามารถให้ทรัพยากรและไอเท็ม Magic แก่คุณได้ดังนั้นเราจึงส่ง 50 Gems ต่อเทียร์ปลดล็อคของรางวัลแทน ทางเราขออภัยเป็นอย่างสูงสำหรับสิ่งที่เกิดขึ้นกับท่านหัวหน้า Clash on!","Merhaba Şef! Son Klan Oyunları ödüllerini alamadığını fark ettik. Ne yazık ki kaynakları ve Büyülü öğeleri iade etmemiz mümkün olmadığından, kilidi açılan her ödül aşaması için tarafına 50 Taş gönderdik. Yaşanan bu durumdan dolayı içtenlikle özür diliyoruz. Savaş'a devam!","Xin chào Thủ lĩnh! Chúng tôi nhận thấy rằng trong Trò chơi Hội vừa qua bạn đã không nhận được phần thưởng của mình. Thật không may là chúng tôi không thể gửi lại cho bạn những tài nguyên và Vật phẩm thần kỳ, vậy nên chúng tôi đã gửi lại cho bạn 50 gem cho mỗi mốc phần thưởng mà Hội của bạn đạt được. Chúng tôi xin chân thành xin lỗi vì những gì đã xảy ra. Giờ thì cùng chơi Clash nào!"
"TID_SETTINGS_API_TOKEN_HEADER","API Token","رمز API","API令牌","API Token","API-Token","Código API","ژتون API","API-tunnus","Jeton API","Token API","Chiave API","APIトークン","API 토큰","Token API","API-token","API-merke","Token de API","Авторизационный токен","API Token","API Belirteci","Token API"
"TID_SETTINGS_API_TOKEN_SHOW","Tap 'Show' to see API token","المس 'العرض' لإظهار رمز API","点击“显示”按钮以查看API令牌","點擊「顯示」按鈕以查看API Token","Tippe auf \qAnzeigen\q, um das API-Token zu sehen.","Toca Mostrar para ver el código API","روی «نمایش» ضربه بزن تا ژتون API رو ببینی","Näet API-tunnuksen napauttamalla Näytä","Appuyez sur Voir pour voir le jeton API.","Ketuk 'Tampilkan' untuk melihat Token API","Tocca su ''Mostra'' per vedere la chiave API","「表示」をタップしてAPIトークンを見る","'보기' 버튼을 눌러 API 토큰 확인","Ketik ‘Tunjukkan’ untuk lihat token API","Tik op Tonen om de API-token te zien.","Trykk på «Vis» for å vise API-merket.","Toque em 'Mostrar' para ver o token de API.","Нажмите «Показать», чтобы увидеть токен","แตะที่ \qแสดง\q เพื่อดู API token","API belirtecini görmek için 'Göster'e dokun","Nhấn ‘hiển thị’ để xem token API"
"TID_SETTINGS_API_TOKEN_RECEIVED","API token: <token>","رمز API: <token>","API令牌：<token>","API Token：<token>","API-Token: <token>","Código API: <token>","ژتون API: <token>","API-tunnus: <token>","Jeton API : <token>","Token API: <token>","Chiave API: <token>","APIトークン：<token>","API 토큰: <token>","Token API: <token>","API-token: <token>","API-merke: <token>","Token de API: <token>","Авторизационный токен: <token>","API token: <token>","API belirteci: <token>","Token API: <token>"
