"TID","RU"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Русский"
"TID_BUILDING_HOUSE","Дом"
"TID_BUILDING_HOUSING","Военный лагерь"
"TID_BUILDING_TOWN_HALL","Ратуша"
"TID_BUILDING_ELIXIR_PUMP","Сборщик эликсира"
"TID_BUILDING_ELIXIR_STORAGE","Эликсирохранилище"
"TID_BUILDING_GOLD_MINE","Золотая шахта"
"TID_BUILDING_GOLD_STORAGE","Золотохранилище"
"TID_BUILDING_BARRACK","Казармы"
"TID_BUILDING_CANNON","Пушка"
"TID_BUILDING_TESLA_TOWER","Потайная тесла"
"TID_BUILDING_WALL","Стена"
"TID_BUILDING_FENCE","Забор"
"TID_BUILDING_WIZARD_TOWER","Башня колдуна"
"TID_BUILDING_AIR_DEFENSE","воздушная оборона"
"TID_BUILDING_MORTAR","Мортира"
"TID_WORKER_BUILDING","Хижина строителя"
"TID_BUILDING_LABORATORY","Лаборатория"
"TID_TRAP_BOMB","Бомба-ловушка"
"TID_TRAP_EJECT","Ловушка-пружина"
"TID_TRAP_TIMETRAP","Часовая ловушка"
"TID_BUTTON_SPEEDUP","Завершить сейчас"
"TID_BUTTON_UPGRADE","Улучшить"
"TID_BUTTON_ATTACK","В бой!"
"TID_BUTTON_SHOP","Магазин"
"TID_BUTTON_SELL","Продать"
"TID_BUTTON_CANCEL","Отмена"
"TID_BUTTON_TRAIN","Тренировать войска"
"TID_BUTTON_COLLECT","Собрать"
"TID_BUTTON_INFO","Информация"
"TID_BUTTON_CLEAR","Удалить"
"TID_BUTTON_HOME","Домой"
"TID_BUTTON_ACCEPT","Принять"
"TID_BUTTON_REJECT","Отказать"
"TID_BUTTON_SEND","Отправить"
"TID_BUTTON_JOIN","Присоединиться"
"TID_TAB_GLOBAL_CHAT","Глобальный"
"TID_TAB_ALLIANCE_CHAT","Клан"
"TID_OBSTACLE_TREE","Дерево"
"TID_OBSTACLE_STONE","Камень"
"TID_OBSTACLE_BUSH","Куст"
"TID_OBSTACLE_TRUNK","Сухой ствол"
"TID_OBSTACLE_MUSHROOM","Гриб"
"TID_DECORATION_BARBARIAN_STATUE","Могучая статуя"
"TID_DECORATION_TORCH","Факел"
"TID_DECORATION_WHITE_FLAG","Белый флаг"
"TID_DECORATION_SKULL_FLAG","Пиратский флаг"
"TID_DECORATION_FLOWERBOX1","Клумба с васильками"
"TID_DECORATION_FLOWERBOX2","Клумба с подсолнухами"
"TID_DECORATION_WINDMETER","Флюгер"
"TID_DECORATION_DOWNARROW_FLAG","Флаг точки сбора"
"TID_DECORATION_UPARROW_FLAG","Флаг со стрелкой"
"TID_DECORATION_SKULL_ALTAR","Древний череп"
"TID_DECORATION_NATIONAL_FLAG","Национальный флаг"
"TID_TIME_DAYS","д."
"TID_TIME_HOURS","ч."
"TID_TIME_MINS","м."
"TID_TIME_SECS","с."
"TID_BATTLE_TIME_TITLE","Конец сражения через:"
"TID_POPUP_HEADER_WARNING","Внимание!"
"TID_POPUP_UNDER_ATTACK","На вас напали! Подождите, ваша деревня загрузится автоматически."
"TID_POPUP_TRY_AGAIN","Примерно осталось:"
"TID_BUTTON_OKAY","ОК"
"TID_POPUP_TRAIN_TITLE","Тренировка войск <limit>"
"TID_INVALID_PLACEMENT","Вы не можете развернуть войска в красной зоне!"
