"TID","FA"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","فارسی"
"TID_BUILDING_HOUSE","خانه"
"TID_BUILDING_HOUSING","اردوگاه نظامی"
"TID_BUILDING_TOWN_HALL","تالار شهر"
"TID_BUILDING_ELIXIR_PUMP","دستگاه تقطیراکسیر"
"TID_BUILDING_ELIXIR_STORAGE","مخزن اکسیر"
"TID_BUILDING_GOLD_MINE","معدن طلا"
"TID_BUILDING_GOLD_STORAGE","انبار طلا"
"TID_BUILDING_BARRACK","پادگان"
"TID_BUILDING_CANNON","توپ"
"TID_BUILDING_TESLA_TOWER","تسلای مخفی"
"TID_BUILDING_WALL","دیوار"
"TID_BUILDING_FENCE","حصار"
"TID_BUILDING_WIZARD_TOWER","برج جادو"
"TID_BUILDING_AIR_DEFENSE","دفاع هوایی"
"TID_BUILDING_MORTAR","خمپاره‌انداز"
"TID_WORKER_BUILDING","کارگاه ساختمانی"
"TID_BUILDING_LABORATORY","آزمایشگاه"
"TID_TRAP_BOMB","تله بمبی"
"TID_TRAP_EJECT","تله فنری"
"TID_TRAP_TIMETRAP","تله زمانی"
"TID_BUTTON_SPEEDUP","اکنون تمام شود"
"TID_BUTTON_UPGRADE","ارتقا"
"TID_BUTTON_ATTACK","حمله!"
"TID_BUTTON_SHOP","فروشگاه"
"TID_BUTTON_SELL","فروش"
"TID_BUTTON_CANCEL","لغو"
"TID_BUTTON_TRAIN","آموزش نیروها"
"TID_BUTTON_COLLECT","جمع‌آوری"
"TID_BUTTON_INFO","اطلاعات"
"TID_BUTTON_CLEAR","حذف"
"TID_BUTTON_HOME","برگشت به خانه"
"TID_BUTTON_ACCEPT","پذیرش"
"TID_BUTTON_REJECT","رد"
"TID_BUTTON_SEND","ارسال"
"TID_BUTTON_JOIN","پیوستن"
"TID_TAB_GLOBAL_CHAT","جهانی"
"TID_TAB_ALLIANCE_CHAT","قبیله"
"TID_OBSTACLE_TREE","درخت"
"TID_OBSTACLE_STONE","سنگ"
"TID_OBSTACLE_BUSH","بوته"
"TID_OBSTACLE_TRUNK","تنه درخت"
"TID_OBSTACLE_MUSHROOM","قارچ"
"TID_DECORATION_BARBARIAN_STATUE","مجسمه عظیم"
"TID_DECORATION_TORCH","مشعل"
"TID_DECORATION_WHITE_FLAG","پرچم سفید"
"TID_DECORATION_SKULL_FLAG","پرچم دزدان دریایی"
"TID_DECORATION_FLOWERBOX1","باغچه گل گندم"
"TID_DECORATION_FLOWERBOX2","باغچه گل آفتابگردان"
"TID_DECORATION_WINDMETER","بادنما"
"TID_DECORATION_DOWNARROW_FLAG","پرچم رالی"
"TID_DECORATION_UPARROW_FLAG","پرچم راهنما"
"TID_DECORATION_SKULL_ALTAR","جمجمه باستانی"
"TID_DECORATION_NATIONAL_FLAG","پرچم ملی"
"TID_TIME_DAYS","روز"
"TID_TIME_HOURS","ساعت"
"TID_TIME_MINS","دقیقه"
"TID_TIME_SECS","ثانیه"
"TID_BATTLE_TIME_TITLE","نبرد تمام می‌شود در:"
"TID_POPUP_HEADER_WARNING","هشدار!"
"TID_POPUP_UNDER_ATTACK","شما مورد حمله قرار گرفته‌اید! لطفاً منتظر بمانید، دهکده‌تان به طور خودکار بارگذاری خواهد شد."
"TID_POPUP_TRY_AGAIN","زمان باقیمانده تخمینی:"
"TID_BUTTON_OKAY","تایید"
"TID_POPUP_TRAIN_TITLE","آموزش نیروها <limit>"
"TID_INVALID_PLACEMENT","نمی‌توانید نیروها را روی منطقه قرمز مستقر کنید!"
"TID_ALL_TROOPS_USED","همه نیروها به کار گرفته شدند"
"TID_OTHER_TROOP_LEFT","انتخاب یک واحد دیگر"
"TID_DIAMONDS","جواهر"
"TID_GOLD","طلا"
"TID_ELIXIR","اکسیر"
"TID_ITEM_LEVEL","<item> (سطح <number>)"
"TID_SHOP_TITLE","فروشگاه"
"TID_ITEM_BROKEN","<item> (خراب)"
"TID_BUILDING_ARCHER_TOWER","برج کماندار"
"TID_BUILDING_CLASS_ARMY","ساختمان‌های نظامی"
"TID_BUILDING_CLASS_DEFENSE","دفاع"
"TID_BUILDING_CLASS_RESOURCE","منابع"
"TID_BUILDING_CLASS_WALL","دیوارها"
"TID_NOT_ENOUGH_WORKERS_HEADER","همه سازندگان مشغول هستند!"
"TID_NOT_ENOUGH_WORKERS_TEXT","سازه قبلی را کامل و یک سازنده رها می‌کنید؟"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","سازه قبلی را کامل و یک استاد سازنده را رها می‌کنید؟"
"TID_NOT_ENOUGH_RESOURCE","شما <resource> کافی ندارید!"
"TID_NOT_ENOUGH_RESOURCE_TWO","شما به اندازه كافي <resource1> و <resource2> ندارید!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","شما باید تالار شهرتان را به سطح <number> ارتقا دهید!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","شما باید تالار سازنده‌تان را به سطح <number> ارتقا دهید!"
"TID_POPUP_ABOUT_TO_SELL_TITLE","فروش ساختمان"
"TID_POPUP_TEXT_ABOUT_TO_SELL","آیا واقعاً می‌خواهید <item> را به ازای <number> <resource> بفروشید؟"
"TID_POPUP_UPGRADE_TITLE","به سطح <number> ارتقا پیدا کند؟"
"TID_POPUP_UPGRADE_BUILD_MORE","ساخت بیشتر:"
"TID_RESOURCE_CAP_FULL_GOLD","انبار طلای بیشتری بسازید یا موارد موجود را ارتقا دهید!"
"TID_RESOURCE_CAP_FULL_ELIXIR","مخزن اکسیر بیشتری بسازید یا مخازن موجود را ارتقا دهید!"
"TID_RESOURCE_CAP_FULL_GENERIC","مخازن بیشتری بسازید یا مخازن موجود را ارتقا دهید!"
"TID_POPUP_FRIEND_LIST_TITLE","دوستان"
"TID_POPUP_SOCIAL_LIST_TITLE","اجتماعی"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","اتصال به Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","ورود به Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","در حال بارگیری فهرست دوستان..."
"TID_OBSTACLE_TOMBSTONE","سنگ قبر"
"TID_NO_FACEBOOK_FRIENDS","نمی‌توان دوستان Facebook که Clash of Clans بازی می‌کنند را پیدا کرد"
