"TID","JP"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","日本語"
"TID_BUILDING_HOUSE","住居"
"TID_BUILDING_HOUSING","アーミーキャンプ"
"TID_BUILDING_TOWN_HALL","タウンホール"
"TID_BUILDING_ELIXIR_PUMP","エリクサーポンプ"
"TID_BUILDING_ELIXIR_STORAGE","エリクサータンク"
"TID_BUILDING_GOLD_MINE","金山"
"TID_BUILDING_GOLD_STORAGE","金庫"
"TID_BUILDING_BARRACK","兵舎"
"TID_BUILDING_CANNON","大砲"
"TID_BUILDING_TESLA_TOWER","かくしテスラ"
"TID_BUILDING_WALL","壁"
"TID_BUILDING_FENCE","柵"
"TID_BUILDING_WIZARD_TOWER","ウィザードの塔"
"TID_BUILDING_AIR_DEFENSE","対空砲"
"TID_BUILDING_MORTAR","迫撃砲"
"TID_WORKER_BUILDING","大工の小屋"
"TID_BUILDING_LABORATORY","ラボ"
"TID_TRAP_BOMB","爆弾"
"TID_TRAP_EJECT","ばねトラップ"
"TID_TRAP_TIMETRAP","タイムトラップ"
"TID_BUTTON_SPEEDUP","今すぐ完成"
"TID_BUTTON_UPGRADE","アップグレード"
"TID_BUTTON_ATTACK","攻撃"
"TID_BUTTON_SHOP","ショップ"
"TID_BUTTON_SELL","売る"
"TID_BUTTON_CANCEL","キャンセル"
"TID_BUTTON_TRAIN","ユニットの訓練"
"TID_BUTTON_COLLECT","回収"
"TID_BUTTON_INFO","情報"
"TID_BUTTON_CLEAR","取り除く"
"TID_BUTTON_HOME","ホームに戻る"
"TID_BUTTON_ACCEPT","承認"
"TID_BUTTON_REJECT","拒否"
"TID_BUTTON_SEND","送信"
"TID_BUTTON_JOIN","参加"
"TID_TAB_GLOBAL_CHAT","グローバル"
"TID_TAB_ALLIANCE_CHAT","クラン"
"TID_OBSTACLE_TREE","木"
"TID_OBSTACLE_STONE","岩"
"TID_OBSTACLE_BUSH","やぶ"
"TID_OBSTACLE_TRUNK","木の幹"
"TID_OBSTACLE_MUSHROOM","キノコ"
"TID_DECORATION_BARBARIAN_STATUE","偉大なる像"
"TID_DECORATION_TORCH","たいまつ"
"TID_DECORATION_WHITE_FLAG","白い旗"
"TID_DECORATION_SKULL_FLAG","海賊の旗"
"TID_DECORATION_FLOWERBOX1","ヤグルマソウの花壇"
"TID_DECORATION_FLOWERBOX2","ヒマワリの花壇"
"TID_DECORATION_WINDMETER","風向計"
"TID_DECORATION_DOWNARROW_FLAG","集合地点の旗"
"TID_DECORATION_UPARROW_FLAG","重要地点の旗"
"TID_DECORATION_SKULL_ALTAR","太古のドクロ"
"TID_DECORATION_NATIONAL_FLAG","国旗"
"TID_TIME_DAYS","日"
"TID_TIME_HOURS","時間"
"TID_TIME_MINS","分"
"TID_TIME_SECS","秒"
"TID_BATTLE_TIME_TITLE","戦闘終了まで："
"TID_POPUP_HEADER_WARNING","警告！"
"TID_POPUP_UNDER_ATTACK","攻撃を受けています！\n村が自動的にロードされるまで少しお待ちください。"
"TID_POPUP_TRY_AGAIN","待ち時間："
"TID_BUTTON_OKAY","OK"
"TID_POPUP_TRAIN_TITLE","ユニットの訓練 <limit>"
"TID_INVALID_PLACEMENT","赤いエリアにはユニットを配置できません。"
"TID_ALL_TROOPS_USED","全ユニット出撃済み"
"TID_OTHER_TROOP_LEFT","別のユニットを選択してください"
"TID_DIAMONDS","エメラルド"
"TID_GOLD","ゴールド"
"TID_ELIXIR","エリクサー"
"TID_ITEM_LEVEL","<item> （レベル <number>）"
