"TID","TR"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Türkçe"
"TID_BUILDING_HOUSE","Ev"
"TID_BUILDING_HOUSING","Ordu Kampı"
"TID_BUILDING_TOWN_HALL","Belediye Binası"
"TID_BUILDING_ELIXIR_PUMP","İksir Toplayıcı"
"TID_BUILDING_ELIXIR_STORAGE","İksir Deposu"
"TID_BUILDING_GOLD_MINE","Altın Madeni"
"TID_BUILDING_GOLD_STORAGE","Altın Deposu"
"TID_BUILDING_BARRACK","Kışla"
"TID_BUILDING_CANNON","Top"
"TID_BUILDING_TESLA_TOWER","Gizli Tesla"
"TID_BUILDING_WALL","Duvar"
"TID_BUILDING_FENCE","Çit"
"TID_BUILDING_WIZARD_TOWER","Büyücü Kulesi"
"TID_BUILDING_AIR_DEFENSE","Hava Savunması"
"TID_BUILDING_MORTAR","Havan"
"TID_WORKER_BUILDING","İnşaatçı Kulübesi"
"TID_BUILDING_LABORATORY","Laboratuvar"
"TID_TRAP_BOMB","Bombalı Tuzak"
"TID_TRAP_EJECT","Yaylı Tuzak"
"TID_TRAP_TIMETRAP","Zaman Tuzağı"
"TID_BUTTON_SPEEDUP","Şimdi Bitir"
"TID_BUTTON_UPGRADE","Yükselt"
"TID_BUTTON_ATTACK","Saldır!"
"TID_BUTTON_SHOP","Dükkan"
"TID_BUTTON_SELL","Sat"
"TID_BUTTON_CANCEL","İptal"
"TID_BUTTON_TRAIN","Birlik Eğit"
"TID_BUTTON_COLLECT","Topla"
"TID_BUTTON_INFO","Bilgi"
"TID_BUTTON_CLEAR","Kaldır"
"TID_BUTTON_HOME","Eve Dön"
"TID_BUTTON_ACCEPT","Kabul Et"
"TID_BUTTON_REJECT","Reddet"
"TID_BUTTON_SEND","Gönder"
"TID_BUTTON_JOIN","Katıl"
"TID_TAB_GLOBAL_CHAT","Küresel"
"TID_TAB_ALLIANCE_CHAT","Klan"
"TID_OBSTACLE_TREE","Ağaç"
"TID_OBSTACLE_STONE","Kaya"
"TID_OBSTACLE_BUSH","Çalı"
"TID_OBSTACLE_TRUNK","Kütük"
"TID_OBSTACLE_MUSHROOM","Mantar"
"TID_DECORATION_BARBARIAN_STATUE","Dev Heykel"
"TID_DECORATION_TORCH","Meşale"
"TID_DECORATION_WHITE_FLAG","Beyaz Bayrak"
"TID_DECORATION_SKULL_FLAG","Korsan Bayrağı"
"TID_DECORATION_FLOWERBOX1","Çiçek Tarhı"
"TID_DECORATION_FLOWERBOX2","Ayçiçeği Tarhı"
"TID_DECORATION_WINDMETER","Rüzgar Gülü"
"TID_DECORATION_DOWNARROW_FLAG","Ralli Bayrağı"
"TID_DECORATION_UPARROW_FLAG","Nokta Bayrağı"
"TID_DECORATION_SKULL_ALTAR","Antik Kafatası"
"TID_DECORATION_NATIONAL_FLAG","Milli Bayrak"
"TID_TIME_DAYS","g"
"TID_TIME_HOURS","sa"
"TID_TIME_MINS","d"
"TID_TIME_SECS","sn"
"TID_BATTLE_TIME_TITLE","Savaş bitmesine kalan:"
"TID_POPUP_HEADER_WARNING","Uyarı!"
"TID_POPUP_UNDER_ATTACK","Saldırıya uğradın! Lütfen bekle, köyün otomatik olarak yüklenecek."
"TID_POPUP_TRY_AGAIN","Kalan tahmini süre:"
"TID_BUTTON_OKAY","Tamam"
"TID_POPUP_TRAIN_TITLE","<limit> Birlik eğit"
"TID_INVALID_PLACEMENT","Birliklerini kırmızı alana bırakamazsın!"
"TID_ALL_TROOPS_USED","Tüm birlikler gönderildi"
"TID_OTHER_TROOP_LEFT","Farklı bir birim seç"
"TID_DIAMONDS","Taş"
"TID_GOLD","Altın"
"TID_ELIXIR","İksir"
"TID_ITEM_LEVEL","<item> (<number>. seviye)"
"TID_SHOP_TITLE","Dükkan"
"TID_ITEM_BROKEN","<item> (Yıkılmış)"
"TID_BUILDING_ARCHER_TOWER","Okçu Kulesi"
"TID_BUILDING_CLASS_ARMY","Askeri Binalar"
"TID_BUILDING_CLASS_DEFENSE","Savunma"
"TID_BUILDING_CLASS_RESOURCE","Kaynaklar"
"TID_BUILDING_CLASS_WALL","Duvarlar"
"TID_NOT_ENOUGH_WORKERS_HEADER","Tüm inşaatçılar meşgul!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Bir inşaatçının üzerinde çalıştığı iş tamamlansın mı?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Usta İnşaatçının üzerinde çalıştığı iş tamamlansın mı?"
"TID_NOT_ENOUGH_RESOURCE","Yeterli <resource> yok!"
"TID_NOT_ENOUGH_RESOURCE_TWO","Yeterli <resource1> ve <resource2> yok!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Belediye Binasını <number>. seviyeye yükseltmen gerek!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","İnşaatçı Binasını <number>. seviyeye yükseltmen gerek!"
"TID_POPUP_ABOUT_TO_SELL_TITLE","Binayı sat"
"TID_POPUP_TEXT_ABOUT_TO_SELL","<item> öğesini <number> <resource> karşılığında satmak istediğinden emin misin?"
"TID_POPUP_UPGRADE_TITLE","<number>. seviyeye yükseltilsin mi?"
"TID_POPUP_UPGRADE_BUILD_MORE","Gereken:"
"TID_RESOURCE_CAP_FULL_GOLD","Daha çok Altın Deposu inşa et ya da olanları yükselt!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Daha çok İksir Deposu inşa et ya da olanları yükselt!"
"TID_RESOURCE_CAP_FULL_GENERIC","Daha fazla depo inşa et ya da olanları yükselt!"
"TID_POPUP_FRIEND_LIST_TITLE","Arkadaşlar"
"TID_POPUP_SOCIAL_LIST_TITLE","Sosyal"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Facebook'a bağlan"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Facebook'ta oturum aç"
"TID_LOADING_FACEBOOK_FRIENDS","Arkadaş listesi yükleniyor..."
"TID_OBSTACLE_TOMBSTONE","Mezar Taşı"
"TID_NO_FACEBOOK_FRIENDS","Clash of Clans oynayan Facebook arkadaşları bulunamıyor"
"TID_ATTACK_FAIL_NO_MATCHES","Saldırılacak köy bulunamıyor!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Saldırılamıyor! Köy zaten saldırı altında."
"TID_ATTACK_FAIL_TARGET_ONLINE","Saldırılamıyor! Köyün sahibi çevrimiçi."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Kendi klan üyelerine saldıramazsın!"
"TID_ATTACK_FAIL_SHIELD","Saldırılamıyor! Köyün etkin Kalkanı var"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Saldırılamıyor! Seviye farkı <level> seviyeden fazla"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Belediye Binası <number>. seviyenin altında olduğundan bu köye saldırılamaz."
"TID_DEFAULT_VILLAGE_NAME","<name> Köyü"
"TID_BATTLE_LOG_TITLE","Saldırıya uğradın!"
"TID_BATTLE_LOG_ITEM","<name> sana <time> önce saldırdı."
"TID_NO_TROOPS","Önce birkaç birlik eğitmen gerekiyor."
