"TID","NO"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Norsk"
"TID_BUILDING_HOUSE","Hus"
"TID_BUILDING_HOUSING","Militærleir"
"TID_BUILDING_TOWN_HALL","Rådhus"
"TID_BUILDING_ELIXIR_PUMP","Eliksirpumpe"
"TID_BUILDING_ELIXIR_STORAGE","Eliksirlager"
"TID_BUILDING_GOLD_MINE","Gullgruve"
"TID_BUILDING_GOLD_STORAGE","Gullager"
"TID_BUILDING_BARRACK","Brakker"
"TID_BUILDING_CANNON","Kanon"
"TID_BUILDING_TESLA_TOWER","Skjult tesla"
"TID_BUILDING_WALL","Mur"
"TID_BUILDING_FENCE","Gjerde"
"TID_BUILDING_WIZARD_TOWER","Trollmannstårn"
"TID_BUILDING_AIR_DEFENSE","Luftforsvar"
"TID_BUILDING_MORTAR","Morter"
"TID_WORKER_BUILDING","Byggerhytte"
"TID_BUILDING_LABORATORY","Laboratorium"
"TID_TRAP_BOMB","Bombefelle"
"TID_TRAP_EJECT","Sprettfelle"
"TID_TRAP_TIMETRAP","Tidsfelle"
"TID_BUTTON_SPEEDUP","Fullfør nå"
"TID_BUTTON_UPGRADE","Oppgrader"
"TID_BUTTON_ATTACK","Angrip!"
"TID_BUTTON_SHOP","Butikk"
"TID_BUTTON_SELL","Selg"
"TID_BUTTON_CANCEL","Avbryt"
"TID_BUTTON_TRAIN","Tren soldater"
"TID_BUTTON_COLLECT","Samle"
"TID_BUTTON_INFO","Info"
"TID_BUTTON_CLEAR","Fjern"
"TID_BUTTON_HOME","Hjem"
"TID_BUTTON_ACCEPT","Godta"
"TID_BUTTON_REJECT","Avvis"
"TID_BUTTON_SEND","Send"
"TID_BUTTON_JOIN","Bli med"
"TID_TAB_GLOBAL_CHAT","Global"
"TID_TAB_ALLIANCE_CHAT","Klan"
"TID_OBSTACLE_TREE","Tre"
"TID_OBSTACLE_STONE","Stein"
"TID_OBSTACLE_BUSH","Busk"
"TID_OBSTACLE_TRUNK","Trestamme"
"TID_OBSTACLE_MUSHROOM","Sopp"
"TID_DECORATION_BARBARIAN_STATUE","Storslagen statue"
"TID_DECORATION_TORCH","Fakkel"
"TID_DECORATION_WHITE_FLAG","Hvitt flagg"
"TID_DECORATION_SKULL_FLAG","Sjørøverflagg"
"TID_DECORATION_FLOWERBOX1","Kornblomster"
"TID_DECORATION_FLOWERBOX2","Solsikker"
"TID_DECORATION_WINDMETER","Værhane"
"TID_DECORATION_DOWNARROW_FLAG","Samlingsflagg"
"TID_DECORATION_UPARROW_FLAG","Punktflagg"
"TID_DECORATION_SKULL_ALTAR","Gammel hodeskalle"
"TID_DECORATION_NATIONAL_FLAG","Nasjonalflagg"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","t"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","Kampen slutter om:"
"TID_POPUP_HEADER_WARNING","Advarsel!"
"TID_POPUP_UNDER_ATTACK","Du blir angrepet! Vent litt, landsbyen lastes automatisk."
"TID_POPUP_TRY_AGAIN","Anslått tid igjen:"
"TID_BUTTON_OKAY","OK"
"TID_POPUP_TRAIN_TITLE","Tren tropper <limit>"
"TID_INVALID_PLACEMENT","Du kan ikke utplassere soldater i det røde området."
"TID_ALL_TROOPS_USED","Alle styrker utplassert"
"TID_OTHER_TROOP_LEFT","Velg en annen enhet"
"TID_DIAMONDS","Juveler"
"TID_GOLD","Gull"
"TID_ELIXIR","Eliksir"
"TID_ITEM_LEVEL","<item> (nivå <number>)"
"TID_SHOP_TITLE","Butikk"
"TID_ITEM_BROKEN","<item> (ødelagt)"
"TID_BUILDING_ARCHER_TOWER","Bueskyttertårn"
"TID_BUILDING_CLASS_ARMY","Militærbygninger"
"TID_BUILDING_CLASS_DEFENSE","Forsvar"
"TID_BUILDING_CLASS_RESOURCE","Ressurser"
"TID_BUILDING_CLASS_WALL","Murer"
"TID_NOT_ENOUGH_WORKERS_HEADER","Alle byggerne er opptatt!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Fullføre den forrige bygningen og frigjøre en bygger?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Fullføre den forrige bygningen og gjøre byggmesteren tilgjengelig?"
"TID_NOT_ENOUGH_RESOURCE","Du har ikke nok <resource>!"
"TID_NOT_ENOUGH_RESOURCE_TWO","Du har ikke nok <resource1> og <resource2>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Du må oppgradere rådhuset til nivå <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Du må oppgradere byggerens hall til nivå <number>!"
"TID_POPUP_ABOUT_TO_SELL_TITLE","Selg bygning"
"TID_POPUP_TEXT_ABOUT_TO_SELL","Vil du virkelig selge <item> for <number> <resource>?"
"TID_POPUP_UPGRADE_TITLE","Oppgradere til nivå <number>?"
"TID_POPUP_UPGRADE_BUILD_MORE","Bygg mer:"
"TID_RESOURCE_CAP_FULL_GOLD","Bygg flere, eller oppgrader eksisterende gullagre!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Bygg flere, eller oppgrader eksisterende eliksirlagre!"
"TID_RESOURCE_CAP_FULL_GENERIC","Bygg flere, eller oppgrader eksisterende lagre!"
"TID_POPUP_FRIEND_LIST_TITLE","Venner"
"TID_POPUP_SOCIAL_LIST_TITLE","Sosialt"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Koble til Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Logg på Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Laster venneliste ..."
"TID_OBSTACLE_TOMBSTONE","Gravstein"
"TID_NO_FACEBOOK_FRIENDS","Finner ingen Facebook-venner som spiller Clash of Clans"
"TID_ATTACK_FAIL_NO_MATCHES","Finner ikke landsbyer å angripe!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Kan ikke angripe! Landsbyen blir allerede angrepet."
"TID_ATTACK_FAIL_TARGET_ONLINE","Kan ikke angripe! Landsbyeieren er tilkoblet."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Du kan ikke angripe dine egne klanmedlemmer!"
"TID_ATTACK_FAIL_SHIELD","Kan ikke angripe! Landsbyen har et aktivt skjold"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Kan ikke angripe! Nivåforskjellen er større enn <level>"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Kan ikke angripe denne landsbyen siden landsbyens rådhus ikke er på nivå <number>."
"TID_DEFAULT_VILLAGE_NAME","<name> sin landsby"
"TID_BATTLE_LOG_TITLE","Du er blitt angrepet!"
"TID_BATTLE_LOG_ITEM","<name> angrep deg for <time> siden."
"TID_NO_TROOPS","Du må trene noen soldater først."
"TID_NO_SPELLS","Du må brygge noen formler først."
"TID_ERROR_POP_UP_BANNED_TITLE","Du er blitt utestengt!"
"TID_ERROR_POP_UP_BANNED","Du er blitt midlertidig utestengt"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Tilkoblingsfeil"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Får ikke kontakt med serveren. Sjekk Internett-forbindelsen og prøv igjen."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Prøv igjen"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Forbindelse brutt"
"TID_ERROR_POP_UP_CONNECTION_LOST","Forbindelsen med serveren er brutt. Sjekk Internett-forbindelsen og prøv igjen."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Prøv igjen"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Er det noen der?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Du er blitt koblet fra på grunn av inaktivitet."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Last inn spillet på nytt"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Pålogging mislyktes"
"TID_ERROR_POP_UP_LOGIN_FAILED","Prøv igjen senere."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Prøv igjen"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Oppdatering tilgjengelig!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Gode nyheter! En ny versjon av spillet er tilgjengelig."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Oppdater"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Feil!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Klienten og serveren er ikke synkronisert."
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Last inn spillet på nytt"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Vedlikeholdspause"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Beklager, serverne vedlikeholdes. Prøv igjen senere."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Prøv igjen"
"TID_BUILDING_ALLIANCE_CASTLE","Klanslott"
"TID_BUILDING_ALLIANCE_MARKER","Klanflagg"
"TID_COMM_MAST","Radiotårn"
"TID_TRAP_MINE","Bombe"
"TID_TRAP_EJECTOR","Sprettfelle"
"TID_SHOP_GUARD_2H","To timers vakt"
"TID_SHOP_SHIELD_1D","Skjold for én dag"
"TID_SHOP_SHIELD_2D","Skjold for to dager"
"TID_SHOP_SHIELD_7D","Skjold for én uke"
"TID_ALLIANCE_MAIN_BUTTON","Klan"
"TID_ALLIANCE_LIST_HEADER","Klan"
"TID_CREATE_ALLIANCE_BUTTON","Lag"
"TID_LEAVE_ALLIANCE_BUTTON","Forlat"
"TID_JOIN_ALLIANCE_TAB","Bli med i klan"
"TID_CREATE_ALLIANCE_TAB","Lag klan"
"TID_MY_ALLIANCE_TAB","Min klan"
"TID_ALLIANCE_BUTTON_EDIT","Rediger"
"TID_ALLIANCE_CREATE_NAME","Klannavn:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Beskrivelse:"
"TID_ALLIANCE_CREATE_BADGE","Merke:"
"TID_ALLIANCE_CREATE_TYPE","Klantype:"
"TID_ALLIANCE_BADGE_BROWSE","Bla"
"TID_ALLIANCE_TYPE_OPEN","Alle kan bli med"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Kun inviterte"
"TID_ALLIANCE_TYPE_CLOSED","Lukket"
"TID_TOO_SHORT_ALLIANCE_NAME","Klannavnet er for kort!"
"TID_BACK_BUTTON","Tilbake"
