"TID","DE"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Deutsch"
"TID_BUILDING_HOUSE","Haus"
"TID_BUILDING_HOUSING","Armeelager"
"TID_BUILDING_TOWN_HALL","Rathaus"
"TID_BUILDING_ELIXIR_PUMP","Elixiersammler"
"TID_BUILDING_ELIXIR_STORAGE","Elixierlager"
"TID_BUILDING_GOLD_MINE","Goldmine"
"TID_BUILDING_GOLD_STORAGE","Goldlager"
"TID_BUILDING_BARRACK","Kaserne"
"TID_BUILDING_CANNON","Kanone"
"TID_BUILDING_TESLA_TOWER","Verborgener Tesla"
"TID_BUILDING_WALL","Mauer"
"TID_BUILDING_FENCE","Zaun"
"TID_BUILDING_WIZARD_TOWER","Magierturm"
"TID_BUILDING_AIR_DEFENSE","Luftabwehr"
"TID_BUILDING_MORTAR","Minenwerfer"
"TID_WORKER_BUILDING","Bauhütte"
"TID_BUILDING_LABORATORY","Labor"
"TID_TRAP_BOMB","Bombenfalle"
"TID_TRAP_EJECT","Sprungfalle"
"TID_TRAP_TIMETRAP","Zeitfalle"
"TID_BUTTON_SPEEDUP","Jetzt beenden"
"TID_BUTTON_UPGRADE","Verbes-\nsern"
"TID_BUTTON_ATTACK","Angriff!"
"TID_BUTTON_SHOP","Shop"
"TID_BUTTON_SELL","Verkaufen"
"TID_BUTTON_CANCEL","Abbrechen"
"TID_BUTTON_TRAIN","Truppen ausbilden"
"TID_BUTTON_COLLECT","Sammeln"
"TID_BUTTON_INFO","Info"
"TID_BUTTON_CLEAR","Entfernen"
"TID_BUTTON_HOME","Nach Hause"
"TID_BUTTON_ACCEPT","Annehmen"
"TID_BUTTON_REJECT","Ablehnen"
"TID_BUTTON_SEND","Senden"
"TID_BUTTON_JOIN","Beitreten"
"TID_TAB_GLOBAL_CHAT","Global"
"TID_TAB_ALLIANCE_CHAT","Clan"
"TID_OBSTACLE_TREE","Baum"
"TID_OBSTACLE_STONE","Stein"
"TID_OBSTACLE_BUSH","Busch"
"TID_OBSTACLE_TRUNK","Stamm"
"TID_OBSTACLE_MUSHROOM","Pilz"
"TID_DECORATION_BARBARIAN_STATUE","Mächtige Statue"
"TID_DECORATION_TORCH","Fackel"
"TID_DECORATION_WHITE_FLAG","Weiße Flagge"
"TID_DECORATION_SKULL_FLAG","Piratenflagge"
"TID_DECORATION_FLOWERBOX1","Kornblumen-\nbeet"
"TID_DECORATION_FLOWERBOX2","Sonnenblumen-\nbeet"
"TID_DECORATION_WINDMETER","Windrad"
"TID_DECORATION_DOWNARROW_FLAG","Versammlungs-\nbanner"
"TID_DECORATION_UPARROW_FLAG","Richtungs-\nbanner"
"TID_DECORATION_SKULL_ALTAR","Alter Schädel"
"TID_DECORATION_NATIONAL_FLAG","Landesflagge"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","Kampf endet in:"
"TID_POPUP_HEADER_WARNING","Achtung!"
"TID_POPUP_UNDER_ATTACK","Du wirst angegriffen! Warte kurz, dein Dorf wird automatisch geladen."
"TID_POPUP_TRY_AGAIN","Geschätzte Restzeit:"
"TID_BUTTON_OKAY","Okay"
"TID_POPUP_TRAIN_TITLE","Truppen ausbilden: <limit>"
"TID_INVALID_PLACEMENT","Du kannst im roten Gebiet keine Truppen absetzen!"
"TID_ALL_TROOPS_USED","Alle Truppen eingesetzt"
"TID_OTHER_TROOP_LEFT","Wähle eine andere Einheit"
"TID_DIAMONDS","Juwelen"
"TID_GOLD","Gold"
"TID_ELIXIR","Elixier"
"TID_ITEM_LEVEL","<item> (Level <number>)"
"TID_SHOP_TITLE","Shop"
"TID_ITEM_BROKEN","<item> (kaputt)"
"TID_BUILDING_ARCHER_TOWER","Bogenschützenturm"
"TID_BUILDING_CLASS_ARMY","Armeegebäude"
"TID_BUILDING_CLASS_DEFENSE","Verteidigung"
"TID_BUILDING_CLASS_RESOURCE","Ressourcen"
"TID_BUILDING_CLASS_WALL","Mauern"
"TID_NOT_ENOUGH_WORKERS_HEADER","Alle Bauarbeiter sind beschäftigt!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Vorheriges Gebäude fertigstellen und einen Bauarbeiter freimachen?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Vorheriges Gebäude fertigstellen und den Meisterbauarbeiter freimachen?"
"TID_NOT_ENOUGH_RESOURCE","Du hast nicht genug <resource>!"
"TID_NOT_ENOUGH_RESOURCE_TWO","Du hast nicht genug <resource1> und <resource2>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Du musst dein Rathaus auf Level <number> verbessern!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Meisterhütte muss auf Level <number> verbessert werden!"
"TID_POPUP_ABOUT_TO_SELL_TITLE","Gebäude verkaufen"
"TID_POPUP_TEXT_ABOUT_TO_SELL","<item> wirklich für <number> <resource> verkaufen?"
"TID_POPUP_UPGRADE_TITLE","Auf Level <number> verbessern?"
"TID_POPUP_UPGRADE_BUILD_MORE","Mehr bauen:"
"TID_RESOURCE_CAP_FULL_GOLD","Verbessere deine Goldlager oder baue mehr davon!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Verbessere deine Elixierlager oder baue mehr davon!"
"TID_RESOURCE_CAP_FULL_GENERIC","Verbessere deine Lager oder baue mehr davon!"
"TID_POPUP_FRIEND_LIST_TITLE","Freunde"
"TID_POPUP_SOCIAL_LIST_TITLE","Community"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Mit Facebook verbinden"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Bei Facebook anmelden"
"TID_LOADING_FACEBOOK_FRIENDS","Lädt Freundesliste ..."
"TID_OBSTACLE_TOMBSTONE","Grabstein"
"TID_NO_FACEBOOK_FRIENDS","Es konnten keine Facebook-Freunde gefunden werden, die Clash of Clans spielen."
"TID_ATTACK_FAIL_NO_MATCHES","Es konnten keine angreifbaren Dörfer gefunden werden!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Angriff nicht möglich! Dorf wird bereits angegriffen."
"TID_ATTACK_FAIL_TARGET_ONLINE","Angriff nicht möglich! Dorfbesitzer ist online."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Angriff auf Mitglieder des eigenen Clans nicht möglich!"
"TID_ATTACK_FAIL_SHIELD","Angriff nicht möglich! Dorf verfügt über aktiven Schild."
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Angriff nicht möglich! Levelunterschied größer als <level>."
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Angriff auf dieses Dorf nicht möglich. Rathaus-Level niedriger als <number>."
"TID_DEFAULT_VILLAGE_NAME","Dorf von <name>"
"TID_BATTLE_LOG_TITLE","Du wurdest angegriffen!"
"TID_BATTLE_LOG_ITEM","<name> hat dich vor <time> angegriffen."
"TID_NO_TROOPS","Du musst zuerst ein paar Truppen ausbilden."
"TID_NO_SPELLS","Du musst erst ein paar Zauber brauen."
"TID_ERROR_POP_UP_BANNED_TITLE","Du wurdest verbannt!"
"TID_ERROR_POP_UP_BANNED","Du wurdest vorübergehend verbannt."
"TID_ERROR_POP_UP_BANNED_BUTTON","Okay"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Verbindungsfehler"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Verbindung zum Server nicht möglich. Überprüfe deine Internetverbindung und versuche es erneut."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Erneut versuchen"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Verbindung verloren"
