"TID","MS"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Bahasa Melayu"
"TID_BUILDING_HOUSE","Rumah"
"TID_BUILDING_HOUSING","Kem Tentera"
"TID_BUILDING_TOWN_HALL","Dewan Bandaran"
"TID_BUILDING_ELIXIR_PUMP","Pengumpul Eliksir"
"TID_BUILDING_ELIXIR_STORAGE","Penyimpan Eliksir"
"TID_BUILDING_GOLD_MINE","Lombong Emas"
"TID_BUILDING_GOLD_STORAGE","Penyimpan Emas"
"TID_BUILDING_BARRACK","Berek"
"TID_BUILDING_CANNON","Meriam"
"TID_BUILDING_TESLA_TOWER","Tesla Tersembunyi"
"TID_BUILDING_WALL","Benteng"
"TID_BUILDING_FENCE","Pagar"
"TID_BUILDING_WIZARD_TOWER","Menara Ahli Sihir"
"TID_BUILDING_AIR_DEFENSE","Pertahanan Udara"
"TID_BUILDING_MORTAR","Mortar"
"TID_WORKER_BUILDING","Pondok Pembina"
"TID_BUILDING_LABORATORY","Makmal"
"TID_TRAP_BOMB","Perangkap Bom"
"TID_TRAP_EJECT","Perangkap Spring"
"TID_TRAP_TIMETRAP","Perangkap Masa"
"TID_BUTTON_SPEEDUP","Selesai Sekarang"
"TID_BUTTON_UPGRADE","Naik taraf"
"TID_BUTTON_ATTACK","Serang!"
"TID_BUTTON_SHOP","Kedai"
"TID_BUTTON_SELL","Jual"
"TID_BUTTON_CANCEL","Batal"
"TID_BUTTON_TRAIN","Latih Askar"
"TID_BUTTON_COLLECT","Kumpul"
"TID_BUTTON_INFO","Maklumat"
"TID_BUTTON_CLEAR","Buang"
"TID_BUTTON_HOME","Kembali ke kampung"
"TID_BUTTON_ACCEPT","Terima"
"TID_BUTTON_REJECT","Tolak"
"TID_BUTTON_SEND","Hantar"
"TID_BUTTON_JOIN","Sertai"
"TID_TAB_GLOBAL_CHAT","Global"
"TID_TAB_ALLIANCE_CHAT","Klan"
"TID_OBSTACLE_TREE","Pokok"
"TID_OBSTACLE_STONE","Batu"
"TID_OBSTACLE_BUSH","Semak"
"TID_OBSTACLE_TRUNK","Dahan"
"TID_OBSTACLE_MUSHROOM","Cendawan"
"TID_DECORATION_BARBARIAN_STATUE","Tugu Kekuasaan"
"TID_DECORATION_TORCH","Suluh"
"TID_DECORATION_WHITE_FLAG","Bendera Putih"
"TID_DECORATION_SKULL_FLAG","Bendera Lanun"
"TID_DECORATION_FLOWERBOX1","Katil Cornflower"
"TID_DECORATION_FLOWERBOX2","Katil Bunga Matahari"
"TID_DECORATION_WINDMETER","Mata Angin"
"TID_DECORATION_DOWNARROW_FLAG","Bendera Perhimpunan"
"TID_DECORATION_UPARROW_FLAG","Bendera Mata"
"TID_DECORATION_SKULL_ALTAR","Tengkorak Purba"
"TID_DECORATION_NATIONAL_FLAG","Bendera Negara"
"TID_TIME_DAYS","h"
"TID_TIME_HOURS","j"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","Pertempuran tamat dalam:"
"TID_POPUP_HEADER_WARNING","Amaran!"
"TID_POPUP_UNDER_ATTACK","Anda diserang! Sila tunggu, kampung anda akan dimuatkan secara automatik."
"TID_POPUP_TRY_AGAIN","Baki masa yang dianggarkan:"
"TID_BUTTON_OKAY","Okey"
"TID_POPUP_TRAIN_TITLE","Latih askar <limit>"
"TID_INVALID_PLACEMENT","Anda tidak boleh mengerahkan askar di kawasan merah!"
"TID_ALL_TROOPS_USED","Semua tentera dikerahkan"
"TID_OTHER_TROOP_LEFT","Pilih unit berlainan"
"TID_DIAMONDS","Permata"
"TID_GOLD","Emas"
"TID_ELIXIR","Eliksir"
"TID_ITEM_LEVEL","<item> (Tahap <number>)"
"TID_SHOP_TITLE","Kedai"
"TID_ITEM_BROKEN","<item> (Rosak)"
"TID_BUILDING_ARCHER_TOWER","Menara Pemanah"
"TID_BUILDING_CLASS_ARMY","Bangunan Tentera"
"TID_BUILDING_CLASS_DEFENSE","Pertahanan"
"TID_BUILDING_CLASS_RESOURCE","Sumber"
"TID_BUILDING_CLASS_WALL","Benteng"
"TID_NOT_ENOUGH_WORKERS_HEADER","Semua pembina sibuk!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Lengkapkan bangunan sebelumnya dan berikan masa terluang kepada pembina?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Lengkapkan bangunan sebelumnya dan berikan masa terluang kepada Pakar Pembina?"
"TID_NOT_ENOUGH_RESOURCE","Anda tidak mempunyai <resource> yang mencukupi!"
"TID_NOT_ENOUGH_RESOURCE_TWO","Anda tidak mempunyai <resource1> dan <resource2> yang mencukupi!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Anda perlu menaik taraf Dewan Bandaran ke tahap <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Anda perlu menaik taraf Dewan Pembina anda ke tahap <number>!"
"TID_POPUP_ABOUT_TO_SELL_TITLE","Jual bangunan"
"TID_POPUP_TEXT_ABOUT_TO_SELL","Anda benar-benar ingin menjual <item> untuk <number> <resource>?"
"TID_POPUP_UPGRADE_TITLE","Naik taraf ke tahap <number>?"
"TID_POPUP_UPGRADE_BUILD_MORE","Bina lagi:"
"TID_RESOURCE_CAP_FULL_GOLD","Bina lebih banyak atau naik taraf Penyimpan Emas sedia ada!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Bina lebih banyak atau naik taraf Penyimpan Eliksir sedia ada!"
"TID_RESOURCE_CAP_FULL_GENERIC","Bina lagi atau naik taraf penyimpanan sedia ada!"
"TID_POPUP_FRIEND_LIST_TITLE","Rakan"
"TID_POPUP_SOCIAL_LIST_TITLE","Sosial"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Sambung ke Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Log Masuk ke Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Memuatkan senarai rakan..."
"TID_OBSTACLE_TOMBSTONE","Batu Nisan"
"TID_NO_FACEBOOK_FRIENDS","Tidak dapat mencari rakan Facebook yang bermain Clash of Clans"
"TID_ATTACK_FAIL_NO_MATCHES","Tidak dapat mencari kampung untuk diserang!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Tidak dapat menyerang! Kampung sudah diserang."
"TID_ATTACK_FAIL_TARGET_ONLINE","Tidak dapat menyerang! Pemilik kampung sedang dalam talian."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Tidak dapat menyerang ahli klan anda sendiri!"
"TID_ATTACK_FAIL_SHIELD","Tidak dapat menyerang! Kampung mempunyai Pelindung aktif"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Tidak dapat menyerang! Perbezaan tahap lebih daripada <level>"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Tidak dapat menyerang kampung ini kerana Dewan Bandaran di bawah tahap <number>."
"TID_DEFAULT_VILLAGE_NAME","Kampung <name>"
"TID_BATTLE_LOG_TITLE","Anda telah diserang!"
"TID_BATTLE_LOG_ITEM","<name> menyerang anda <time> yang lalu."
"TID_NO_TROOPS","Anda perlu melatih beberapa askar dahulu."
"TID_NO_SPELLS","Anda perlu bru beberapa sihir dahulu."
"TID_ERROR_POP_UP_BANNED_TITLE","Anda telah disekat!"
"TID_ERROR_POP_UP_BANNED","Anda telah disekat buat sementara waktu"
"TID_ERROR_POP_UP_BANNED_BUTTON","Okey"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Ralat sambungan"
