"TID","ID"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Bahasa Indonesia"
"TID_BUILDING_HOUSE","Rumah"
"TID_BUILDING_HOUSING","Kamp Tentara"
"TID_BUILDING_TOWN_HALL","Balai Kota"
"TID_BUILDING_ELIXIR_PUMP","Pengumpul Eliksir"
"TID_BUILDING_ELIXIR_STORAGE","Penyimpanan Eliksir"
"TID_BUILDING_GOLD_MINE","Tambang Emas"
"TID_BUILDING_GOLD_STORAGE","Penyimpanan Emas"
"TID_BUILDING_BARRACK","Barak"
"TID_BUILDING_CANNON","Meriam"
"TID_BUILDING_TESLA_TOWER","Tesla Tersembunyi"
"TID_BUILDING_WALL","Tembok"
"TID_BUILDING_FENCE","Pagar"
"TID_BUILDING_WIZARD_TOWER","Menara Penyihir"
"TID_BUILDING_AIR_DEFENSE","Pertahanan Udara"
"TID_BUILDING_MORTAR","Mortir"
"TID_WORKER_BUILDING","Pondok Tukang"
"TID_BUILDING_LABORATORY","Laboratorium"
"TID_TRAP_BOMB","Jebakan Bom"
"TID_TRAP_EJECT","Jebakan Pegas"
"TID_TRAP_TIMETRAP","Jebakan Waktu"
"TID_BUTTON_SPEEDUP","Selesaikan Sekarang"
"TID_BUTTON_UPGRADE","Tingkatkan"
"TID_BUTTON_ATTACK","Serang!"
"TID_BUTTON_SHOP","Toko"
"TID_BUTTON_SELL","Jual"
"TID_BUTTON_CANCEL","Batal"
"TID_BUTTON_TRAIN","Latih Peleton"
"TID_BUTTON_COLLECT","Ambil"
"TID_BUTTON_INFO","Info"
"TID_BUTTON_CLEAR","Singkirkan"
"TID_BUTTON_HOME","Ke Beranda"
"TID_BUTTON_ACCEPT","Terima"
"TID_BUTTON_REJECT","Tolak"
"TID_BUTTON_SEND","Kirim"
"TID_BUTTON_JOIN","Gabung"
"TID_TAB_GLOBAL_CHAT","Global"
"TID_TAB_ALLIANCE_CHAT","Klan"
"TID_OBSTACLE_TREE","Pohon"
"TID_OBSTACLE_STONE","Batu"
"TID_OBSTACLE_BUSH","Semak"
"TID_OBSTACLE_TRUNK","Batang Pohon"
"TID_OBSTACLE_MUSHROOM","Jamur"
"TID_DECORATION_BARBARIAN_STATUE","Patung Perkasa"
"TID_DECORATION_TORCH","Obor"
"TID_DECORATION_WHITE_FLAG","Bendera Putih"
"TID_DECORATION_SKULL_FLAG","Bendera Bajak Laut"
"TID_DECORATION_FLOWERBOX1","Petak Cornflower"
"TID_DECORATION_FLOWERBOX2","Petak Bunga Matahari"
"TID_DECORATION_WINDMETER","Kincir Angin"
"TID_DECORATION_DOWNARROW_FLAG","Bendera Penghimpunan"
"TID_DECORATION_UPARROW_FLAG","Bendera Penunjuk"
"TID_DECORATION_SKULL_ALTAR","Tengkorak Kuno"
"TID_DECORATION_NATIONAL_FLAG","Bendera Nasional"
"TID_TIME_DAYS","h"
"TID_TIME_HOURS","j"
"TID_TIME_MINS","m"
"TID_TIME_SECS","d"
"TID_BATTLE_TIME_TITLE","Pertempuran berakhir dalam:"
"TID_POPUP_HEADER_WARNING","Peringatan!"
