"TID","AR"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","العربية"
"TID_BUILDING_HOUSE","منزل"
"TID_BUILDING_HOUSING","معسكر الجيش"
"TID_BUILDING_TOWN_HALL","قاعة المدينة"
"TID_BUILDING_ELIXIR_PUMP","مستخرج الإكسير"
"TID_BUILDING_ELIXIR_STORAGE","مخزن الإكسير"
"TID_BUILDING_GOLD_MINE","منجم الذهب"
"TID_BUILDING_GOLD_STORAGE","مخزن الذهب"
"TID_BUILDING_BARRACK","ثكنات"
"TID_BUILDING_CANNON","مدفع"
"TID_BUILDING_TESLA_TOWER","تيسلا مخفية"
"TID_BUILDING_WALL","جدار"
"TID_BUILDING_FENCE","سور"
"TID_BUILDING_WIZARD_TOWER","برج الساحر"
"TID_BUILDING_AIR_DEFENSE","دفاع جوي"
"TID_BUILDING_MORTAR","مدفع هاون"
"TID_WORKER_BUILDING","كوخ البنّاء"
"TID_BUILDING_LABORATORY","معمل"
"TID_TRAP_BOMB","فخ القنبلة"
"TID_TRAP_EJECT","فخ الزنبرك"
"TID_TRAP_TIMETRAP","فخ الوقت"
"TID_BUTTON_SPEEDUP","إنهاء الآن"
"TID_BUTTON_UPGRADE","ترقية"
"TID_BUTTON_ATTACK","هجوم!"
"TID_BUTTON_SHOP","المتجر"
"TID_BUTTON_SELL","بيع"
"TID_BUTTON_CANCEL","إلغاء"
"TID_BUTTON_TRAIN","تدريب القوات"
"TID_BUTTON_COLLECT","جمع"
"TID_BUTTON_INFO","معلومة"
"TID_BUTTON_CLEAR","إزالة"
"TID_BUTTON_HOME","العودة إلى الصفحة الرئيسية"
"TID_BUTTON_ACCEPT","قبول"
"TID_BUTTON_REJECT","رفض"
"TID_BUTTON_SEND","إرسال"
"TID_BUTTON_JOIN","انضمام"
"TID_TAB_GLOBAL_CHAT","عالمي"
"TID_TAB_ALLIANCE_CHAT","قبيلة"
"TID_OBSTACLE_TREE","شجرة"
"TID_OBSTACLE_STONE","حجر"
"TID_OBSTACLE_BUSH","شجيرة"
"TID_OBSTACLE_TRUNK","جذع"
"TID_OBSTACLE_MUSHROOM","فطر"
"TID_DECORATION_BARBARIAN_STATUE","تمثال عظيم"
"TID_DECORATION_TORCH","شعلة"
"TID_DECORATION_WHITE_FLAG","علم أبيض"
"TID_DECORATION_SKULL_FLAG","علم القراصنة"
"TID_DECORATION_FLOWERBOX1","حوض زهور برية"
"TID_DECORATION_FLOWERBOX2","حوض زهور عباد الشمس"
"TID_DECORATION_WINDMETER","دليل اتجاه الرياح"
"TID_DECORATION_DOWNARROW_FLAG","علم التجمع"
"TID_DECORATION_UPARROW_FLAG","علم الإشارة"
"TID_DECORATION_SKULL_ALTAR","جمجمة قديمة"
"TID_DECORATION_NATIONAL_FLAG","علم قومي"
"TID_TIME_DAYS","يوم"
"TID_TIME_HOURS","ساعة"
"TID_TIME_MINS","دقيقة"
"TID_TIME_SECS","ثانية"
"TID_BATTLE_TIME_TITLE","تنتهي المعركة بعد:"
"TID_POPUP_HEADER_WARNING","تحذير!"
"TID_POPUP_UNDER_ATTACK","أنت تتعرض للهجوم! يُرجى الانتظار، سيتم تحميل قريتك تلقائيًا."
