"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_EVENT_TITLE_XMAS_RESOURCES","Holiday Offer","عرض العطلة","节日特惠","節日特惠","Weihnachtsangebot","Oferta festiva","پیشنهاد تعطیلات","Joulutarjous","Offre des fêtes","Penawaran Liburan","Offerta festiva","クリスマスセール","크리스마스 특가 상품","Tawaran Percutian","Feestdagenaanbieding","Høytidstilbud","Oferta de Fim de Ano","Праздничная акция","ข้อเสนอเทศกาล","Tatil Fırsatı","Ưu đãi Mùa lễ"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_RESOURCES","Chief, a MUST HAVE holiday offer is now available to you!","أيها الزعيم، عرض عطلة \qيجب الحصول عليه\q متوفر لك الآن!","首领，节日礼包上线了，不容错过哦！","首領，節日特惠包上線了，不容錯過唷！","Häuptling, ein SUPER-Weihnachtsangebot ist für dich verfügbar!","Jefe, ¡hay disponible una oferta festiva que no te puedes perder!","رئیس، الان یک پیشنهاد تعطیلات ضروری برای شما موجود است!","Päällikkö, UPEA joulutarjous on nyt saatavilla!","Chef, une offre incroyable est disponible pour les fêtes !","Chief, penawaran liburan WAJIB PUNYA kini tersedia untukmu!","Capo, c'è un'offerta festiva da non perdere!","チーフ、全プレイヤー必見のクリスマスセールが始まりました！","대장님, 크리스마스 특가 상품이 도착했습니다!","Ketua, tawaran percutian yang MESTI dimiliki kini tersedia untuk anda!","Chief, er is nu een feestdagenaanbieding beschikbaar die je niet mag missen!","Høvding, slå til på et FANTASTISK høytidstilbud!","Chefe, uma oferta de fim de ano IMPERDÍVEL está disponível agora!","Вождь, началась праздничная акция! Не пропустите ее!","ท่านหัวหน้า ข้อเสนอเทศกาลที่ต้องมีให้ได้รอท่านอยู่แล้ว!","Şef, sana özel, kaçırmaman gereken bir fırsat var!","Chỉ huy, hiện đang có một ưu đãi mùa lễ cần phải có dành cho bạn đấy!"
"TID_EVENT_TEXT_XMAS-MAGICITEM","Magic Item Offer","عرض عناصر السحر","魔法物品特惠","魔法物品特惠","Angebot: magische Gegenstände","Oferta de objeto mágico","پیشنهاد عتیقه جادویی","Taikaesinetarjous","Offre objet magique","Penawaran Barang Sihir","Offerta artefatto","魔法アイテムセール","마법 아이템 특가 상품","Tawaran Item Ajaib","Magische artefacten-aanbieding","Magisk gjenstand-tilbud","Oferta Mágica","Акция: волшебный предмет","ข้อเสนอไอเทมเวทมนตร์","Büyülü Öğe Fırsatı","Ưu đãi Vật phẩm Thần kỳ"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_MAGICITEM","Chief, the first Magic Item holiday offer is now available to you!","أيها الزعيم، أول عرض عطلة لعناصر السحر متوفر لك الآن!","首领，首个魔法物品礼包上线啦！","首領，首個魔法物品特惠包上線啦！","Häuptling, das erste Weihnachtsangebot für magische Gegenstände ist für dich verfügbar!","Jefe, ¡hay disponible una oferta festiva de objetos mágicos!","رئیس، اولین پیشنهاد تعطیلات عتیقه جادویی هم‌اکنون برای شما موجود است!","Päällikkö, joulun taikaesinetarjous on nyt saatavilla!","Chef, la toute première offre objet magique des fêtes est maintenant disponible !","Chief, penawaran liburan Barang Sihir pertama kini tersedia untukmu!","Capo, la prima offerta festiva per gli artefatti è disponibile!","チーフ、初の魔法アイテムクリスマスセールが始まりました！","대장님, 첫 번째 마법 아이템 크리스마스 특가 상품이 도착했습니다!","Ketua, tawaran Item Ajaib percutian pertama kini tersedia untuk anda!","Chief, de eerste feestdagenaanbieding met magische artefacten is nu beschikbaar!","Høvding, nå kan du benytte deg av det første magisk gjenstand-tilbudet!","Chefe, a nossa primeira oferta de item mágico já está disponível!","Вождь, началась праздничная акция с волшебным предметом! Не пропустите ее!","ท่านหัวหน้า ไอเทมเวทมนตร์ซึ่งเป็นข้อเสนอเทศกาลอย่างแรกรอท่านอยู่แล้ว!","Şef, sana özel bir Büyülü Öğe tatil fırsatı var!","Chỉ huy, hiện đang có ưu đãi đầu tiên của mùa lễ về Vật phẩm Thần kỳ dành cho bạn đấy!"
"TID_EVENT_TITLE_CHINESENEWYEAR","Lunar New Year Offer","عرض العام القمري الجديد","春节特惠","春節特惠","Mondneujahrsangebot","Oferta de Año Nuevo lunar","پیشنهاد سال نوی قمری","Kiinalaisen uudenvuoden tarjous","Offre Nouvel An lunaire","Penawaran Imlek","Offerta capodanno lunare","旧正月セール","설날 맞이 특가","Pek Tahun Baru Cina","Lunair-nieuwjaarsaanbieding","Kinesisk nyttår-tilbud","Pacote de Ano Novo Lunar","Акция в честь китайского Нового года","ข้อเสนอตรุษจีน","Yeni Ay Yılı Fırsatı","Ưu đãi Tết Nguyên Đán"
"TID_LOCAL_NOTIFICATION_EVENT_CHINESENEWYEAR","Chief, a very special Lunar offer is now available to you!","أيها الزعيم، عرض عام قمري مميز جدًا متوفر لك الآن!","首领，春节特惠礼包到了，快去看看吧！","首領，春節特惠包到了，快去看看吧！","Häuptling, ein ganz besonderes Mondneujahrsangebot ist für dich verfügbar!","Jefe, ¡hay disponible una oferta de Año Nuevo lunar!","رئیس، پیشنهاد ویژه سال نو قمری هم‌اکنون موجود است!","Päällikkö, erityinen kiinalaisen uudenvuoden tarjous on nyt saatavilla!","Chef, une offre lunaire inédite est maintenant disponible !","Chief, penawaran Imlek sangat spesial kini tersedia untukmu!","Capo, è disponibile una speciale offerta per il capodanno lunare!","チーフ、特別な旧正月セールが始まりました！","대장님, 아주 특별한 설날 맞이 특가 상품이 도착했습니다!","Ketua, tawaran khas Tahun Baru Cina kini tersedia untuk anda!","Chief, er is nu een speciale lunair-nieuwjaarsaanbieding beschikbaar!","Høvding, vi har et helt spesielt kinesisk nyttår-tilbud til deg!","Chefe, uma oferta de Ano Novo Lunar está disponível agora!","Вождь, началась акция в честь китайского Нового года. Не пропустите ее!","ท่านหัวหน้า ข้อเสนอตรุษจีนซึ่งพิเศษมากๆ รอท่านอยู่แล้ว!","Şef, sanal özel bir yeni ay yılı fırsatı var!","Chỉ huy, hiện đang có một ưu đãi tết Nguyên Đán đặc biệt dành cho bạn đấy!"
"TID_EVENT_TITLE_MAGICITEM_PACK","Magic Item Pack","مجموعة عناصر سحر","魔法物品礼包","魔法物品特惠包","Paket: magische Gegenstände","Lote de objetos mágicos","بسته عتیقه جادویی","Taikaesinepaketti","Pack objet magique","Paket Barang Sihir","Pacchetto artefatto","魔法アイテムパック","마법 아이템 팩","Pek Item Ajaib","Magische artefacten-pakket","Pakke med magiske gjenstander","Pacote Mágico","Набор волшебных предметов","แพ็คไอเทมเวทมนตร์","Büyülü Öğe Paketi","Gói Vật phẩm Thần kỳ"
"TID_LOCAL_NOTIFICATION_EVENT_MAGICITEM_PACK","Chief, a Magic Item offer is available to you now!","أيها الزعيم، عرض عناصر سحر متوفر لك الآن!","首领，魔法物品礼包上线了，不要错过哦！","首領，魔法物品特惠包上線了，不要錯過唷！","Häuptling, ein Angebot für magische Gegenstände ist für dich verfügbar!","Jefe, ¡hay una oferta de objetos mágicos disponible!","رئیس، هم‌اکنون یک پیشنهاد عتیقه جادویی برایتان موجود است!","Päällikkö, taikaesinetarjous on nyt saatavilla!","Chef, une offre objet magique est maintenant disponible !","Chief, penawaran Barang Sihir kini tersedia untukmu!","Capo, c'è una speciale offerta artefatto!","チーフ、魔法アイテムセールが始まりました！","대장님, 마법 아이템 특가 상품이 도착했습니다!","Ketua, tawaran Item Ajaib kini tersedia untuk anda!","Chief, er is nu een magische artefacten-aanbieding beschikbaar!","Høvding, nå har vi et magisk gjenstand-tilbud til deg!","Chefe, uma oferta de item mágico incrível está disponível agora!","Вождь, началась акция с волшебным предметом! Не пропустите ее!","ท่านหัวหน้า ข้อเสนอไอเทมเวทมนตร์รอท่านอยู่แล้ว!","Şef, sana özel bir Büyülü Öğe fırsatı var!","Chỉ huy, hiện đang có một ưu đãi Vật phẩm Thần kỳ dành cho bạn đấy!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_TROOP_GOVAHO","Chief, use Golems, Valkyries, and Hog Riders for this special event!","أيها زعيم، استخدم غولم وفالكيري وراكب الخنزير في هذا الحدث الخاص!","首领，快参加此次特别活动，带上你的石武猪大军一展身手吧！","首領，快帶上你的石武豬大軍參加此次特別活動，大展身手吧！","Häuptling, setze bei diesem Sonderereignis Golems, Walküren und Schweinereiter ein!","Jefe, usa gólems, valquirias y montapuercos en este evento especial.","رئیس! در این رویداد ویژه از غول سنگی، والکری و گرازسوار استفاده کنید!","Päällikkö, käytä golemeja, Valkyrioita ja karjuratsastajia tässä erikoistapahtumassa!","Chef, utilisez vos golems, valkyries et chevaucheurs de cochon pour cet évènement spécial !","Chief, gunakan Golem, Valkyrie, dan Penunggang Babi untuk acara khusus ini!","Capo, addestra golem, valchirie e domatori di cinghiali per questo evento speciale!","チーフ、今回の特別イベントではゴーレムとバルキリー、そしてホグライダーを使用しましょう！","대장, 특별 이벤트 동안 골렘, 발키리, 호그 라이더를 사용해 보세요!","Ketua, guna Golem, Valkyrie dan Penunggang Khinzir untuk acara istimewa ini!","Chief, gebruik golems, valkyries en varkensruiters tijdens dit speciale evenement.","Høvding, bruk golemer, valkyrjer og villsvinryttere i denne spesialhendelsen!","Chefe, use Golens, Valquírias e Corredores neste evento especial!","Вождь, используй големов, валькирий и всадников на кабане во время этого особого события!","ท่านหัวหน้า ใช้โกเล็ม, วัลคีรี และคนขี่หมูป่า สำหรับอีเวนท์พิเศษนี้เถิด!","Şef, bu özel etkinlikte Golemleri, Valkürleri ve Yaban Domuzu Binicilerini kullan!","Chỉ huy hãy nhớ sử dụng bộ ba Thạch nhân, Valkyrie và Trư Kị sĩ trong sự kiện đặc biệt này nhé!"
