"Name","Items","ItemAmounts","Costs"
"String","String","int","int"
1,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",2,400
2,"BoostProduction",1,25
,"BoostResource",1,115
,"MaxLevelArmy",1,300
3,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
4,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",2,400
5,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishTroopUpgrade",1,925
6,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",2,400
7,"BoostProduction",1,0
,"BoostResource",1,115
,"MaxLevelArmy",1,300
8,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
9,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",2,400
10,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishSpellUpgrade",1,925
11,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",2,400
12,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",5,900
13,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
14,"BoostProduction",1,0
,"BoostResource",1,115
,"UpgradeWall",2,400
15,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishBuildingUpgrade",1,925
16,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",2,400
17,"BoostProduction",1,25
,"BoostResource",1,115
,"MaxLevelArmy",1,300
18,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
19,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",2,400
20,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishTroopUpgrade",1,925
21,"BoostProduction",1,0
,"BoostResource",1,115
,"UpgradeWall",2,400
22,"BoostProduction",1,25
,"BoostResource",1,115
,"MaxLevelArmy",1,300
23,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
24,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",2,400
25,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishSpellUpgrade",1,925
26,"BoostProduction",1,25
,"BoostResource",1,115
,"UpgradeWall",2,400
27,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishHeroUpgrade",1,500
28,"BoostProduction",1,0
,"BoostResource",1,115
,"BoostBuilders",1,285
