"Name","TID","Disabled","ExistsApple","ExistsAndroid","ExistsAmazon","Diamonds","USD","IconSWF","IconExportName","ShopItemExportName","OfferItemExportName","Order","RED","RMB","KunlunOnly","LenovoID","TencentID","HuaweiID","KunlunID","isOfferPackage","OfferedByCalendar","GiftCard","SCIDStore","MidasProductId"
"String","String","boolean","boolean","boolean","boolean","int","int","String","String","String","String","int","boolean","int","boolean","int","String","int","int","boolean","boolean","boolean","boolean","string"
"com.supercell.magic.china.package_1","TID_DIAMOND_PACK_1","TRUE","FALSE","FALSE","FALSE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,,,,,,,,,
"com.supercell.magic.china.package2","TID_DIAMOND_PACK_2","TRUE","FALSE","FALSE","FALSE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,,,,,,,,,
"com.supercell.magic.china.package3","TID_DIAMOND_PACK_3","TRUE","FALSE","FALSE","FALSE",2500,1999,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,12800,,,,,,,,,,
"com.supercell.magic.china.package4","TID_DIAMOND_PACK_4","TRUE","FALSE","FALSE","FALSE",6500,4999,"sc/shop.sc","icon_gem_large","shop_item_diamond_pack_large","special_offer_item_gem_4",5,,32800,,,,,,,,,,
"com.supercell.magic.china.package5","TID_DIAMOND_PACK_5","TRUE","FALSE","FALSE","FALSE",14000,9999,"sc/shop.sc","icon_gem_huge","shop_item_diamond_pack_large","special_offer_item_gem_5",6,,64800,,,,,,,,,,
"com.supercell.magic.china.package0","TID_DIAMOND_PACK_RED","TRUE","FALSE","FALSE","FALSE",500,499,"sc/shop.sc","icon_gem_red","shop_item_diamond_pack_red","special_offer_item_gem_1",0,"TRUE",3000,,,,,,,"TRUE",,,
"com.supercell.magic.china.package7","TID_DIAMOND_PACK_6","TRUE","FALSE","FALSE","FALSE",80,99,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,600,,,,,,,,,,
"com.supercell.magic.china.th1","TID_SPECIAL_OFFER","TRUE","FALSE","FALSE","FALSE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,,,,,"TRUE",,,,
"com.supercell.magic.china.th2","TID_SPECIAL_OFFER","TRUE","FALSE","FALSE","FALSE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,,,,,"TRUE",,,,
"com.supercell.magic.china.th3","TID_SPECIAL_OFFER","TRUE","FALSE","FALSE","FALSE",2500,1999,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,12800,,,,,,"TRUE",,,,
"com.supercell.magic.china.th7","TID_SPECIAL_OFFER","TRUE","FALSE","FALSE","FALSE",80,99,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,600,,,,,,"TRUE",,,,
"com.supercell.magic.china.builder1","TID_SPECIAL_OFFER","TRUE","FALSE","FALSE","FALSE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,,,,,"TRUE",,,,
"com.supercell.magic.china.builder2","TID_SPECIAL_OFFER","TRUE","FALSE","FALSE","FALSE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,,,,,"TRUE",,,,
"com.supercell.magic.china.builder3","TID_SPECIAL_OFFER","TRUE","FALSE","FALSE","FALSE",2500,1999,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,12800,,,,,,"TRUE",,,,
"com.supercell.magic.china.update1","TID_SPECIAL_OFFER","TRUE","FALSE","FALSE","FALSE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,,,,,"TRUE",,,,
"com.supercell.magic.china.update2","TID_SPECIAL_OFFER","TRUE","FALSE","FALSE","FALSE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,,,,,"TRUE",,,,
