"Name","DefaultValue","AllowSnapshotUpdate"
"String","int","boolean"
"StarBonusCounter",,
"StarBonusCooldown",,
"StarBonusTimerEndSubTick",,
"StarBonusTimerEndTimestep",,
"StarBonusTimesCollected",,
"ChallengeStarted",,
"ChallengeLayoutIsWar",,
"FriendListLastOpened",,
"BeenInArrangedWar",,
"FILL_ME",,
"AccountBound",,
"EventUseTroop",,
"VillageToGoTo",,
"LootLimitWinCount",,
"LootLimitTimerEndSubTick",,
"LootLimitTimerEndTimestamp",,
"LootLimitCooldown",,
"Village2BarrackLevel",,
"LootLimitFreeSpeedUp",,
"SeenBuilderMenu",,
"MaxArmyTimerEndSubTick",,"true"
"MaxArmyTimerEndTimeStamp",,"true"
"MaxArmyTimerPausedTicksLeft",,"true"
"AllianceUnitDeploymentMethod",,"true"
"ShowOnlyRelevantTroopRequests",1,
"HeroPotionTimerEndSubTick",,"true"
"HeroPotionTimerEndTimeStamp",,"true"
"HeroPotionTimerPausedTicksLeft",,"true"
"TaskEventProgress1",,
"TaskEventProgress2",,
"TaskEventProgress3",,
"ClanChatRulesVersion",,"true"
"ClanChatRulesVersionTimestamp",,"true"
