"Name","Home","Capital","ExcludeOnLowMem","PurgeOnMemoryWarning","LoadGlobally","NoAutoLoad","GameState"
"String","boolean","boolean","boolean","boolean","boolean","boolean","String"
"sc/ui.sc","true","true",,,,,
"sc/buildings.sc","true","true",,,,,
"sc/buildings2.sc","true","true",,,,,
"sc/building_bases.sc","true","true",,,,,
"sc/characters.sc","true","true",,,,,
"sc/content.sc","true","true",,,,,
"sc/clouds.sc","true","true",,,,,
"sc/matchsearch.sc","true","true",,,,,
"sc/update.sc","true","true",,,,,
"sc/buildings_cc.sc","true","true",,,,,
"sc/ui_cc.sc","true","true",,,,,
"sc/map.sc","true",,"true","true",,,"HOME"
"sc/map_cc.sc","true","true","true","true",,,
"sc/shop.sc","true","true","true","true",,,"HOME"
"music/fem_talk_scared.mp3","true","true",,,,,
"music/home_music_part_1.ogg","true","true",,,,,
"music/home_music_part_2.ogg","true","true",,,,,
"music/home_music_part_3.ogg","true","true",,,,,
"music/combat_music.ogg","true","true",,,,,
"music/alt_combat_music.ogg","true","true",,,,,
"music/v2_part_1.ogg","true","true",,,,,
"music/v2_part_2.ogg","true","true",,,,,
"music/night_attack_01.ogg","true","true",,,,,
"music/war_map_ambi_01.mp3","true","true",,,,,
"music/combat_planning_music.mp3","true","true",,,,,
"music/winwinwin.mp3","true","true",,,,,
"music/battle_lost_02.mp3","true","true",,,,,
"music/duel_draw_01.mp3","true","true",,,,,
"music/v2battleend.mp3","true","true",,,,,
"music/night_combat_planning_01.ogg","true","true",,,,,
"music/new_battle_intro_01.mp3","true","true",,,,,
"music/capital_music.ogg","true","true",,,,,
"music/capital_battle_music.ogg","true","true",,,,,
"music/capital_pre_battle_music.ogg","true","true",,,,,
"sc/chiefs_journey.sc","true",,"true","true",,,"HOME"
"sc/ui_bb2.sc","true",,,,,,
"music/clash_cave_combat_music_01.ogg","true","true",,,,,
"music/clash_cave_prebattle_music_01.ogg","true","true",,,,,
"sc/chr_war_machine.sc","true",,,,,,
