"TID","VI"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Tiếng Việt"
"TID_BUILDING_HOUSE","Nhà"
"TID_BUILDING_HOUSING","Doanh trại Quân đội"
"TID_BUILDING_TOWN_HALL","Nhà Chính"
"TID_BUILDING_ELIXIR_PUMP","Máy hút Tiên dược"
"TID_BUILDING_ELIXIR_STORAGE","Kho chứa Tiên dược"
"TID_BUILDING_GOLD_MINE","Mỏ Vàng"
"TID_BUILDING_GOLD_STORAGE","Kho chứa Vàng"
"TID_BUILDING_BARRACK","Trại lính"
"TID_BUILDING_CANNON","Đại bác"
"TID_BUILDING_TESLA_TOWER","Tháp Hồ quang điện ẩn"
"TID_BUILDING_WALL","Tường thành"
"TID_BUILDING_FENCE","Hàng rào"
"TID_BUILDING_WIZARD_TOWER","Tháp Pháp sư"
"TID_BUILDING_AIR_DEFENSE","Tháp Phòng Không"
"TID_BUILDING_MORTAR","Súng cối"
"TID_WORKER_BUILDING","Lều Thợ xây"
"TID_BUILDING_LABORATORY","Phòng thí nghiệm"
"TID_TRAP_BOMB","Bẫy Bom"
"TID_TRAP_EJECT","Bẫy Bật"
"TID_TRAP_TIMETRAP","Bẫy hẹn giờ"
"TID_BUTTON_SPEEDUP","Kết thúc ngay"
"TID_BUTTON_UPGRADE","Nâng cấp"
"TID_BUTTON_ATTACK","Tấn công!"
"TID_BUTTON_SHOP","Cửa hàng"
"TID_BUTTON_SELL","Bán"
"TID_BUTTON_CANCEL","Hủy"
"TID_BUTTON_TRAIN","Huấn luyện Binh lính"
"TID_BUTTON_COLLECT","Thu thập"
"TID_BUTTON_INFO","Thông tin"
"TID_BUTTON_CLEAR","Xóa bỏ"
"TID_BUTTON_HOME","Về làng"
"TID_BUTTON_ACCEPT","Chấp nhận"
"TID_BUTTON_REJECT","Từ chối"
"TID_BUTTON_SEND","Gửi"
"TID_BUTTON_JOIN","Gia nhập"
"TID_TAB_GLOBAL_CHAT","Toàn cầu"
"TID_TAB_ALLIANCE_CHAT","Hội"
"TID_OBSTACLE_TREE","Cây"
"TID_OBSTACLE_STONE","Đá"
"TID_OBSTACLE_BUSH","Bụi cây"
"TID_OBSTACLE_TRUNK","Gốc cây"
"TID_OBSTACLE_MUSHROOM","Nấm"
"TID_DECORATION_BARBARIAN_STATUE","Bức tượng Hùng tráng"
"TID_DECORATION_TORCH","Đuốc"
"TID_DECORATION_WHITE_FLAG","Cờ Trắng"
"TID_DECORATION_SKULL_FLAG","Cờ Cướp biển"
"TID_DECORATION_FLOWERBOX1","Luống Hoa thanh cúc"
"TID_DECORATION_FLOWERBOX2","Luống Hoa hướng dương"
"TID_DECORATION_WINDMETER","Chong chóng Gió"
"TID_DECORATION_DOWNARROW_FLAG","Cờ Hội quân"
"TID_DECORATION_UPARROW_FLAG","Cờ Mũi tên"
"TID_DECORATION_SKULL_ALTAR","Sọ Cổ"
"TID_DECORATION_NATIONAL_FLAG","Quốc kỳ"
"TID_TIME_DAYS","ng"
"TID_TIME_HOURS","giờ"
"TID_TIME_MINS","ph"
"TID_TIME_SECS","gi"
"TID_BATTLE_TIME_TITLE","Trận chiến kết thúc trong vòng:"
"TID_POPUP_HEADER_WARNING","Cảnh báo!"
