"TID","TH"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","ไทย"
"TID_BUILDING_HOUSE","เรือน"
"TID_BUILDING_HOUSING","ค่ายกองทัพ"
"TID_BUILDING_TOWN_HALL","ศาลากลาง"
"TID_BUILDING_ELIXIR_PUMP","เครื่องสูบน้ำอมฤต"
"TID_BUILDING_ELIXIR_STORAGE","คลังเก็บน้ำอมฤต"
"TID_BUILDING_GOLD_MINE","เหมืองทองคำ"
"TID_BUILDING_GOLD_STORAGE","คลังเก็บทองคำ"
"TID_BUILDING_BARRACK","โรงทหาร"
"TID_BUILDING_CANNON","ปืนใหญ่"
"TID_BUILDING_TESLA_TOWER","เทสลาซุ่มซ่อน"
"TID_BUILDING_WALL","กำแพง"
"TID_BUILDING_FENCE","รั้ว"
"TID_BUILDING_WIZARD_TOWER","หอคอยพ่อมด"
"TID_BUILDING_AIR_DEFENSE","การป้องกันทางอากาศ"
"TID_BUILDING_MORTAR","ปืนครก"
"TID_WORKER_BUILDING","กระต๊อบช่างก่อสร้าง"
"TID_BUILDING_LABORATORY","ห้องทดลอง"
"TID_TRAP_BOMB","กับระเบิด"
"TID_TRAP_EJECT","กับดักสปริง"
"TID_TRAP_TIMETRAP","กับดักเวลา"
"TID_BUTTON_SPEEDUP","เสร็จเดี๋ยวนี้"
"TID_BUTTON_UPGRADE","อัปเกรด"
"TID_BUTTON_ATTACK","โจมตี!"
"TID_BUTTON_SHOP","ร้านค้า"
"TID_BUTTON_SELL","ขาย"
"TID_BUTTON_CANCEL","ยกเลิก"
"TID_BUTTON_TRAIN","ฝึกกองกำลัง"
"TID_BUTTON_COLLECT","เก็บ"
"TID_BUTTON_INFO","ข้อมูล"
"TID_BUTTON_CLEAR","ลบ"
"TID_BUTTON_HOME","กลับบ้าน"
"TID_BUTTON_ACCEPT","ยอมรับ"
"TID_BUTTON_REJECT","ปฏิเสธ"
"TID_BUTTON_SEND","ส่ง"
"TID_BUTTON_JOIN","เข้าร่วม"
"TID_TAB_GLOBAL_CHAT","รวม"
"TID_TAB_ALLIANCE_CHAT","แคลน"
"TID_OBSTACLE_TREE","ต้นไม้"
"TID_OBSTACLE_STONE","หิน"
"TID_OBSTACLE_BUSH","พุ่มไม้"
"TID_OBSTACLE_TRUNK","ขอนไม้"
"TID_OBSTACLE_MUSHROOM","เห็ด"
"TID_DECORATION_BARBARIAN_STATUE","รูปปั้นผู้กล้า"
"TID_DECORATION_TORCH","คบเพลิง"
"TID_DECORATION_WHITE_FLAG","ธงขาว"
"TID_DECORATION_SKULL_FLAG","ธงโจรสลัด"
"TID_DECORATION_FLOWERBOX1","แปลงคอร์นฟลาวเวอร์"
"TID_DECORATION_FLOWERBOX2","แปลงทานตะวัน"
"TID_DECORATION_WINDMETER","กังหันชี้ทางลม"
"TID_DECORATION_DOWNARROW_FLAG","ธงชี้ลง"
"TID_DECORATION_UPARROW_FLAG","ธงชี้ขึ้น"
"TID_DECORATION_SKULL_ALTAR","กะโหลกโบราณ"
"TID_DECORATION_NATIONAL_FLAG","ธงชาติ"
"TID_TIME_DAYS","ว."
"TID_TIME_HOURS","ชม."
"TID_TIME_MINS","น."
"TID_TIME_SECS","วิ."
"TID_BATTLE_TIME_TITLE","การรบจะสิ้นสุดใน:"
"TID_POPUP_HEADER_WARNING","เตือนภัย!"
"TID_POPUP_UNDER_ATTACK","ท่านกำลังถูกโจมตี! โปรดรอ หมู่บ้านของท่านจะโหลดโดยอัตโนมัติ"
"TID_POPUP_TRY_AGAIN","เวลาคงเหลือโดยประมาณ:"
"TID_BUTTON_OKAY","ตกลง"
"TID_POPUP_TRAIN_TITLE","ฝึกกองกำลัง <limit>"
"TID_INVALID_PLACEMENT","ท่านไม่สามารถจัดทัพในบริเวณสีแดงได้!"
"TID_ALL_TROOPS_USED","กองกำลังทั้งหมดลงสนามรบแล้ว"
"TID_OTHER_TROOP_LEFT","เลือกหน่วยอื่น"
"TID_DIAMONDS","อัญมณี"
"TID_GOLD","ทองคำ"
"TID_ELIXIR","น้ำอมฤต"
"TID_ITEM_LEVEL","<item> (เลเวล <number>)"
"TID_SHOP_TITLE","ร้านค้า"
"TID_ITEM_BROKEN","<item> (พัง)"
"TID_BUILDING_ARCHER_TOWER","หอคอยพลธนู"
"TID_BUILDING_CLASS_ARMY","สิ่งก่อสร้างกองทัพ"
"TID_BUILDING_CLASS_DEFENSE","การป้องกัน"
"TID_BUILDING_CLASS_RESOURCE","ทรัพยากร"
"TID_BUILDING_CLASS_WALL","กำแพง"
"TID_NOT_ENOUGH_WORKERS_HEADER","ช่างก่อสร้างทั้งหมดกำลังทำงานอยู่!"
"TID_NOT_ENOUGH_WORKERS_TEXT","สร้างสิ่งก่อสร้างก่อนหน้าให้เสร็จเพื่อให้ช่างก่อสร้างว่างหรือไม่?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","สร้างสิ่งก่อสร้างก่อนหน้าให้เสร็จเพื่อให้ช่างก่อสร้างยอดฝีมือว่างหรือไม่?"
"TID_NOT_ENOUGH_RESOURCE","ท่านมี <resource> ไม่เพียงพอ!"
"TID_NOT_ENOUGH_RESOURCE_TWO","ท่านมี <resource1> และ <resource2> ไม่เพียงพอ!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","ท่านต้องอัปเกรดศาลากลางเป็นเลเวล <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","ท่านต้องอัปเกรดหอช่างก่อสร้างเป็นเลเวล <number>!"
"TID_POPUP_UPGRADE_TITLE","อัปเกรดเป็นเลเวล <number> หรือไม่?"
"TID_POPUP_UPGRADE_BUILD_MORE","สร้างเพิ่ม:"
"TID_RESOURCE_CAP_FULL_GOLD","สร้างคลังเก็บทองคำเพิ่มหรืออัปเกรดที่มีอยู่!"
"TID_RESOURCE_CAP_FULL_ELIXIR","สร้างคลังเก็บน้ำอมฤตเพิ่มหรืออัปเกรดที่มีอยู่!"
"TID_RESOURCE_CAP_FULL_GENERIC","สร้างคลังเพิ่มหรืออัปเกรดที่มีอยู่!"
"TID_POPUP_FRIEND_LIST_TITLE","เพื่อน"
"TID_POPUP_SOCIAL_LIST_TITLE","โซเชียล"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","เชื่อมต่อกับ Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","ล็อกอินเข้า Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","กำลังโหลดรายชื่อเพื่อน..."
"TID_OBSTACLE_TOMBSTONE","ป้ายหลุมศพ"
"TID_NO_FACEBOOK_FRIENDS","หาเพื่อนใน Facebook ที่เล่น Clash of Clans ไม่พบ"
"TID_ATTACK_FAIL_NO_MATCHES","หาหมู่บ้านให้โจมตีไม่พบ!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","ไม่สามารถโจมตีได้! หมู่บ้านถูกโจมตีอยู่แล้ว"
"TID_ATTACK_FAIL_TARGET_ONLINE","ไม่สามารถโจมตีได้! เจ้าของหมู่บ้านออนไลน์อยู่"
"TID_ATTACK_FAIL_SAME_ALLIANCE","ไม่สามารถโจมตีสมาชิกแคลนตนเองได้!"
"TID_ATTACK_FAIL_SHIELD","ไม่สามารถโจมตีได้! หมู่บ้านมีโล่ป้องกันเปิดใช้งานอยู่"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","ไม่สามารถโจมตีได้! เลเวลต่างกันเกิน <level> เลเวล"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","ไม่สามารถโจมตีหมู่บ้านนี้ได้เนื่องจากศาลากลางของหมู่บ้านนี้มีเลเวลต่ำกว่า <number>"
"TID_DEFAULT_VILLAGE_NAME","หมู่บ้านของ <name>"
"TID_BATTLE_LOG_TITLE","ท่านถูกโจมตี!"
"TID_BATTLE_LOG_ITEM","<name> โจมตีท่านเมื่อ <time> ที่แล้ว"
"TID_NO_TROOPS","ท่านต้องฝึกกองกำลังสักหน่อยก่อน"
"TID_NO_SPELLS","ท่านต้องปรุงอาคมสักหน่อยก่อน"
"TID_ERROR_POP_UP_BANNED_TITLE","ข้อมูลบัญชี!"
"TID_ERROR_POP_UP_BANNED","ท่านถูกแบนชั่วคราว"
"TID_ERROR_POP_UP_BANNED_BUTTON","ตกลง"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","เกิดข้อผิดพลาดในการเชื่อมต่อ"
"TID_ERROR_POP_UP_CONNECTION_FAILED","ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้ ตรวจสอบการเชื่อมต่อกับอินเทอร์เน็ตของท่านแล้วลองอีกครั้ง"
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","ลองอีกครั้ง"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","การเชื่อมต่อขาดหาย"
"TID_ERROR_POP_UP_CONNECTION_LOST","ท่านได้ขาดการติดต่อกับเซิร์ฟเวอร์ ตรวจสอบการเชื่อมต่อกับอินเทอร์เน็ตของท่านแล้วลองอีกครั้ง"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","ลองอีกครั้ง"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","มีใครอยู่ไหม?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","ท่านถูกตัดการเชื่อมต่อเนื่องจากไม่มีการเคลื่อนไหว"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","โหลดเกมอีกครั้ง"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","ล็อกอินล้มเหลว"
"TID_ERROR_POP_UP_LOGIN_FAILED","โปรดลองอีกครั้งในภายหลัง"
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","ลองอีกครั้ง"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","มีอัปเดตใหม่!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","ข่าวดี! มีเกมเวอร์ชั่นใหม่มาแล้ว"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","อัปเดต"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","เกิดข้อผิดพลาด!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","ข้อมูลเกมของผู้เล่นและเซิร์ฟเวอร์ไม่ประสานกัน! มีอัปเดตใหม่ที่มาพร้อมกับการแก้ไขบั๊กและการปรับปรุงในร้านค้าแอปพลิเคชันของท่าน"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","โหลดเกมอีกครั้ง"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","ปิดปรับปรุง"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","ขออภัย เซิร์ฟเวอร์อยู่ระหว่างการซ่อมบำรุง โปรดลองอีกครั้งในภายหลัง"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","ลองอีกครั้ง"
"TID_BUILDING_ALLIANCE_CASTLE","ปราสาทแคลน"
"TID_BUILDING_ALLIANCE_MARKER","ธงแคลน"
"TID_COMM_MAST","หอวิทยุ"
"TID_TRAP_MINE","ระเบิด"
"TID_TRAP_EJECTOR","กับดักสปริง"
"TID_SHOP_GUARD_2H","โล่พิทักษ์สองชั่วโมง"
"TID_SHOP_SHIELD_1D","โล่ป้องกันหนึ่งวัน"
"TID_SHOP_SHIELD_2D","โล่ป้องกันสองวัน"
"TID_SHOP_SHIELD_7D","โล่ป้องกันหนึ่งสัปดาห์"
"TID_ALLIANCE_MAIN_BUTTON","แคลน"
"TID_ALLIANCE_LIST_HEADER","แคลน"
"TID_CREATE_ALLIANCE_BUTTON","สร้าง"
"TID_LEAVE_ALLIANCE_BUTTON","ออก"
"TID_JOIN_ALLIANCE_TAB","เข้าร่วมแคลน"
"TID_CREATE_ALLIANCE_TAB","สร้างแคลน"
"TID_MY_ALLIANCE_TAB","แคลนของข้า"
"TID_ALLIANCE_BUTTON_EDIT","แก้ไข"
"TID_ALLIANCE_CREATE_NAME","ชื่อแคลน:"
"TID_ALLIANCE_CREATE_DESCRIPTION","คำบรรยาย:"
"TID_ALLIANCE_CREATE_BADGE","ตราสัญลักษณ์:"
"TID_ALLIANCE_CREATE_TYPE","ประเภทแคลน:"
"TID_ALLIANCE_BADGE_BROWSE","ค้น"
"TID_ALLIANCE_TYPE_OPEN","ใครๆ ก็เข้าร่วมได้"
"TID_ALLIANCE_TYPE_INVITE_ONLY","ต้องเชิญเท่านั้น"
"TID_ALLIANCE_TYPE_CLOSED","ปิด"
"TID_TOO_SHORT_ALLIANCE_NAME","ชื่อแคลนสั้นเกินไป"
"TID_BACK_BUTTON","ย้อนกลับ"
"TID_ALLIANCE_SELECT_BADGE","แก้ไขตราสัญลักษณ์แคลน"
"TID_ALLIANCE_JOIN_BUTTON","เข้าร่วม"
"TID_ALLIANCE_JOIN_OK","ท่านได้เป็นสมาชิกของแคลน <name> แล้ว!"
"TID_ALLIANCE_CREATE_OK","ท่านก่อตั้งแคลนใหม่สำเร็จแล้ว!"
"TID_ALLIANCE_BUTTON_LEAVE","ออก"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","ออกจากแคลนหรือไม่?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","ท่านต้องการจะออกจริงๆ หรือ?"
"TID_ALLIANCE_ROLE_ADMIN","ผู้อาวุโส"
"TID_ALLIANCE_ROLE_LEADER","ผู้นำ"
"TID_ALLIANCE_ROLE_MEMBER","สมาชิก"
"TID_ALLIANCE_PROMOTE_BUTTON","เลื่อนขั้นเป็น <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","ลดขั้นเป็น <role>"
"TID_ALLIANCE_ACCEPTED_BY","รับโดย <name>"
"TID_ALLIANCE_REJECTED_BY","ปฏิเสธโดย <name>"
"TID_ALLIANCE_REQUEST_SENT","คำขอได้ถูกส่งไปแล้ว!"
"TID_ALLIANCE_INVITATION_OK","ส่งคำเชิญสำเร็จแล้ว"
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","ไม่สามารถเชิญได้ ผู้เล่นไม่มีปราสาทแคลน!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","ผู้เล่นได้เข้าร่วมแคลนอื่นไปแล้ว!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","ท่านได้เชิญผู้เล่นผู้นี้ไปแล้ว!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","ข้าอยากเข้าร่วมแคลนของท่าน"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","รับคำขอเข้าร่วมหรือไม่?"
"TID_KICK_OUT_FROM_ALLIANCE","เตะออก"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","ลงจากตำแหน่งหรือไม่?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","แต่งตั้ง <name> เป็นผู้นำแคลนคนใหม่หรือไม่?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","เลื่อนขั้นหรือไม่?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","เลื่อนขั้น <name> เป็นผู้อาวุโสแคลนหรือไม่?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","ลดขั้นหรือไม่?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","ลดขั้น <name> เป็นสมาชิกแคลนหรือไม่?"
"TID_VISIT_BUTTON","ไปเยี่ยม"
"TID_VIEW_PROFILE_BUTTON","ประวัติ"
"TID_INVITE_BUTTON","เชิญ"
"TID_VIEW_ALLIANCE","ดูแคลน"
"TID_SETTINGS_LANGUAGE","ภาษา"
"TID_SAVE_ALLIANCE_SETTINGS","บันทึก"
"TID_STREAM_DONATE_TEXT","ต้องการกำลังเสริม"
"TID_STREAM_DONATE_BUTTON","บริจาค"
"TID_ALLIANCE_DONATE_HEADER","บริจาคกำลังเสริม"
"TID_BUTTON_REQUEST_TROOPS","ขอร้อง"
"TID_TROOP_REQUEST_SENT","คำขอได้ถูกส่งไปแล้ว!"
"TID_ALLIANCE_STREAM_THANKS","ขอบคุณสำหรับกำลังเสริม!"
"TID_ALLIANCE_TROOP_RECEIVED","ท่านได้รับ <troop> เลเวล <level> จาก <avatar>!"
"TID_BARBARIAN","คนเถื่อน"
"TID_ARCHER","พลธนู"
"TID_GIANT","ยักษ์"
"TID_DRAGON","มังกร"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","ก็อบลิน"
"TID_WALL_BREAKER","นักระเบิดกำแพง"
"TID_GOBLIN_BALLOON","บอลลูน"
"TID_HEALER","ผู้เยียวยา"
"TID_WIZARD","พ่อมด"
