"Name","ParameterType","ParameterName","Description","Public"
"String","String","String","String","Boolean"
"OpenShop","int","village","Open the shop. village is optional 0==Home, 1==BuilderBase","true"
"OpenShopBillingPackage","BillingPackage","package","Open the shop and show the billing package","true"
"OpenShopOfferBundle","Bundle","bundle","Open the shop and show bundle","true"
"OpenShopBuilding","Building","building","Open the shop and show the building","true"
"OpenShopTrap","Trap","trap","Open the shop and show the trap","true"
"OpenTraining",,,"Open the training screen","true"
"OpenTrainingTroop","Troop","troop","Open the training screen and show the troop","true"
"OpenTrainingSpell","Spell","spell","Open the training screen and show the spell","true"
"OpenWeb","String","url","Open default browser and go to address","false"
"Share","String","url","Open native share dialogue with message","false"
,"String","message",,
"OpenPlayerProfile","String","tag","Open player profile","true"
"OpenClanProfile","String","tag","Open a clans profile","true"
"OpenEvents","int","eventId","Open event calendar and highlight event","true"
"SelectGameObject","GameObject","name","Select first game object with name","true"
"OpenHelpshift",,,"Open Helpshift. article and section parameters are deprecated.","true"
"OpenClanSearch",,,"Open the clan search screen.","true"
"OpenCreateClan",,,"Open the create clan screen.","true"
"OpenClanGames",,,"Open clan games UI if available","true"
"OpenSCID","String","p","Open SCID UI. Optional p = player guid.","true"
"Purchase","Offer","offer","Initiate offer purchase","false"
"OpenMyClan",,,"Open ”My Clan” page","true"
"OpenClanChat",,,"Open clan chat","true"
"OpenSettings",,,"Open settings","true"
"OpenMoreSettings",,,"Open ”More Settings”","true"
"OpenLayoutEditor","int","village","Open layout editor, optional village parameter 0==Home, 1==BuilderBase","true"
"ChallengeAttack","String","map","Attack challenge npc map","false"
,"int","challegeEventId",,
,"int","sourceEventId",,
"OpenNews",,,"Open News","true"
"OpenLayout","String","id","Description","true"
"OpenSeasonChallenges","boolean","passactivation","Open season challenges UI if available","true"
"OpenShopOffer","Offer","offer","Open the shop and show offer page","true"
"OpenTrader",,,"Open Trader","true"
"SupportCreator","String","id","Creator id","true"
"ShowSuperTroop","String","troop","Troop to focus on","false"
"StartEsportWar","String","opponents","Opponent clan to challenge","false"
,"String","players","comma separated array of own clan players to take part in the war",
,"String","signature","validation signature from API",
"TournamentHub",,,,"true"
"OpenWar",,,"Open War","true"
"CopyArmy","String","army","ArmyShareUtil encoded army composition","true"
"OpenCapital",,,,
"Voucher","String","code","Claim SpellFactory voucher","true"
"OpenProgressTrack",,,"Open progrees track event UI if available","true"
"OpenDailyLogin",,,"Open Daily Login Calendar UI","true"
"OpenStreakEvent",,,"Open Streak Event UI if available","true"
"OpenPurchaseGoldPass",,,"Open the purchase pass screen","true"
